del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF5GLUtm	0.00723664339177882	0.00673215668208159	Transport, mitochondrial		NA	intercompartmental	
10FTHF7GLUtl	0.00723664339177882	0.00673215668208159	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	0.00723664339177882	0.00673215668208159	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	-0.00234835759704442	-1.60113230608854	Transport, mitochondrial		NA	intercompartmental	
2AMADPTm	-0.00172363797571027	-0.225408589990434	Lysine metabolism	89874.1	NA	intercompartmental	
2HBO	0.00495698707077768	0.00293574695363283	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HCO3_NAt	0.000983649430062891	-0.273859049265365	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2MCITt	0.00880180643943158	0.0055291565059302	Transport, extracellular		NA	intercompartmental	
2OXOADOXm	0.0108901108096648	0.00550051390991197	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]	
2OXOADPTm	-0.00275450621169187	-0.26910357249116	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	0.0427568514815083	0.00728493157962263	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	0.0427568514815083	0.00728493157962263	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	0.042756851475476	0.00728493157953659	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	0.0427568514926963	0.00728493157978219	Transport, extracellular	117247.1	NA	intercompartmental	
34DHXMANDACOX_NADP_	0.0427568514815083	0.00728493157962263	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34HPLFM	-0.0310252081591218	-0.0374376295958804	Ubiquinone synthesis		NA	[m]	
3AIBTm	0.00517848948315746	0.00358059496145214	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]	
3AIBtmi	0.00517848948315746	0.00358059496145214	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental	
3DSPHR	0.00220174281759527	-0.00709093836777079	Sphingolipid metabolism	2531.1	new to recon	[c]	
3HBCDm	0.0427568514904146	0.00728493157974965	Butanoate metabolism	55268.1	lysine metabolism	[m]	
3HBCOAHLm	0.0114455876359776	0.00622136788456997	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]	
3MOBt2im	0.00651722685558238	0.019804245254464	Transport, mitochondrial		NA	intercompartmental	
3MOPt2im	0.0069002518680414	0.0185900126309411	Transport, mitochondrial		NA	intercompartmental	
3MOX4HOXPGALDOX	0.0427568514815083	0.00728493157962263	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
3SALAASPm	0.00403729101884567	0.00282300648878892	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental	
3SALATAi	0.0354880842264354	0.0071600295845119	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]	
