del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula
10FTHF5GLUtm	415.985621941046	107.058629580241	Transport, mitochondrial		NA	intercompartmental	
10FTHF7GLUtl	415.985621941046	107.058629580241	Transport, lysosomal		NA	intercompartmental	
10FTHFtl	415.985621941046	107.058629580241	Transport, lysosomal		NA	intercompartmental	
10FTHFtm	1.44596385211415	167.693618754231	Transport, mitochondrial		NA	intercompartmental	
2AMADPTm	9.75682471616895	131.576181782654	Lysine metabolism	89874.1	NA	intercompartmental	
2HBO	90.5087077755963	100.955328135974	Propanoate metabolism	92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1	NA	[c]	
2HCO3_NAt	3.75903389682286	159.964921269074	Transport, extracellular	57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4	NA	intercompartmental	
2MCITt	351.582761531757	116.946124158562	Transport, extracellular		NA	intercompartmental	
2OXOADOXm	1100.6844515117	124.017808211973	Lysine metabolism	(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1)	lysine metabolism	[m]	
2OXOADPTm	8.9511729655999	122.262237843115	Tryptophan metabolism	89874.1	NA	intercompartmental	
34DHOXPEGOX	859843429474.116	131.201022954376	Tyrosine metabolism	130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1)	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34DHOXPEGt	859843429474.116	131.201022954376	Transport, extracellular		tyrosine metabolism, cytosol/ degradation of catechoamines	intercompartmental	
34DHPHAMT	336081152556.11	131.201022954374	Tyrosine metabolism	1312.1 or 1312.2	NA	[c]	
34DHPHEt	534484593720.617	135.492900167372	Transport, extracellular	117247.1	NA	intercompartmental	
34DHXMANDACOX_NADP_	859843429474.116	131.201022954376	Tyrosine metabolism	221.1 or 222.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
34HPLFM	269.77709806911	131.621241047424	Ubiquinone synthesis		NA	[m]	
3AIBTm	243.505322612631	122.393001843593	Valine, leucine, and isoleucine metabolism	18.1 or 18.2	3-aminoisobutyrate transaminase, mitochondria	[m]	
3AIBtmi	243.505322612631	122.393001843593	Transport, mitochondrial	18.1 or 18.2	NA	intercompartmental	
3DSPHR	41.4700774347678	144.687691526082	Sphingolipid metabolism	2531.1	new to recon	[c]	
3HBCDm	661317164921.742	124.018677681436	Butanoate metabolism	55268.1	lysine metabolism	[m]	
3HBCOAHLm	1606.85675549535	124.01814158293	Valine, leucine, and isoleucine metabolism		valine metabolism	[m]	
3MOBt2im	48.6504831085366	97.8243742781965	Transport, mitochondrial		NA	intercompartmental	
3MOPt2im	50.2819446957788	97.8242926331259	Transport, mitochondrial		NA	intercompartmental	
3MOX4HOXPGALDOX	859843429474.116	131.201022954376	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]	
3SALAASPm	109.202373559009	122.387240257837	Transport, mitochondrial	10165.1 or 8604.1	NA	intercompartmental	
3SALATAi	1410.89884007171	135.492089270928	Methionine and cysteine metabolism	2805.1	cysteine metabolism	[c]	
3SALATAim	3513.39073870251	144.720681199848	Methionine and cysteine metabolism	2806.1	NA	[m]	
3SPYRSP	1410.89884007171	135.492089270928	Methionine and cysteine metabolism		cysteine metabolism	[c]	
3SPYRSPm	3513.39073870251	144.720681199848	Methionine and cysteine metabolism		NA	[m]	
4ABUTtm	18.5078433812561	142.230375376511	Transport, mitochondrial		NA	intercompartmental	
4HGLSDm	2.37736689782684	97.4983773000755	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]	
4HOXPACDOX_NADP_	1.0633304565851	158.655807119863	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	NA	[c]	
5ADTSTSTERONESte	336081152556.11	131.201022954374	Transport, extracellular		NA	intercompartmental	
5ADTSTSTERONEte	336081152556.11	131.201022954374	Transport, extracellular		NA	intercompartmental	
5AOPtm	18.5768297731975	122.329431609636	Heme synthesis		NA	intercompartmental	
5MTHFt	4.63144699462568	159.948775053253	Transport, extracellular	2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2	NA	intercompartmental	
5MTHFt2	4.91129142509739	150.741027934244	Transport, extracellular	6573.1 or 6573.2	NA	intercompartmental	
5THFtm	234.048518453511	138.803357481504	Transport, mitochondrial		NA	intercompartmental	
7DHCHSTEROLtr	105.739100446514	131.616313262183	Transport, endoplasmic reticular		NA	intercompartmental	
7DHFtl	227.356748046482	97.830925768664	Transport, lysosomal		NA	intercompartmental	
7THFtl	485.229438555015	97.831059691304	Transport, lysosomal		NA	intercompartmental	
A_MANASEly	749665266571.551	114.10072996319	N-glycan degradation	4125.1	NA	[l]	
A4GALTg	857830948863.077	130.726352089455	Sphingolipid metabolism	53947.1	NA	[g]	
AASAD3m	213.524756861462	97.8292328884199	Lysine metabolism		lysine metabolism, mitochondria	[m]	
AATAi	6.5531744090066	97.6626420865163	Lysine metabolism	51166.1 or 51166.2	NA	[c]	
ABTArm	18.5078433812561	142.230375376511	Glutamate metabolism	18.1 or 18.2	GABA aminotransferase	[m]	
ABTD	336081152556.11	131.201022954374	Pentose phosphate pathway		NA	[c]	
ABUTt2rL	169.812263261134	131.65823115652	Transport, lysosomal	206358.1	NA	intercompartmental	
ABUTt4_2_r	8.1747632687451	150.795196665362	Transport, extracellular	6529.1 or 6538.1 or 6540.1 or 6539.1	NA	intercompartmental	
ACACT10m	428.926573349196	150.968210721469	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	isoleucine metabolism	[m]	
ACACT1rm	6.58620019944556	97.7177745303429	Tryptophan metabolism	(3030.1 and 3032.1) or 38.1	NA	[m]	
ACACT1x	1637.22813251474	80.0448918014959	Cholesterol metabolism	39.1	NA	[x]	
ACACt2m	35.8268509798133	122.365396115275	Transport, mitochondrial	6566.1	NA	intercompartmental	
ACACT4p	7130.98984123831	97.832227581791	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT5p	34880.2578659588	124.018654116222	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT6p	31619.5058998407	112.396103789831	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT7p	31619.5058998407	112.396103789831	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT8p	889615379866.791	131.201022954376	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACT9p	888872421917.457	131.201022954376	Fatty acid oxidation	30.1	betaoxidation	[x]	
ACACtx	37.7928971122893	143.847547391301	Transport, peroxisomal		NA	intercompartmental	
ACCOAtn	0.740226166946675	68.9962223572641	Transport, nuclear		NA	intercompartmental	
ACGALtly	667621727941	116.090427268369	Transport, lysosomal		NA	intercompartmental	
ACGAM6PSi	123.61513753755	97.7759825562382	Aminosugar metabolism	64841.1	amino sugar metabolism	[c]	
ACGAMPM	123.61513753755	97.7759825562382	Aminosugar metabolism	5238.1	amino sugar metabolism	[c]	
ACGAMtly	4.4323617321696	144.521972267578	Transport, lysosomal		NA	intercompartmental	
ACGPID	4892.11780231992	103.167167592673	Phosphatidylinositol phosphate metabolism	9487.1	NA	[c]	
ACHtn	0.740226166946675	68.9962223572641	Transport, nuclear		NA	intercompartmental	
ACNACNGAL14ACGLCGALGLUSIDEte	783854642718.416	122.396431940124	Transport, extracellular		NA	intercompartmental	
ACNACNGAL14ACGLCGALGLUSIDEtg	267195421132.871	97.832330252678	Transport, golgi apparatus		NA	intercompartmental	
ACNACNGALGBSIDEte	857830948863.077	130.726352089455	Transport, extracellular		NA	intercompartmental	
ACNACNGALGBSIDEtg	857830948863.077	130.726352089455	Transport, golgi apparatus		NA	intercompartmental	
ACNAMlt	185.49449689912	144.772497344863	Transport, lysosomal	26503.1	NA	intercompartmental	
ACNAMtn	162.514356134469	131.719110942923	Transport, nuclear		NA	intercompartmental	
ACNMLr	205.304221972746	160.234006489242	Aminosugar metabolism		NA	[c]	
ACOAD10m	428.926573350202	150.968210721469	Valine, leucine, and isoleucine metabolism	36.1 or 34.1	isoleucine metabolism	[m]	
ACOAD1fm	2297.0639587249	105.760203412556	Butanoate metabolism	80724.1 or 36.1 or 35.1 or 34.1 or 84129.1 or 27034.1 or 28976.1	NA	[m]	
ACOAD8m	3036.80370219368	97.8320697964926	Valine, leucine, and isoleucine metabolism	3712.1	leucine metabolism	[m]	
ACOAD9m	638.394424953925	135.491720135773	Valine, leucine, and isoleucine metabolism	34.1 or 27034.1	valine metabolism	[m]	
ACOAO7p	31619.5058998407	112.396103789831	Fatty acid oxidation	51.1 or 51.2	betaoxidation	[x]	
ACONTm	4.41256476066582	155.060491521287	Citric acid cycle	50.1 or 48.1	TCA cycle, mitochondria	[m]	
ACP1_FMN_	3879.23694606741	96.6737542752127	Vitamin B2 metabolism	52.1 or 52.3 or 52.2 or 55.1 or 51205.1 or 54.1	vitamin b2 metabolism	[c]	
ACS2	732.04375253754	150.969439236115	Propanoate metabolism	55902.1 or 65985.1 or 55902.2	fatty acid activation, cytosol	[c]	
ACt2m	36.6414954985186	116.077643905846	Transport, mitochondrial		NA	intercompartmental	
ACt2r	5.26032383103694	138.601190399763	Transport, extracellular		NA	intercompartmental	
ACtg	728376135118.651	116.090427268369	Transport, golgi apparatus		NA	intercompartmental	
ADAe	124.013534754222	160.186745403609	Purine catabolism	100.1	purine catabolism, cytosol	[e]	
ADK3	2.89352688488043	149.275506791112	Nucleotide interconversion	26289.1 or 26289.2	purine synthesis, cytosol	[c]	
ADK3m	45.8202153968588	181.59086172301	Nucleotide interconversion	50808.1	purine synthesis, cytosol	[m]	
ADKd	39.4050301223118	150.568718002383	Nucleotide interconversion	26289.2 or 26289.1	purine synthesis, cytosol	[c]	
ADNCYC	567.659397880296	131.619118818501	Nucleotide interconversion	112.1 or 55811.1 or 109.1 or 112.2 or 114.1 or 108.1 or 113.1 or 107.1 or 196883.1 or 115.1 or 111.1	purine synthesis, cytosol	[c]	
ADNtm	20.4540857645496	160.380947458212	Transport, mitochondrial	2030.1	NA	intercompartmental	
ADPtx	7.6865963417121	125.077470463339	Transport, peroxisomal		NA	intercompartmental	
ADRNCOAtx	653378454346.111	96.675218632794	Transport, peroxisomal		NA	intercompartmental	
ADRNCPT1	653378454346.111	96.675218632794	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	carnitine shuttle	[c]	
ADRNCPT2	652009163003.09	96.6752186327937	Fatty acid oxidation	1376.1	carnitine shuttle	[m]	
ADRNCRNt	1.11518933855982	97.0383831832513	Fatty acid oxidation	788.1 or 788.1	carnitine shuttle	intercompartmental	
ADRNt	35.1582222982826	107.0265824101	Transport, extracellular		NA	intercompartmental	
ADSK	120.299141945826	97.782171381062	Nucleotide interconversion	9060.1 or 9061.1	NA	[c]	
ADSL1	11.5703540096637	160.238196010124	Nucleotide interconversion	158.1 or 158.2	purine synthesis, cytosol	[c]	
ADSL2	90.99753648495	150.943584113569	Purine synthesis	158.1 or 158.2	purine synthesis, cytosol	[c]	
AG13T16g	1506.13339540781	168.386487295139	Keratan sulfate synthesis	79369.1 or 10678.1 or 11041.1 or 146712.1 or 374907.1 or 93010.1 or 374907.2 or 10678.2 or 10331.1	NA	[g]	
