del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula	mta_score_prctile
PGK	0.140876563409921	14.1973391319855	Glycolysis/gluconeogenesis	5230.1 or 375056.1 or 5232.1	glycolysis	[c]	NA	100
TSULt4_3	0.132485013341565	34.9837944753456	Transport, extracellular	6561.1	NA	intercompartmental	NA	99.9840408554101
HC00900t3	0.131135347918844	34.7801236112998	Transport, extracellular		NA	intercompartmental	NA	99.9680817108203
HMR_8585	0.0673402358126277	0.0205868856381318	Starch and sucrose metabolism	283209.1	NA	[c]	NA	99.9521225662305
HMR_9187	0.0673402358126277	0.0205868856381318	Transport, extracellular		NA	intercompartmental	NA	99.9521225662305
EX_M01966[e]	0.0673402358126277	0.0205868856381318	Exchange/demand reaction		NA	[e]	NA	99.9521225662305
r1515	0.0553149907675382	0.00715087454715799	Transport, extracellular	19.1	NA	intercompartmental	NA	99.9042451324609
HMR_2295	0.0553018795474371	0.00715106940046172	Fatty acid synthesis	6319.1 or 79966.1	NA	[c]	NA	99.8882859878711
DESAT16_2	0.0552551914535419	0.00715039737004881	Fatty acid synthesis	6319.1	fatty acid synthesis & elongation	[c]	NA	99.8723268432812
EX_h2o2[e]	0.0552540100254081	0.00715035833810634	Exchange/demand reaction		NA	[e]	NA	99.8563676986913
H2O2t	0.0552540100254081	0.00715035833810634	Transport, extracellular		NA	intercompartmental	NA	99.8563676986913
DESAT14_9	0.0552461982334522	0.00715024582953795	Fatty acid synthesis	9415.1	NA	[c]	NA	99.8244494095117
TTDCEAc	0.0552461982334522	0.00715024582953795	Fatty acid oxidation	641371.1	NA	[c]	NA	99.8244494095117
PCHOL2PALM_HSPLA2	0.0552421313873117	0.00715014237047429	Glycerophospholipid metabolism	8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1	NA	[c]	NA	99.7925311203319
EX_pchol2palm_hs[e]	0.0552421313873117	0.00715014237047429	Exchange/demand reaction		NA	[e]	NA	99.7925311203319
PCHOL2PALM_HSte	0.0552421313873117	0.00715014237047429	Transport, extracellular		NA	intercompartmental	NA	99.7925311203319
PCHOLN261_HSPLA2	0.0552421313603365	0.00715014237030333	Glycerophospholipid metabolism	8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1	NA	[c]	NA	99.7446536865624
PCHOLN281_HSPLA2	0.0552421313603365	0.00715014237030333	Glycerophospholipid metabolism	8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1	NA	[c]	NA	99.7446536865624
PCHOLN28_HSPLA2	0.0552421313603365	0.00715014237030333	Glycerophospholipid metabolism	8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1	NA	[c]	NA	99.7446536865624
EX_pcholn261_hs[e]	0.0552421313603365	0.00715014237030333	Exchange/demand reaction		NA	[e]	NA	99.7446536865624
EX_pcholn28_hs[e]	0.0552421313603365	0.00715014237030333	Exchange/demand reaction		NA	[e]	NA	99.7446536865624
