del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula	mta_score_prctile
BETALDHxm	957421608137.99	176.331505293459	Glycine, serine, alanine, and threonine metabolism		glycine metabolism, mitochondria	[m]	NA	100
CDSm	957421608137.99	176.331505293459	Glycerophospholipid metabolism	1040.1 or 8760.1	new to recon	[m]	NA	100
CHOLD2m	957421608137.99	176.331505293459	Glycine, serine, alanine, and threonine metabolism	55349.1	glycine metabolism, mitochondria	[m]	NA	100
CYTK1m	957421608137.99	176.331505293459	Nucleotide interconversion	129607.1 	NA	[m]	NA	100
GLYBtm	957421608137.99	176.331505293459	Transport, mitochondrial		NA	intercompartmental	NA	100
GLYC3Ptm	957421608137.99	176.331505293459	Transport, mitochondrial		NA	intercompartmental	NA	100
NDPK3m	957421608137.99	176.331505293459	Nucleotide interconversion	4833.1 or 10201.1	NA	[m]	NA	100
PCHOLPm_hs	957421608137.99	176.331505293459	Glycerophospholipid metabolism	5337.1	NA	[m]	NA	100
PETOHMm_hs	957421608137.99	176.331505293459	Glycerophospholipid metabolism	10400.2 or 10400.1 or 10400.3	phospholipid metabolism, phospho-ethanolamine, cytosol	[m]	NA	100
PSDm_hs	957421608137.99	176.331505293459	Glycerophospholipid metabolism	23761.1	phospholipid metabolism/phosphatidyl-ethanolamine synthesis, mitochondria	[m]	NA	100
PSFLIPm	957421608137.99	176.331505293459	Transport, mitochondrial	10396.1 or 57194.1	NA	intercompartmental	NA	100
PGP_hs_tm	957421608137.99	176.331505293459	Transport, mitochondrial		NA	intercompartmental	NA	100
HMR_0582	957421608137.99	176.331505293459	Glycerophospholipid metabolism	9489.1	NA	[m]	NA	100
URIK1	944065893273.494	171.153976996777	Pyrimidine synthesis	7371.1 or 83549.1 or 54963.1	pyrimidine catabolism	[c]	NA	99.7925311203319
C102CPT1	926750171172.757	165.293329153781	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	carnitine shuttle	[c]	NA	99.7765719757421
C121CPT1	926750171172.757	165.293329153781	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	carnitine shuttle	[c]	NA	99.7765719757421
sink_dd2coa[c]	926750171172.757	165.293329153781	Fatty acid oxidation		NA	[c]	NA	99.7765719757421
DDECE1CRNe	926750171172.757	165.293329153781	Fatty acid oxidation		NA	intercompartmental	NA	99.7765719757421
sink_decdicoa[c]	926750171172.757	165.293329153781	Fatty acid oxidation		NA	[c]	NA	99.7765719757421
DECDICRNe	926750171172.757	165.293329153781	Fatty acid oxidation		NA	intercompartmental	NA	99.7765719757421
EX_ddece1crn[e]	926750171172.757	165.293329153781	Exchange/demand reaction		NA	[e]	NA	99.7765719757421
EX_decdicrn[e]	926750171172.757	165.293329153781	Exchange/demand reaction		NA	[e]	NA	99.7765719757421
ACGPID	925965300721.94	165.293329153781	Phosphatidylinositol phosphate metabolism	9487.1	NA	[c]	NA	99.6488988190233
DAG_HSter	925965300721.94	165.293329153781	Transport, endoplasmic reticular		NA	intercompartmental	NA	99.6488988190233
DOLMANP_Uter	925965300721.94	165.293329153781	N-glycan synthesis		NA	intercompartmental	NA	99.6488988190233
DOLPMT3_Uer	925965300721.94	165.293329153781	N-glycan synthesis	79087.1	NA	[c]	NA	99.6488988190233
GACPAILter	925965300721.94	165.293329153781	Transport, endoplasmic reticular		NA	intercompartmental	NA	99.6488988190233
GPIAT	925965300721.94	165.293329153781	Phosphatidylinositol phosphate metabolism	284098.1	NA	[c]	NA	99.6488988190233
GPIMTer_U	925965300721.94	165.293329153781	Phosphatidylinositol phosphate metabolism	93183.1 and 54965.1	NA	[r]	NA	99.6488988190233
PIACGT	925965300721.94	165.293329153781	Phosphatidylinositol phosphate metabolism	(5279.1 and 51227.2 and 5283.1 and 5277.2 and 9091.1 and 8818.1) or (5279.1 and 51227.2 and 5283.1 and 9091.1 and 5277.2 and 8818.1) or (51227.1 and 9091.2 and 5277.3 and 5283.1 and 5279.2 and 8818.1) or (51227.2 and 5277.1 and 5283.1 and 9091.1 and 8818.2 and 5279.2) or (51227.3 and 9091.2 and 5277.3 and 5283.1 and 5279.2 and 8818.1) or (5279.1 and 51227.1 and 9091.2 and 5277.1 and 5283.1 and 8818.2) or (51227.3 and 9091.2 and 5277.1 and 5283.1 and 5279.2 and 8818.1) or (51227.1 and 9091.2 and 5277.1 and 5283.1 and 8818.1 and 5279.2) or (51227.3 and 9091.2 and 5277.3 and 5283.1 and 5279.2 and 8818.2) or (51227.1 and 5277.1 and 5283.1 and 9091.1 and 5279.2 and 8818.1) or (51227.2 and 5283.1 and 9091.1 and 5277.2 and 8818.1 and 5279.2) or (5279.1 and 51227.1 and 9091.2 and 5277.3 and 5283.1 and 8818.2) or (51227.3 and 9091.2 and 5277.1 and 5283.1 and 8818.2 and 5279.2) or (5279.1 and 51227.2 and 5277.3 and 5283.1 and 9091.1 and 8818.2) or (51227.1 and 5277.3 and 5283.1 and 9091.1 and 8818.1 and 5279.2) or (51227.2 and 5277.1 and 5283.1 and 9091.1 and 8818.1 and 5279.2) or (5279.1 and 51227.2 and 9091.2 and 5277.1 and 5283.1 and 8818.1) or (5279.1 and 51227.1 and 9091.2 and 5283.1 and 5277.2 and 8818.2) or (5279.1 and 9091.2 and 51227.2 and 5277.2 and 5283.1 and 8818.2) or (5279.1 and 9091.2 and 51227.2 and 5277.1 and 5283.1 and 8818.2) or (51227.3 and 5283.1 and 5277.2 and 9091.1 and 8818.1 and 5279.2) or (51227.2 and 5277.3 and 5283.1 and 9091.1 and 8818.1 and 5279.2) or (5279.1 and 51227.1 and 5283.1 and 5277.2 and 9091.1 and 8818.2) or (51227.3 and 9091.2 and 5283.1 and 5277.2 and 5279.2 and 8818.1) or (5279.1 and 51227.3 and 9091.2 and 5283.1 and 5277.2 and 8818.2) or (51227.1 and 9091.2 and 5277.3 and 5283.1 and 8818.2 and 5279.2) or (5279.1 and 51227.3 and 5277.3 and 5283.1 and 9091.1 and 8818.2) or (51227.1 and 5283.1 and 5277.2 and 9091.1 and 5279.2 and 8818.2) or (5279.1 and 51227.3 and 5277.1 and 5283.1 and 9091.1 and 8818.1) or (5279.1 and 51227.3 and 9091.2 and 5277.1 and 5283.1 and 8818.2) or (5279.1 and 51227.1 and 5277.3 and 5283.1 and 9091.1 and 8818.1) or (5279.1 and 51227.3 and 9091.2 and 5277.3 and 5283.1 and 8818.2) or (5279.1 and 51227.2 and 5277.3 and 9091.1 and 5283.1 and 8818.1) or (51227.2 and 5277.3 and 9091.1 and 5283.1 and 8818.2 and 5279.2) or (51227.2 and 9091.2 and 5277.2 and 5283.1 and 8818.1 and 5279.2) or (51227.1 and 9091.2 and 5277.1 and 5283.1 and 8818.2 and 5279.2) or (51227.1 and 5277.3 and 5283.1 and 9091.1 and 5279.2 and 8818.2) or (5279.1 and 51227.1 and 9091.2 and 5277.3 and 5283.1 and 8818.1) or (51227.2 and 9091.2 and 5277.3 and 5283.1 and 8818.1 and 5279.2) or (51227.3 and 5277.3 and 9091.1 and 5283.1 and 5279.2 and 8818.2) or (9091.2 and 51227.2 and 5277.3 and 5283.1 and 5279.2 and 8818.2) or (5279.1 and 9091.2 and 51227.2 and 5277.3 and 5283.1 and 8818.2) or (51227.1 and 5277.1 and 5283.1 and 9091.1 and 8818.2 and 5279.2) or (5279.1 and 9091.2 and 51227.2 and 5277.3 and 5283.1 and 8818.1) or (5279.1 and 51227.1 and 9091.2 and 5277.2 and 5283.1 and 8818.1) or (51227.3 and 5277.1 and 9091.1 and 5283.1 and 5279.2 and 8818.2) or (5279.1 and 51227.1 and 9091.1 and 5277.2 and 5283.1 and 8818.1) or (51227.1 and 5283.1 and 9091.1 and 5277.2 and 5279.2 and 8818.1) or (5279.1 and 51227.3 and 9091.2 and 5277.1 and 5283.1 and 8818.1) or (51227.3 and 5279.1 and 9091.2 and 5277.3 and 5283.1 and 8818.1) or (51227.3 and 5277.3 and 5283.1 and 9091.1 and 8818.1 and 5279.2) or (51227.3 and 9091.1 and 5283.1 and 5277.2 and 5279.2 and 8818.2) or (51227.3 and 5277.1 and 5283.1 and 9091.1 and 8818.1 and 5279.2) or (5279.1 and 51227.1 and 5277.3 and 5283.1 and 9091.1 and 8818.2) or (9091.2 and 51227.2 and 5277.1 and 5283.1 and 5279.2 and 8818.1) or (51227.1 and 9091.2 and 5277.2 and 5283.1 and 8818.1 and 5279.2) or (51227.2 and 5283.1 and 5277.2 and 9091.1 and 8818.2 and 5279.2) or (9091.2 and 51227.2 and 5277.1 and 5283.1 and 8818.2 and 5279.2) or (5279.1 and 51227.3 and 5277.1 and 5283.1 and 9091.1 and 8818.2) or (5279.1 and 51227.1 and 9091.2 and 5277.1 and 5283.1 and 8818.1) or (5279.1 and 51227.3 and 5277.3 and 5283.1 and 9091.1 and 8818.1) or (5279.1 and 51227.3 and 5283.1 and 5277.2 and 9091.1 and 8818.1) or (5279.1 and 51227.2 and 5277.1 and 9091.1 and 5283.1 and 8818.2) or (51227.3 and 9091.2 and 5283.1 and 5277.2 and 8818.2 and 5279.2) or (9091.2 and 51227.2 and 5283.1 and 5277.2 and 5279.2 and 8818.2) or (5279.1 and 51227.2 and 5277.1 and 9091.1 and 5283.1 and 8818.1) or (5279.1 and 51227.3 and 9091.2 and 5283.1 and 5277.2 and 8818.1) or (5279.1 and 51227.1 and 5277.1 and 5283.1 and 9091.1 and 8818.1) or (5279.1 and 9091.2 and 51227.2 and 5277.2 and 5283.1 and 8818.1) or (5279.1 and 51227.3 and 9091.1 and 5277.2 and 5283.1 and 8818.2) or (51227.1 and 9091.2 and 5283.1 and 5277.2 and 8818.2 and 5279.2) or (5279.1 and 51227.1 and 5277.1 and 9091.1 and 5283.1 and 8818.2)	NA	[c]	NA	99.6488988190233
EX_adn[e]	923080635190.616	165.29332915378	Exchange/demand reaction		NA	[e]	NA	99.5212256623045
HMR_3339	922932627538.826	165.293329153781	Fatty acid oxidation	1962.1	NA	[x]	NA	99.5052665177147
HMR_0415	922736769400.892	165.293329153781	Transport, extracellular	19.1	NA	intercompartmental	NA	99.4893073731248
EX_M00003[e]	921818481668.274	165.29332915378	Exchange/demand reaction		NA	[e]	NA	99.4733482285349
DCSPTN1CPT1	920352372277.746	165.293329153781	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	carnitine shuttle	[c]	NA	99.4573890839451
HMR_3343	919753097512.202	165.293329153781	Fatty acid oxidation	1962.1	NA	[x]	NA	99.4414299393553
HMR_3348	919445270714.132	165.29332915378	Fatty acid oxidation	1962.1 or 3295.1	NA	[x]	NA	99.4254707947654
DCSPTN1CPT2	919044827548.752	165.29332915378	Fatty acid oxidation	1376.1	carnitine shuttle	[m]	NA	99.4095116501755
B3GNT310g	918765440818.227	165.293329153781	Blood group synthesis	10331.1	NA	[g]	NA	99.3935525055857
B3GNT51g	918765440818.227	165.293329153781	Blood group synthesis	84002.1	NA	[g]	NA	99.3935525055857
EX_M02053[e]	917825587383.65	165.293329153781	Exchange/demand reaction		NA	[e]	NA	99.361634216406
HMR_3350	917357679056.212	165.293329153781	Fatty acid oxidation	8310.1 or 51.1	NA	[x]	NA	99.3456750718161
BILGLCURtr	914389993802.828	165.293329153778	Transport, endoplasmic reticular		NA	intercompartmental	NA	99.3297159272263
BILIRUBtr	914389993802.828	165.293329153778	Transport, endoplasmic reticular		NA	intercompartmental	NA	99.3297159272263
UGT1A10r	914389993802.828	165.293329153778	Steroid metabolism	54576.1	heme degradation	[r]	NA	99.3297159272263
HMR_3341	908290562763.625	165.29332915378	Fatty acid oxidation	30.1 or 4645.1	NA	[x]	NA	99.2818384934567
HMR_3342	908290562763.625	165.29332915378	Fatty acid oxidation	8310.1 or 51.1	NA	[x]	NA	99.2818384934567
HMR_3337	907766099181.623	165.29332915378	Fatty acid oxidation	30.1 or 4645.1	NA	[x]	NA	99.2499202042771
r1522	905506294509.293	165.293329153781	Transport, extracellular	19.1	NA	intercompartmental	NA	99.2339610596872
sink_pre_prot[r]	901232917936.053	165.293329153781	Exchange/demand reaction		NA	[r]	NA	99.2180019150973
NRVNCABCt	901079616636.292	165.293329153781	Transport, extracellular	376497.1 or 11001.1 or 11000.1 or 10999.1 or 10998.1 or 28965.1	NA	intercompartmental	NA	99.2020427705075
EX_cgly[e]	897967377473.751	165.293329153781	Exchange/demand reaction		NA	[e]	NA	99.1860836259177
HMR_3351	897501814892.337	165.293329153781	Fatty acid oxidation	1962.1	NA	[x]	NA	99.1701244813278
HMR_3336	892747303586.64	165.293329153781	Fatty acid oxidation	1962.1 or 3295.1	NA	[x]	NA	99.1541653367379
EX_tetpent3[e]	892351626934.904	165.293329153781	Exchange/demand reaction		NA	[e]	NA	99.1382061921481
sink_c81coa[c]	892223981827.734	165.29332915378	Fatty acid oxidation		NA	[c]	NA	99.1222470475583
C81CPT1	892223981827.734	165.29332915378	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	carnitine shuttle	[c]	NA	99.1222470475583
