del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula	mta_score_prctile
FAOXC102C101m	0.373852194638494	0.152375108882714	Fatty acid oxidation	1666.1	betaoxidation	[m]	NA	100
r0525	0.3716372554709	5.77007849716672	Lysine metabolism	10157.1	lysine metabolism, mitochondria	[m]	NA	99.984058664116
SACCD4m	0.368114571399885	5.89216279267151	Lysine metabolism	10157.1	lysine metabolism	[m]	NA	99.9681173282321
r2483	0.208662287254951	4.74242456924604	Transport, extracellular	6579.1	NA	intercompartmental	NA	99.9521759923482
SO4CLtex2	0.152292820492505	31.8645967784312	Transport, extracellular	65010.1 or 65010.3 or 65010.2	NA	intercompartmental	NA	99.9362346564642
ICDHxm	0.12689314482879	0.0965458718027518	Citric acid cycle	( 3421.2 and 3420.3 and 3419.1 ) or ( 3420.1 and 3421.1 and 3419.1 ) or ( 3420.1 and 3421.1 and 3419.1 ) or ( 3420.3 and 3421.1 and 3419.1 ) or ( 3421.1 and 3419.1 and 3420.2 ) or ( 3421.2 and 3419.1 and 3420.2 )	TCA cycle, mitochondria	[m]	NA	99.9202933205803
SO4OXAtex2	0.117853102011385	21.7567935153243	Transport, extracellular	65010.1 or 65010.3 or 65010.2	NA	intercompartmental	NA	99.9043519846963
r0596	0.116479466679358	0.0153367990577229	CoA synthesis	26275.1	NA	[m]	NA	99.8884106488124
HMR_9803	0.116479466679358	0.0153367990577229	Propanoate metabolism		NA	[m]	NA	99.8884106488124
HMR_9804	0.116479466679358	0.0153367990577229	Propanoate metabolism	51171.1 or 80270.1 or 10202.1 or 10553.1 or 7923.1 or 157506.1 or 130752.1 or 145226.1 or 84869.1 or 1487.1 or 112724.1 or 56898.1 or 374875.1 or 121214.1 or 195814.1 or 3291.1 or 100288072.1 or 93517.1 or 51741.1 or 1645.1 or 340811.1 or 128.1 or 57016.1 or 51170.1 or 1109.1 or 7923.1 or 7923.1 or 441282.1 or 7923.1 or 7923.1 or 7923.1 or 57665.1	NA	[m]	NA	99.8884106488124
PHCDm	0.113193544532191	5.6906037716185	Arginine and proline metabolism	8659.1 or 8659.2	NA	[m]	NA	99.8405866411605
PGK	0.111861897689344	13.0851427459007	Glycolysis/gluconeogenesis	5230.1 or 375056.1 or 5232.1	glycolysis	[c]	NA	99.8246453052766
r0365	0.106963920161116	0.0107836967207065	Propanoate metabolism		NA	[m]	NA	99.8087039693926
P45027A16m	0.100981041191282	0.0106549935017285	Bile acid synthesis	1593.1	cholesterol metabolism	[m]	NA	99.7927626335087
SO4HCOtex	0.0954746617768384	3.62905523491147	Transport, extracellular	115111.1 or 115019.2 or 1836.1 or 115111.2 or 116369.2 or 284129.1 or 10861.2 or 116369.1 or 10861.1 or 10861.3 or 115019.1 or 1811.1	NA	intercompartmental	NA	99.7768212976247
RE3011M	0.0926086174439929	0.0115212382882507	Eicosanoid metabolism	137872.1	NA	[m]	NA	99.7608799617408
RE3012M	0.0926086174439929	0.0115212382882507	Eicosanoid metabolism	217.1 or 219.1 or 501.1	NA	[m]	NA	99.7608799617408
RE3597M	0.0926086174439929	0.0115212382882507	Eicosanoid metabolism	10901.1	NA	[m]	NA	99.7608799617408
HMR_1127	0.0926086174439929	0.0115212382882507	Leukotriene metabolism	57834.1 or 126410.1 or 8529.1 or 11283.1 or 4051.1	NA	[m]	NA	99.7608799617408
HMR_1243	0.0926086174439929	0.0115212382882507	Transport, mitochondrial		NA	intercompartmental	NA	99.7608799617408
RE3012C	0.0926086174228641	0.0115212382853564	Eicosanoid metabolism	223.1 or 218.1	NA	[c]	NA	99.6811732823211
EX_leuktrB4woh[e]	0.0926086174228641	0.0115212382853564	Exchange/demand reaction		NA	[e]	NA	99.6811732823211
LEUKTRB4WOHt	0.0926086174228641	0.0115212382853564	Transport, extracellular		lipid metabolism	intercompartmental	NA	99.6811732823211
HMR_1129	0.0926086174228641	0.0115212382853564	Leukotriene metabolism	137872.1 or 130.1 or 124.1 or 131.1 or 125.1 or 128.1 or 127.1 or 126.1	NA	[c]	NA	99.6811732823211
ME1m	0.0887526281694104	0.0356806115617318	Pyruvate metabolism	4200.1	malic enzyme, nad, mitochondria	[m]	NA	99.6174079387853
MMSAD3m	0.0881614246438814	0.00804117138114096	Propanoate metabolism	4329.1	NA	[m]	NA	99.6014666029013
BDHm	0.0876259616689449	0.0354393998579853	Nucleotide salvage pathway	622.2 or 622.3 or 622.1	ketolysis	[m]	NA	99.5855252670174
P45027A14m	0.0848692828014587	0.0102665985917753	Bile acid synthesis	1593.1	cholesterol metabolism	[m]	NA	99.5695839311334
OXAHCOtex	0.0821605312815234	18.4622616858445	Transport, extracellular	1836.1 or 10861.1 or 10861.3 or 10861.2 or 1811.1	NA	intercompartmental	NA	99.5536425952495
EX_saccrp_L[e]	0.0820137871016394	0.0206838111446379	Exchange/demand reaction		NA	[e]	NA	99.5377012593655
SACCRP_Lte	0.0820137871016394	0.0206838111446379	Transport, mitochondrial		NA	intercompartmental	NA	99.5377012593655
SACCRP_Ltm	0.0820137871016394	0.0206838111446379	Transport, extracellular		NA	intercompartmental	NA	99.5377012593655
SPODMm	0.0753118685952979	0.00686352360331986	ROS detoxification	6648.1	NA	[m]	NA	99.4898772517137
P45027A15m	0.0752877213711515	0.00678443688974392	Bile acid synthesis	1593.1	cholesterol metabolism	[m]	NA	99.4739359158297
HMR_2294	0.074600298553138	0.00637379059017209	Fatty acid synthesis	6319.1 or 79966.1 or 283985.1	NA	[c]	NA	99.4579945799458
RE3258C	0.0745559810947774	0.00637351796236154	Linoleate metabolism	2053.1	NA	[c]	NA	99.4420532440619
CE2049te	0.0745559810947774	0.00637351796236154	Transport, extracellular		NA	intercompartmental	NA	99.4420532440619
