del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula	mta_score_prctile
HMR_2669	0.0514916164549693	0.00695437430714852	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	NA	[c]	NA	100
HMR_2670	0.0514916164549693	0.00695437430714852	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	NA	intercompartmental	NA	100
HMR_2671	0.0514916164549693	0.00695437430714852	Transport, mitochondrial	1384.1 or 1376.1	NA	[m]	NA	100
HMR_3408	0.0514916164549693	0.00695437430714852	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	NA	[m]	NA	100
RIBFLVt3	0.0509079852036513	0.0111062103976052	Transport, extracellular	113278.1 	NA	intercompartmental	NA	99.925387054654
HMR_2659	0.0507828881095907	0.00694675952963416	Transport, mitochondrial	1384.1 or 1376.1	NA	[m]	NA	99.9067338183175
HMR_3406	0.0507828881095907	0.00694675952963416	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	NA	[m]	NA	99.9067338183175
HMR_2295	0.0506063665876355	0.00694482975564679	Fatty acid synthesis	6319.1 or 79966.1	NA	[c]	NA	99.8694273456445
HMR_2666	0.0506063665849192	0.006944829755617	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	NA	[c]	NA	99.850774109308
FAOXC161C141m	0.0505218965106729	0.00694390153884365	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	betaoxidation	[m]	NA	99.8321208729715
FAOXC121C101m	0.0505218965106621	0.00694390153884353	Fatty acid oxidation	34.1 and 1892.1 and 3033.1 and 10449.1	betaoxidation	[m]	NA	99.813467636635
FAOXC141C121m	0.0505218965106621	0.00694390153884353	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	betaoxidation	[m]	NA	99.813467636635
HMR_2368	0.05051130082821	0.00694378488687437	Fatty acid synthesis	9415.1 or 3992.1 or 3995.1	NA	[c]	NA	99.7761611639619
DESAT14_9	0.0505062057999613	0.00694372877630996	Fatty acid synthesis	9415.1	NA	[c]	NA	99.7575079276254
TTDCEAc	0.0505062057999613	0.00694372877630996	Fatty acid oxidation	641371.1	NA	[c]	NA	99.7575079276254
HMR_0200	0.0505062057999613	0.00694372877630996	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	NA	[c]	NA	99.7575079276254
biomass_maintenance	0.0504931887757833	0.00694358537090927	Exchange/demand reaction		biomass_maintenance	[c]	NA	99.7015482186159
DESAT18_7	0.0504918358222337	0.0069435704615059	Fatty acid synthesis	9415.1	fatty acid synthesis & elongation	[c]	NA	99.6828949822794
r0510	0.050489176929569	0.00694354115846496	Miscellaneous	6319.1 or 79966.1	fatty acid synthesis & elongation	[c]	NA	99.6642417459429
HMR_2284	0.0504852200752628	0.00694349754517458	Fatty acid synthesis	6319.1 or 79966.1	NA	[c]	NA	99.6455885096064
HMR_2620	0.0504852200752477	0.00694349754517441	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	NA	[c]	NA	99.6269352732699
HMR_2621	0.0504852200752477	0.00694349754517441	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	NA	intercompartmental	NA	99.6269352732699
HMR_2622	0.0504852200752477	0.00694349754517441	Transport, mitochondrial	1384.1 or 1376.1	NA	[m]	NA	99.6269352732699
H2Otg	0.0504846744097547	0.0069434915301968	Transport, golgi apparatus		NA	intercompartmental	NA	99.5709755642604
HMR_3351	0.0504846743837492	0.00694349152991013	Fatty acid oxidation	1962.1	NA	[x]	NA	99.5523223279239
S6T3g	0.0504846743444322	0.00694349152947673	Keratan sulfate synthesis	8534.1 or 9469.1	NA	[g]	NA	99.5336690915874
EX_3ivcrn[e]	0.050484674330613	0.00694349152932439	Exchange/demand reaction		NA	[e]	NA	99.5150158552509
FAOXC5C5OHm	0.050484674330613	0.00694349152932439	Fatty acid oxidation		betaoxidation	[m]	NA	99.5150158552509
FAOXC5OHc	0.050484674330613	0.00694349152932439	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	carnitine shuttle	[c]	NA	99.5150158552509
HIVCACBP	0.050484674330613	0.00694349152932439	Fatty acid oxidation	1622.1	NA	intercompartmental	NA	99.5150158552509
HIVCRNe	0.050484674330613	0.00694349152932439	Fatty acid oxidation		NA	intercompartmental	NA	99.5150158552509
DCT	0.0504846743305696	0.00694349152932391	Tyrosine metabolism	1638.1	NA	[c]	NA	99.4217496735684
DM_melanin_c_	0.0504846743305696	0.00694349152932391	Exchange/demand reaction		NA	[c]	NA	99.4217496735684
FACOAL150	0.0504846743305696	0.00694349152932391	Fatty acid oxidation	2182.1 or 2180.1 or 2181.2 or 2181.1	fatty acid activation, cytosol	[c]	NA	99.4217496735684
PTDCACRNCPT1	0.0504846743305696	0.00694349152932391	Fatty acid oxidation	1375.1 or 1375.4 or 1375.3 or 1374.1 or 126129.1 or 1375.2	carnitine shuttle	[c]	NA	99.4217496735684
TYRASE	0.0504846743305696	0.00694349152932391	Tyrosine metabolism	7306.1	NA	[c]	NA	99.4217496735684
S6TASE20ly	0.0504846743304046	0.0069434915293221	Keratan sulfate degradation	2799.1	NA	[l]	NA	99.3284834918858
S6T18g	0.0504846743297422	0.00694349152931479	Keratan sulfate synthesis	8534.1 or 9469.1	NA	[g]	NA	99.3098302555493
DGULND	0.0504846743289464	0.00694349152930602	Pentose phosphate pathway		vitamin c metabolism, cytosol	[c]	NA	99.2911770192128
GULN3D	0.0504846743289464	0.00694349152930602	Pentose phosphate pathway		glucuronic acid metabolism, cytosol	[c]	NA	99.2911770192128
RE0383C	0.0504846743289464	0.00694349152930602	Miscellaneous	10327.1	NA	[c]	NA	99.2911770192128
HMR_3072	0.0504846743276441	0.00694349152929167	Fatty acid oxidation	1962.1 or 3295.1	NA	[x]	NA	99.2352173102033
GALT2g	0.0504846743269277	0.00694349152928377	Chondroitin synthesis	126792.1	NA	[g]	NA	99.2165640738668
GALTg	0.0504846743269277	0.00694349152928377	Chondroitin synthesis	11285.1	NA	[g]	NA	99.2165640738668
r0595	0.0504846743265728	0.00694349152927986	Methionine and cysteine metabolism	4357.1 or 7263.1	NA	[c]	NA	99.1792576011938
r0795	0.0504846743265728	0.00694349152927986	Miscellaneous		NA	[c]	NA	99.1792576011938
KSII_CORE4t	0.0504846743255016	0.00694349152926805	Transport, extracellular		NA	intercompartmental	NA	99.1419511285208
C18OHc	0.0504846743248381	0.00694349152926073	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	carnitine shuttle	[c]	NA	99.1232978921843
EX_3octdeccrn[e]	0.0504846743248381	0.00694349152926073	Exchange/demand reaction		NA	[e]	NA	99.1232978921843
