del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula	mta_score_prctile
SIAASE3ly	782.508605937917	18.7617274354351	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	NA	[l]	NA	100
r0974	742.841656356154	19.0400616039857	Transport, extracellular		NA	intercompartmental	NA	99.9826779837173
PNTK	742.841656356154	19.0400616039857	CoA synthesis	79646.1 or 80025.2 or 53354.1 or 53354.3 or 80025.1 or 53354.2 or 80025.3 or 80025.4 or 55229.1	NA	[c]	NA	99.9826779837173
PPCDC	742.841656356154	19.0400616039857	CoA synthesis	60490.1	NA	[c]	NA	99.9826779837173
FAOXC185C164m	737.219544206987	19.0401109971934	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	betaoxidation	[m]	NA	99.9307119348692
FAOXC185m	737.219544206987	19.0401109971934	Fatty acid oxidation	1632.1	betaoxidation	[m]	NA	99.9307119348692
FAOXC205C185m	737.219544206987	19.0401109971934	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	betaoxidation	[m]	NA	99.9307119348692
FAOXC226C205m	737.219544206987	19.0401109971934	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	betaoxidation	[m]	NA	99.9307119348692
FAOXC226C227m	737.219544206987	19.0401109971934	Fatty acid oxidation	37.1	betaoxidation	[m]	NA	99.9307119348692
FAOXC226m	737.219544206987	19.0401109971934	Fatty acid oxidation	1632.1	betaoxidation	[m]	NA	99.9307119348692
FAOXC227C226m	737.219544206987	19.0401109971934	Fatty acid oxidation	1666.1	betaoxidation	[m]	NA	99.9307119348692
H6ET3er	737.219544192039	19.0401109971933	Phosphatidylinositol phosphate metabolism	(84720.2 and 5281.1) or (84720.1 and 5281.2) or (5281.1 and 84720.1) or (84720.2 and 5281.2)	phospholipid metabolism, er/ inositol	[r]	NA	99.8094578208904
EX_pnto_R[e]	731.979678148183	18.7616078159781	Exchange/demand reaction		NA	[e]	NA	99.7921358046077
RE1235C	726.438854344816	18.7616323871102	Urea cycle		NA	[c]	NA	99.774813788325
N8ASPMDte	726.438854344816	18.7616323871102	Transport, extracellular	6580.1	NA	intercompartmental	NA	99.774813788325
EX_n8aspmd[e]	726.438854344816	18.7616323871102	Exchange/demand reaction		NA	[e]	NA	99.774813788325
