del_rxnID_KO	mta_score	alt_score	subSystem	GPR	MetabolicUnits	Localization	RxnFormula	mta_score_prctile
HMR_1465	219.585719937056	9.56579434812775	Cholesterol metabolism	2222.1	NA	[c]	NA	100
HMR_1470	219.585719937056	9.56579434812775	Cholesterol metabolism	6713.1	NA	[c]	NA	100
HMR_1473	219.585719937056	9.56579434812775	Cholesterol metabolism	4047.1	NA	[c]	NA	100
HMR_1467	219.585719937056	9.56579434812775	Cholesterol metabolism	2222.1	NA	[c]	NA	100
HMR_1536	218.910571958032	9.53636117366466	Cholesterol metabolism	1595.1	NA	[c]	NA	99.9327618087074
HMR_1538	218.910571958032	9.53636117366466	Cholesterol metabolism	1595.1	NA	[c]	NA	99.9327618087074
HMR_1539	218.910571958032	9.53636117366466	Cholesterol metabolism	1595.1	NA	[c]	NA	99.9327618087074
PCHOLN203_HSPLA2	212.891903095521	10.3507152718855	Glycerophospholipid metabolism	8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1	NA	[c]	NA	99.8823331652379
EX_pcholn203_hs[e]	212.891903095521	10.3507152718855	Exchange/demand reaction		NA	[e]	NA	99.8823331652379
PCHOLN203_HSABCt	212.891903095521	10.3507152718855	Transport, extracellular	5244.1 or 19.1 or 5205.1 or 57198.1 or 57194.1	NA	intercompartmental	NA	99.8823331652379
EX_gthrd[e]	212.556988606661	11.4085390290967	Exchange/demand reaction		NA	[e]	NA	99.8319045217684
HMR_1540	208.954909375491	9.10234261408359	Cholesterol metabolism	3930.1 or 7108.1	NA	[c]	NA	99.8150949739452
PAPStg	207.301571385148	11.1262502243223	Transport, golgi apparatus	347734.1	NA	intercompartmental	NA	99.798285426122
PAPtg	207.301571385148	11.1262502243223	Transport, golgi apparatus		NA	intercompartmental	NA	99.798285426122
BPNT	207.301571385148	11.1262502243223	Nucleotide interconversion	10380.1	NA	[c]	NA	99.798285426122
GCALDDm	204.060254230999	10.1216220899708	Glyoxylate and dicarboxylate metabolism	4329.1 or 7915.1 or 8659.1 or 5832.1 or 217.1 or 7915.2 or 219.1 or 8659.2	NA	[m]	NA	99.7478567826525
HPYRDCm	204.060254230999	10.1216220899708	Glyoxylate and dicarboxylate metabolism		NA	[m]	NA	99.7478567826525
GLYCLTtm	204.060254230999	10.1216220899708	Transport, mitochondrial		NA	intercompartmental	NA	99.7478567826525
HMR_8776	204.060254230999	10.1216220899708	Transport, mitochondrial		NA	intercompartmental	NA	99.7478567826525
HMR_2659	203.00520879359	10.8801870986094	Transport, mitochondrial	1384.1 or 1376.1	NA	[m]	NA	99.6806185913599
HMR_3406	203.00520879359	10.8801870986094	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	NA	[m]	NA	99.6806185913599
DM_dttp_m_	202.208191156581	10.8526650540267	Exchange/demand reaction		demand rxn	[m]	NA	99.6469994957136
CO2tg	201.736521826452	10.8273298681091	Transport, golgi apparatus		NA	intercompartmental	NA	99.6301899478904
UDPGLDCg	201.736521826452	10.8273298681091	Nucleotide sugar metabolism	80146.1	NA	[g]	NA	99.6301899478904
UDPXYLter	201.736521826452	10.8273298681091	Transport, endoplasmic reticular		NA	intercompartmental	NA	99.6301899478904
UDPXYLtg	201.736521826452	10.8273298681091	Transport, golgi apparatus	84912.1	NA	intercompartmental	NA	99.6301899478904
XYLTer	201.736521826452	10.8273298681091	Chondroitin synthesis	64131.1 or 64132.1	NA	[r]	NA	99.6301899478904
XYLtly	201.736521826359	10.827329868109	Transport, lysosomal		NA	intercompartmental	NA	99.5461422087746
