del_rxnID_KO	prctile_CP	prctile_PC	prctile_CH	prctile_HC	prctile_CS	prctile_SC	subSystem_CP	subSystem_PC	subSystem_CH	subSystem_HC	subSystem_CS	subSystem_SC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CH	MetabolicUnits_HC	MetabolicUnits_CS	MetabolicUnits_SC	Localization_CP	Localization_PC	Localization_CH	Localization_HC	Localization_CS	Localization_SC
r0119	71.0648148148148	42.3692810457516	63.4695180338334	73.2515532897881	55.8889243536546	83.7557787342579	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	Purine catabolism	purine catabolism, cytosol	purine catabolism, cytosol	purine catabolism, cytosol	purine catabolism, cytosol	purine catabolism, cytosol	purine catabolism, cytosol	[c]	[c]	[c]	[c]	[c]	[c]
HMR_9625	70.0727513227513	62.2549019607843	69.6616661346952	75.6412298868886	81.9342483242898	81.7152877411127	Transport, endoplasmic reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_thym[e]	69.2460317460317	55.343137254902	71.3214171720396	78.7637406404333	82.9556335780402	38.0519687549817	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
THYMt	69.2460317460317	55.343137254902	71.3214171720396	78.7637406404333	82.9556335780402	38.0519687549817	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
FAOXC102C101m	68.8988095238095	79.5424836601307	38.1583147143313	34.9211406722957	41.9406319821258	100	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	betaoxidation	betaoxidation	betaoxidation	betaoxidation	betaoxidation	betaoxidation	[m]	[m]	[m]	[m]	[m]	[m]
P45027A14m	68.3862433862434	69.4444444444444	68.3370571337376	66.5604588179066	61.1873603574848	99.5695839311334	Bile acid synthesis	Bile acid synthesis	Bile acid synthesis	Bile acid synthesis	Bile acid synthesis	Bile acid synthesis	cholesterol metabolism	cholesterol metabolism	cholesterol metabolism	cholesterol metabolism	cholesterol metabolism	cholesterol metabolism	[m]	[m]	[m]	[m]	[m]	[m]
HMR_0389	66.7493386243386	69.7385620915033	72.2470475582509	64.1548510434921	98.0051069262688	97.0349115255858	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
B3GNT11g	66.2533068783069	61.3398692810458	72.2949249920204	69.6033136848813	82.0778806255985	70.7317073170732	Blood group synthesis	Blood group synthesis	Blood group synthesis	Blood group synthesis	Blood group synthesis	Blood group synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
B3GNT312g	66.2533068783069	61.3398692810458	72.2949249920204	69.6033136848813	82.0778806255985	70.7317073170732	Blood group synthesis	Blood group synthesis	Blood group synthesis	Blood group synthesis	Blood group synthesis	Blood group synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
DOCOSACT	65.8895502645503	45.0490196078431	60.1340568145547	54.43683288195	84.9824449409512	52.8774111270524	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	[c]	[c]	[c]	[c]	[c]	[c]
EX_thyox_L[e]	65.3604497354497	24.6895424836601	70.8905202681136	72.837342679624	82.9556335780402	82.4804718635422	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
HMR_3198	64.0542328042328	31.9771241830065	71.9597829556336	79.3372630237375	98.6275135652729	75.1155746851586	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]
