subSystem_SC	n.x	n.y	p.val	p.val.fdr
Peptide metabolism	1	242	0.975776404888751	0.998260889356229
Transport, mitochondrial	2	245	0.887222279596569	0.998260889356229
Exchange/demand reaction	6	982	0.998260889356229	0.998260889356229
Transport, extracellular	11	1338	0.995144532311781	0.998260889356229
Transport, lysosomal	1	57	0.577718640397275	0.722148300496594
Eicosanoid metabolism	1	51	0.5374194151465	0.716559220195333
Tyrosine metabolism	1	39	0.445075147997027	0.635821639995752
Arginine and proline metabolism	1	24	0.303677147848253	0.467195612074235
Pyruvate metabolism	1	20	0.260302195995952	0.467195612074235
Vitamin A metabolism	1	23	0.293075102321966	0.467195612074235
Sphingolipid metabolism	2	57	0.209105145894563	0.418210291789125
Arachidonic acid metabolism	1	12	0.16538330257045	0.367518450156556
Transport, golgi apparatus	2	41	0.124565780444349	0.311414451110872
Beta-Alanine metabolism	1	6	0.0863835128869048	0.246810036819728
Transport, endoplasmic reticular	4	111	0.0836757284339833	0.246810036819728
Lysine metabolism	2	17	0.025940058357258	0.103760233429032
Heparan sulfate degradation	3	27	0.00726939247829779	0.036346962391489
Fatty acid oxidation	21	767	0.00365366128411747	0.0243577418941165
Keratan sulfate degradation	9	60	1.93226218525521e-07	1.93226218525521e-06
Nucleotide interconversion	16	132	5.88625432118089e-11	1.17725086423618e-09
