del_rxnID_KO	prctile_CP	prctile_PC	prctile_CH	prctile_HC	prctile_CS	prctile_SC	subSystem_CP	subSystem_PC	subSystem_CH	subSystem_HC	subSystem_CS	subSystem_SC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CH	MetabolicUnits_HC	MetabolicUnits_CS	MetabolicUnits_SC	Localization_CP	Localization_PC	Localization_CH	Localization_HC	Localization_CS	Localization_SC
CYTK13	79.2202947211341	2.37486298867373	22.6823353851893	19.7304380381879	99.888080581981	8.30723890219193	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
CYTK11	71.9828390225704	13.5001826817684	20.2947211341168	25.2339947585174	98.9740720014923	16.7986737889114	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
UMPK7	62.9360193993658	3.79978078187797	13.2251445625816	22.6132534631224	88.0619287446372	14.6251611714865	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	[c]	[c]	[c]	[c]	[c]	[c]
UMPK2	59.0374930050364	5.40738034344172	24.9766834545794	31.4676151254212	99.9813467636635	34.407809909744	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	[c]	[c]	[c]	[c]	[c]	[c]
CYTK12	56.8177578809923	3.50748995250274	17.123670956911	22.8378884312991	90.7479947770938	5.83901270952293	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
HXPRT	54.8405148293229	21.3006941907198	79.8358515202388	27.8921752152752	81.6825219175527	17.4617793332105	Nucleotide salvage pathway	Nucleotide salvage pathway	Nucleotide salvage pathway	Nucleotide salvage pathway	Nucleotide salvage pathway	Nucleotide salvage pathway	purine salvage	purine salvage	purine salvage	purine salvage	purine salvage	purine salvage	[c]	[c]	[c]	[c]	[c]	[c]
GUAPRT	54.8405148293229	33.2663500182682	79.8358515202388	18.2141520029951	81.6825219175527	5.10222877141278	Nucleotide salvage pathway	Nucleotide salvage pathway	Nucleotide salvage pathway	Nucleotide salvage pathway	Nucleotide salvage pathway	Nucleotide salvage pathway	purine salvage	purine salvage	purine salvage	purine salvage	purine salvage	purine salvage	[c]	[c]	[c]	[c]	[c]	[c]
CYTK6	30.3674687558291	19.4738765071246	23.335198656967	31.0557843504305	99.925387054654	22.8034628845091	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
UMPK	28.2783062861406	5.6448666423091	9.17739227756016	28.8094346686634	91.5687371759	22.6192668999816	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis	pyrimidine synthesis	pyrimidine synthesis	pyrimidine synthesis	pyrimidine synthesis	pyrimidine synthesis	[c]	[c]	[c]	[c]	[c]	[c]
UMPK3	11.9753777280358	28.5348922177567	21.7683268047006	14.6012729314863	92.2775601566872	11.7332842144041	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	[c]	[c]	[c]	[c]	[c]	[c]
