	Var1	Freq
59	FAOXC18480m	2
1	2MB2COAc	1
2	3HBCOARc	1
3	ACACT6p	1
4	ADRNCPT2	1
5	BCRNe	1
6	C100CPT1	1
7	C10CRNe	1
8	C120CPT1	1
9	C12DCACT	1
10	C141ACBP	1
11	C141CPT1	1
12	C141OHc	1
13	C141OHe	1
14	C142ACBP	1
15	C142OHc	1
16	C142OHe	1
17	C160CPT2	1
18	C161OHc	1
19	C162ACBP	1
20	C162OHc	1
21	C162OHe	1
22	C16OHc	1
23	C181OHc	1
24	C18OHc	1
25	C30CPT1	1
26	C40CPT1	1
27	C4OHc	1
28	C51CPT1	1
29	C81CPT1	1
30	C81CRNe	1
31	C8DCc	1
32	CSNATp	1
33	DDECCRNe	1
34	DOCO13EFATP	1
35	EICOSTETCPT1	1
36	EICOSTETCPT2	1
37	FACOAL150	1
38	FACOAL245_1	1
39	FAOXC11C9m	1
40	FAOXC121x	1
41	FAOXC12DCc	1
42	FAOXC12DCTc	1
43	FAOXC12DCx	1
44	FAOXC13C11m	1
45	FAOXC141C141OHm	1
46	FAOXC142C142OHm	1
47	FAOXC15C13m	1
48	FAOXC161C161OHm	1
49	FAOXC162C162OHm	1
50	FAOXC164C143m	1
51	FAOXC164C165m	1
52	FAOXC164m	1
53	FAOXC165C164m	1
54	FAOXC16C14m	1
55	FAOXC16C16OHm	1
56	FAOXC1811603m	1
57	FAOXC181C181OHm	1
58	FAOXC182806m	1
60	FAOXC184C164m	1
61	FAOXC18C18OHm	1
62	FAOXC2251836m	1
63	FAOXC5C3x	1
64	FAOXC7C5m	1
65	FAOXC9C7m	1
66	HDECAACBP	1
67	HDECEACBP	1
68	HEDCECRNe	1
69	HEXDCRNe	1
70	HMR_0342	1
71	HMR_0414	1
72	HMR_2693	1
73	HMR_2705	1
74	HMR_2739	1
75	HMR_2771	1
76	HMR_3057	1
77	HMR_3058	1
78	HMR_3065	1
79	HMR_3066	1
80	HMR_3067	1
81	HMR_3068	1
82	HMR_3178	1
83	HMR_3179	1
84	HMR_3180	1
85	HMR_3181	1
86	HMR_3204	1
87	HMR_3218	1
88	HMR_3219	1
89	HMR_3220	1
90	HMR_3221	1
91	HMR_3326	1
92	HMR_3327	1
93	HMR_3328	1
94	HMR_3340	1
95	HMR_3342	1
96	HMR_3344	1
97	HMR_3346	1
98	HMR_3349	1
99	HMR_3353	1
100	HMR_3414	1
101	HMR_3422	1
102	HMR_3424	1
103	HMR_3433	1
104	HMR_9719	1
105	HOCDACBP	1
106	HOCTDACBP	1
107	HOCTDECCRNe	1
108	LNLNCGCPT1	1
109	OCTDECCACT	1
110	OCTDECCPT1	1
111	OCTDECCPT2	1
112	OCTDECE1CRNe	1
113	PTDCACRNCPT1	1
114	r0636	1
115	r0719	1
116	r0721	1
117	r1253	1
118	r1259	1
119	r1401	1
120	r1443	1
121	r1444	1
122	sink_c81coa[c]	1
123	sink_octdececoa[c]	1
124	sink_tetdece1coa[c]	1
125	SUBERCACT	1
126	SUBERCROT	1
127	TETDECE1CRNe	1
128	TIGCRNe	1
