	Var1	Freq
79	D_LACt2	3
158	MMAte	3
161	NAHCO3_HCLt	3
190	PROt4	3
199	r1116	3
210	r1579	3
250	r2122	3
256	r2131	3
298	The	3
307	TYRt4	3
7	34HPLte	2
13	3MHISt3	2
38	ASCBt	2
39	ASCBt4	2
46	ASPGLUTRPt	2
58	C02356t	2
67	CALAtr	2
68	CE2513td	2
78	CYTDt2r	2
85	DOPAENT4tc	2
99	GALt4	2
106	GLYALDtr	2
107	GLYSNAT5tc	2
113	HCO3_CLt	2
121	HISt4	2
128	HMR_9652	2
129	HOMOVALte	2
136	KHte	2
138	L_LACt2r	2
142	LEUt4	2
148	LYStiDF	2
157	MMAt2e	2
159	NACSMCTte	2
160	NACUP	2
166	NH4t3r	2
169	NRPPHRt4_2_r	2
185	PIt9	2
186	PPASMCT1	2
187	PPBNGte	2
192	PYRSMCT1	2
196	r0974	2
198	r1106	2
200	r1143	2
204	r1554	2
208	r1566	2
227	r1662	2
237	r2090	2
238	r2091	2
241	r2096	2
243	r2098	2
245	r2106	2
246	r2112	2
249	r2118	2
252	r2125	2
253	r2128	2
255	r2130	2
260	r2309	2
306	TRPt4	2
1	13_CIS_RETNte	1
2	15KPROSTGF2t	1
3	2HBt2	1
4	2OBUTt	1
5	2OXOADPt	1
6	2PGtr	1
8	3AIBSYMPt	1
9	3AIBt1	1
10	3HCO3_NAt	1
11	3HPPt	1
12	3MHISt1	1
14	3MOBte	1
15	4HPROLTASCT1	1
16	4TMEABUTNt1	1
17	4TMEABUTNt2	1
18	56DTHMt	1
19	56DTHMtd	1
20	56DURAt	1
21	56DURAtd	1
22	5AOPt	1
23	5HPETtd	1
24	7DHCHSTEROLtd	1
25	ABT_Dt2	1
26	ABUTt4_2_r	1
27	ACACt2	1
28	ACETONEt2	1
29	ACt2r	1
30	ADNCNT3tc	1
31	ADNt	1
32	ALADGLYexR	1
33	ALAHISALAt	1
34	AMETt	1
35	ARGLYSASPt	1
36	ARGPROTHRt	1
37	ARGt4	1
40	ASNt4	1
41	ASNtN1	1
42	ASNTYRTHRt	1
43	ASPDt6	1
44	ASPDTDe	1
45	ASPGLUPROt	1
47	ASPLYSGLUt	1
