	Var1	Freq
5	GALASE17ly	2
6	GALASE18ly	2
8	GALASE20ly	2
16	NACHEX24ly	2
17	NACHEX25ly	2
18	NACHEX26ly	2
29	S6TASE24ly	2
30	S6TASE25ly	2
31	S6TASE26ly	2
32	SIAASE3ly	2
33	SIAASE4ly	2
1	GALASE10ly	1
2	GALASE11ly	1
3	GALASE13ly	1
4	GALASE16ly	1
7	GALASE19ly	1
9	GALASE3ly	1
10	GALASE5ly	1
11	NACHEX11ly	1
12	NACHEX16ly	1
13	NACHEX17ly	1
14	NACHEX19ly	1
15	NACHEX23ly	1
19	NAGA2ly	1
20	NAGLCAly	1
21	S6TASE10ly	1
22	S6TASE11ly	1
23	S6TASE13ly	1
24	S6TASE18ly	1
25	S6TASE19ly	1
26	S6TASE20ly	1
27	S6TASE22ly	1
28	S6TASE23ly	1
