subSystem	disrupted_module	rxnList	MetabolicUnits	rxnFormula	rxnName	rxnECNumbers
Inositol phosphate metabolism	FVA_BD_NR_abs	HMR_6549	NA	h2o[c] + pail34p_hs[c]  -> pi[c] + pail3p_hs[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	HMR_6564	NA	h2o[c] + mi1345p[c]  -> pi[c] + mi145p[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	HMR_6580	NA	atp[g] + pail_hs[g]  -> h[g] + adp[g] + pail5p_hs[g] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	HMR_6584	NA	h2o[g] + pail5p_hs[g]  -> pi[g] + pail_hs[g] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	HMR_7652	NA	atp[c] + minohp[c]  -> adp[c] + ppmi12346p[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	MI1345PP	NA	h2o[c] + mi1345p[c]  -> pi[c] + mi134p[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	MI134PP	NA	h2o[c] + mi134p[c]  -> pi[c] + mi34p[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	MI145PK	NA	atp[c] + mi145p[c]  -> h[c] + adp[c] + mi1345p[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	MI14P4P	NA	h2o[c] + mi14p[c]  -> pi[c] + mi1p_D[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	MI14PP	NA	h2o[c] + mi14p[c]  -> pi[c] + mi4p_D[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	MI1PP	phospholipid metabolism/inositol, cytosol	h2o[c] + mi1p_D[c]  -> pi[c] + inost[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	MI1PS	phospholipid metabolism/inositol, cytosol	g6p[c]  -> mi1p_D[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	MI34PP	NA	h2o[c] + mi34p[c]  -> pi[c] + mi3p_D[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	MI3PP	NA	h2o[c] + mi3p_D[c]  -> pi[c] + inost[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	MI4PP	NA	h2o[c] + mi4p_D[c]  -> pi[c] + inost[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	PI345P5P	NA	h2o[c] + pail345p_hs[c]  -> pi[c] + pail34p_hs[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	PI34P5K	NA	atp[c] + pail34p_hs[c]  -> h[c] + adp[c] + pail345p_hs[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	PI3P4K	NA	atp[c] + pail3p_hs[c]  -> h[c] + adp[c] + pail34p_hs[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	PI3P5K	NA	atp[c] + pail3p_hs[c]  -> h[c] + adp[c] + pail35p_hs[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	PI45P3K	NA	atp[c] + pail45p_hs[c]  -> h[c] + adp[c] + pail345p_hs[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	PI4P3K	NA	atp[c] + pail4p_hs[c]  -> h[c] + adp[c] + pail34p_hs[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	PI5P4K	new to recon	atp[c] + pail5p_hs[c]  -> h[c] + adp[c] + pail45p_hs[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	PIK3	NA	atp[c] + pail_hs[c]  -> h[c] + adp[c] + pail3p_hs[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	PIPLC	phospholipid metabolism/inositol, cytosol	h2o[c] + pail_hs[c]  -> h[c] + dag_hs[c] + mi1p_D[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	PMI12346PH	NA	h2o[c] + ppmi12346p[c]  -> h[c] + pi[c] + minohp[c] 		
Inositol phosphate metabolism	FVA_BD_NR_abs	PMI12346PHn	NA	h2o[n] + ppmi12346p[n]  -> h[n] + minohp[n] + pi[n] 		
Inositol phosphate metabolism	MTA_BD_NR_norm_t1	PMI12346PHn	NA	h2o[n] + ppmi12346p[n]  -> h[n] + minohp[n] + pi[n] 		
Inositol phosphate metabolism	MTA_BD_NR_norm_t1	MI1345PKc	NA	NA		
Inositol phosphate metabolism	MTA_BD_NR_norm_t1	MI13456PK	NA	NA		
Inositol phosphate metabolism	MTA_BD_NR_norm_t1	MI145PK	NA	atp[c] + mi145p[c]  -> h[c] + adp[c] + mi1345p[c] 		
Inositol phosphate metabolism	MTA_BD_NR_norm_t1	MI1PP	phospholipid metabolism/inositol, cytosol	h2o[c] + mi1p_D[c]  -> pi[c] + inost[c] 		
Inositol phosphate metabolism	MTA_BD_NR_norm_t1	HMR_7652	NA	atp[c] + minohp[c]  -> adp[c] + ppmi12346p[c] 		
Inositol phosphate metabolism	MTA_BD_NR_norm_t1	MI145PP	NA	h2o[c] + mi145p[c]  -> pi[c] + mi14p[c] 		
Inositol phosphate metabolism	MTA_BD_NR_norm_t1	PIPLC	phospholipid metabolism/inositol, cytosol	h2o[c] + pail_hs[c]  -> h[c] + dag_hs[c] + mi1p_D[c] 		
Inositol phosphate metabolism	MTA_BD_NR_norm_t1	MI14P4P	NA	h2o[c] + mi14p[c]  -> pi[c] + mi1p_D[c] 		
