subSystem	disrupted_module	rxnList	MetabolicUnits	rxnFormula	rxnName	rxnECNumbers
Tyrosine metabolism	FVA_BD_NR_norm_t2	DCT	NA	L_dpchrm[c]  <=> 56dihindlcrbxlt[c] 	Dopachrome Tautomerase	5.3.3.12
Tyrosine metabolism	FVA_BD_NR_norm_t2	DOPAQNISO1	NA	dopaqn[c]  <=> h[c] + 2c23dh56dhoxin[c] 	Dopaquinone Isomerase 1	2.4.1.130
Tyrosine metabolism	FVA_BD_NR_norm_t2	GGTe_1	NA	h2o[e] + CE5026[e]  <=> glu_L[e] + 5cysgly34dhphe[e] 	Gamma-Glutamyltransferase	2.3.2.2
Tyrosine metabolism	FVA_BD_NR_norm_t2	RE1916C	NA	gthrd[c] + dopaqn[c]  <=> CE5026[c] 	Glutathione Transferase	2.5.1.18
Tyrosine metabolism	FVA_BD_NR_norm_t2	RE3198C	NA	h[c] + nadh[c] + L_dpchrm[c]  <=> nad[c] + 2c23dh56dhoxin[c] 	RE3198C	
Tyrosine metabolism	FVA_BD_NR_norm_t2	TYRASE	NA	56dihindlcrbxlt[c]  -> melanin[c] 	Tyrosinase	
Tyrosine metabolism	MTA_BD_NR_abs	SALMCOM	tyrosine metabolism	amet[c] + nrpphr[c]  -> h[c] + ahcys[c] + normete_L[c] 	S-Adenosyl-L-Methionine:Catechol O-Methyltransferase	2.1.1.6
Tyrosine metabolism	MTA_BD_NR_abs	DOPAMT	NA	amet[c] + dopa[c]  -> h[c] + ahcys[c] + 3moxtyr[c] 	Dopamine:Amet O-Methyltransferase	2.1.1.6
Tyrosine metabolism	MTA_BD_NR_abs	34DHPHAMT	NA	34dhpha[c] + amet[c]  -> h[c] + ahcys[c] + homoval[c] 	3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase	2.1.1.6
Tyrosine metabolism	MTA_BD_NR_abs	RE1916C	NA	gthrd[c] + dopaqn[c]  <=> CE5026[c] 	Glutathione Transferase	2.5.1.18
Tyrosine metabolism	MTA_BD_NR_abs	RE1915C	NA	cys_L[c] + dopaqn[c]  <=> CE1261[c] 	RE1915C	1.1.1.184
Tyrosine metabolism	MTA_BD_NR_abs	RE1918C	NA	dopa[c] + acald[c]  <=> h2o[c] + C09642[c] 	RE1918C	
Tyrosine metabolism	MTA_BD_NR_abs	RE2130C	NA	dopa[c] + fald[c]  <=> h2o[c] + CE2172[c] 	RE2130C	2.7.1.68
Tyrosine metabolism	MTA_BD_NR_abs	RE1919C	NA	pyr[c] + dopa[c]  <=> h2o[c] + CE5626[c] 	RE1919C	
Tyrosine metabolism	MTA_BD_NR_abs	RE1921C	NA	CE5626[c]  <=> 2 h[c] + co2[c] + CE5629[c] 	Aromatic-L-Amino-Acid Decarboxylase	4.1.1.28
Tyrosine metabolism	MTA_BD_NR_abs	DACGST	NA	gthrd[c] + 23dh1i56dio[c]  <=> 4glu56dihdind[c] 	2, 3-Dihydro-1H-Indole-5, 6-Dione Glutathione Conjugation	2.5.1.18
Tyrosine metabolism	MTA_BD_NR_abs	DCT	NA	L_dpchrm[c]  <=> 56dihindlcrbxlt[c] 	Dopachrome Tautomerase	5.3.3.12
Tyrosine metabolism	MTA_BD_NR_abs	TYRASE	NA	56dihindlcrbxlt[c]  -> melanin[c] 	Tyrosinase	
Tyrosine metabolism	MTA_BD_NR_abs	SFGTH	NA	h2o[c] + Sfglutth[c]  -> h[c] + for[c] + gthrd[c] 	S-Formylglutathione Hydralase	3.1.2.12
