	subSystem	disrupted.module	rxnList
1	Drug metabolism	MTA_BD_R_norm_t1	CRVStu
2	Drug metabolism	MTA_BD_R_norm_t1	CRVSthc
3	Drug metabolism	MTA_BD_R_norm_t1	35DHPVStep
4	Drug metabolism	MTA_BD_R_norm_t1	35DHPVSthc
5	Drug metabolism	MTA_BD_R_norm_t1	LSTNM7TDhc
6	Drug metabolism	MTA_BD_R_norm_t1	LSTNM7thc
7	Drug metabolism	MTA_BD_R_norm_t1	4HATVLACtep
8	Drug metabolism	MTA_BD_R_norm_t1	4HATVLACthc
9	Drug metabolism	MTA_BD_R_norm_t1	6EPVStep
10	Drug metabolism	MTA_BD_R_norm_t1	6EPVSthc
11	Drug metabolism	MTA_BD_R_norm_t1	RSVtev
12	Drug metabolism	MTA_BD_R_norm_t1	RSVtu
13	Drug metabolism	MTA_BD_R_norm_t1	LST4EXPTDhc
14	Drug metabolism	MTA_BD_R_norm_t1	LST4EXPthc
15	Drug metabolism	MTA_BD_R_norm_t2	3ISPVStep
16	Drug metabolism	MTA_BD_R_norm_t2	3ISPVSthc
17	Drug metabolism	MTA_BD_R_norm_t2	4HATVACIDtep
18	Drug metabolism	MTA_BD_R_norm_t2	4HATVACIDthc
19	Drug metabolism	MTA_BD_R_norm_t2	TMDtd
20	Drug metabolism	MTA_BD_R_norm_t2	CRVStu
21	Drug metabolism	MTA_BD_R_norm_t2	CRVSthc
22	Drug metabolism	MTA_BD_R_norm_t2	4HATVLACtep
23	Drug metabolism	MTA_BD_R_norm_t2	4HATVLACthc
24	Drug metabolism	MTA_BD_R_norm_t2	TMDOATtev
25	Drug metabolism	MTA_BD_R_norm_t2	LSTNM7TDhc
26	Drug metabolism	MTA_BD_R_norm_t2	LSTNM7thc
27	Drug metabolism	MTA_BD_R_norm_t2	FVStu
28	Drug metabolism	MTA_BD_R_norm_t2	OXYPthc
29	Drug metabolism	MTA_BD_R_norm_t2	OXYPtepv
30	Drug metabolism	MTA_BD_R_norm_t2	PVStep
31	Drug metabolism	MTA_BD_R_norm_t2	TMDOATthc
32	Drug metabolism	MTA_BD_R_norm_t2	RSVtev
33	Drug metabolism	MTA_BD_R_norm_t2	RSVtu
34	Drug metabolism	MTA_BD_R_norm_t2	3HPVSTETCOAhcm
35	Drug metabolism	MTA_BD_R_norm_t2	3HPVSCOAitm
36	Drug metabolism	MTA_BD_R_norm_t2	3HPVSTETCOAitm
37	Drug metabolism	MTA_BD_R_norm_t2	LST4EXPTDhc
38	Drug metabolism	MTA_BD_R_norm_t2	LST4EXPthc
39	Drug metabolism	MTA_BD_R_norm_t2	LSTNRATt
40	Drug metabolism	MTA_BD_R_norm_t2	LSTNtd
41	Drug metabolism	MTA_BD_R_norm_t2	TMDOATPtsc
