subSystem	disrupted_module	rxnList	MetabolicUnits	Localization	rxnFormula	rxnName	rxnECNumbers
Transport, extracellular	MTA_BD_R_abs	KYNATEtr2	NA	intercompartmental	kynate[e]  <=> kynate[c] 		
Transport, extracellular	MTA_BD_R_abs	NAIt	NA	intercompartmental	2 na1[e] + i[e]  <=> 2 na1[c] + i[c] 		
Transport, extracellular	MTA_BD_R_abs	r1516	NA	intercompartmental	h2o[c] + atp[c] + ocdcea[c]  -> h[c] + adp[c] + pi[c] + ocdcea[e] 		
Transport, extracellular	MTA_BD_R_abs	UDPGLCURtr	NA	intercompartmental	udpglcur[e]  <=> udpglcur[c] 		
Transport, extracellular	MTA_BD_R_abs	INSTt4_2	NA	intercompartmental	2 na1[e] + inost[e]  <=> 2 na1[c] + inost[c] 		
Transport, extracellular	MTA_BD_R_abs	MALTTTRt	NA	intercompartmental	maltttr[e]  <=> maltttr[c] 		
Transport, extracellular	MTA_BD_R_abs	DHBPTt	NA	intercompartmental	dhbpt[c]  <=> dhbpt[e] 		
Transport, extracellular	MTA_BD_R_abs	THBPTt	NA	intercompartmental	thbpt[c]  <=> thbpt[e] 		
Transport, extracellular	MTA_BD_R_abs	MMAte	NA	intercompartmental	h[c] + mma[e]  <=> h[e] + mma[c] 		
Transport, extracellular	MTA_BD_R_abs	r1519	NA	intercompartmental	h2o[c] + atp[c] + elaid[c]  -> h[c] + adp[c] + pi[c] + elaid[e] 		
Transport, extracellular	MTA_BD_R_abs	XOL7AH3t	NA	intercompartmental	na1[c] + xol7ah3[c]  <=> na1[e] + xol7ah3[e] 		
Transport, extracellular	MTA_BD_R_abs	AMETt	NA	intercompartmental	amet[c]  <=> amet[e] 		
Transport, extracellular	MTA_BD_R_abs	ASPGLUTRPt	NA	intercompartmental	h[e] + aspglutrp[e]  <=> h[c] + aspglutrp[c] 		
Transport, extracellular	MTA_BD_R_abs	7DHCHSTEROLtd	NA	intercompartmental	7dhchsterol[c]  <=> 7dhchsterol[e] 		
Transport, extracellular	MTA_BD_R_abs	THMDt2r	NA	intercompartmental	h[e] + thymd[e]  <=> h[c] + thymd[c] 		
Transport, extracellular	MTA_BD_R_abs	DOPAtu	NA	intercompartmental	dopa[e]  <=> dopa[c] 		
Transport, extracellular	MTA_BD_R_abs	DHCHOLESTANATEt	NA	intercompartmental	na1[c] + dhcholestanate[c]  <=> na1[e] + dhcholestanate[e] 		
Transport, extracellular	MTA_BD_R_abs	CYTDt2r	NA	intercompartmental	h[e] + cytd[e]  <=> h[c] + cytd[c] 		
Transport, extracellular	MTA_BD_R_abs	THRPHEARGt	NA	intercompartmental	h[e] + thrphearg[e]  <=> h[c] + thrphearg[c] 		
