	subSystem	disrupted.module	rxnList
1	Keratan sulfate degradation	FVA_BD_norm_t2	GALASE16ly
2	Keratan sulfate degradation	FVA_BD_norm_t2	GALASE17ly
3	Keratan sulfate degradation	FVA_BD_norm_t2	GALASE18ly
4	Keratan sulfate degradation	FVA_BD_norm_t2	GALASE19ly
5	Keratan sulfate degradation	FVA_BD_norm_t2	GALASE20ly
6	Keratan sulfate degradation	FVA_BD_norm_t2	NACHEX23ly
7	Keratan sulfate degradation	FVA_BD_norm_t2	NACHEX24ly
8	Keratan sulfate degradation	FVA_BD_norm_t2	NACHEX25ly
9	Keratan sulfate degradation	FVA_BD_norm_t2	NACHEX26ly
10	Keratan sulfate degradation	FVA_BD_norm_t2	NAGA2ly
11	Keratan sulfate degradation	FVA_BD_norm_t2	NAGLCAly
12	Keratan sulfate degradation	FVA_BD_norm_t2	S6TASE22ly
13	Keratan sulfate degradation	FVA_BD_norm_t2	S6TASE23ly
14	Keratan sulfate degradation	FVA_BD_norm_t2	S6TASE24ly
15	Keratan sulfate degradation	FVA_BD_norm_t2	S6TASE25ly
16	Keratan sulfate degradation	FVA_BD_norm_t2	S6TASE26ly
17	Keratan sulfate degradation	FVA_BD_norm_t2	SIAASE3ly
18	Keratan sulfate degradation	FVA_BD_norm_t2	SIAASE4ly
19	Keratan sulfate degradation	MTA_BD_abs	GALASE3ly
20	Keratan sulfate degradation	MTA_BD_abs	S6TASE10ly
21	Keratan sulfate degradation	MTA_BD_abs	S6TASE11ly
22	Keratan sulfate degradation	MTA_BD_abs	GALASE17ly
23	Keratan sulfate degradation	MTA_BD_abs	GALASE18ly
24	Keratan sulfate degradation	MTA_BD_abs	NACHEX24ly
25	Keratan sulfate degradation	MTA_BD_abs	NACHEX25ly
26	Keratan sulfate degradation	MTA_BD_abs	GALASE11ly
27	Keratan sulfate degradation	MTA_BD_abs	NACHEX17ly
28	Keratan sulfate degradation	MTA_BD_abs	S6TASE19ly
29	Keratan sulfate degradation	MTA_BD_abs	GALASE20ly
30	Keratan sulfate degradation	MTA_BD_abs	NACHEX26ly
31	Keratan sulfate degradation	MTA_BD_abs	S6TASE25ly
32	Keratan sulfate degradation	MTA_BD_abs	S6TASE26ly
33	Keratan sulfate degradation	MTA_BD_abs	SIAASE4ly
34	Keratan sulfate degradation	MTA_BD_abs	S6TASE24ly
35	Keratan sulfate degradation	MTA_BD_abs	SIAASE3ly
36	Keratan sulfate degradation	MTA_BD_abs	GALASE13ly
37	Keratan sulfate degradation	MTA_BD_abs	NACHEX19ly
38	Keratan sulfate degradation	MTA_BD_abs	S6TASE20ly
39	Keratan sulfate degradation	MTA_BD_abs	GALASE5ly
40	Keratan sulfate degradation	MTA_BD_abs	NACHEX11ly
41	Keratan sulfate degradation	MTA_BD_abs	S6TASE13ly
42	Keratan sulfate degradation	MTA_BD_abs	GALASE10ly
43	Keratan sulfate degradation	MTA_BD_abs	NACHEX16ly
44	Keratan sulfate degradation	MTA_BD_abs	S6TASE18ly
