subSystem	disrupted_module	rxnList	MetabolicUnits	Localization	rxnFormula	rxnName	rxnECNumbers
Fatty acid oxidation	FVA_BD_abs	FAOXC102C103m	betaoxidation	[m]	fad[m] + dec47dicoa[m]  -> fadh2[m] + dectricoa[m] 	Fatty Acid Beta Oxidation (C10:2->C10:3), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	FAOXC102C81m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2decdicoa[m]  -> h[m] + nadh[m] + accoa[m] + octe5coa[m] 	Fatty Acid Beta Oxidation (C10:2->C8:1), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	FAOXC102m	betaoxidation	[m]	3decdicoa[m]  -> 2decdicoa[m] 	Isomerization (C10:2), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	FAOXC103C102m	betaoxidation	[m]	h[m] + nadph[m] + dectricoa[m]  -> nadp[m] + 3decdicoa[m] 	Fatty Acid Beta Oxidation (C10:3->C10:2), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	FAOXC123C102m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2dodtricoa[m]  -> h[m] + nadh[m] + accoa[m] + dec47dicoa[m] 	Fatty Acid Beta Oxidation (C12:3->C10:2), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	FAOXC123m	betaoxidation	[m]	3dodtricoa[m]  -> 2dodtricoa[m] 	Isomerization (C12:3), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	FAOXC143C123m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + 5tedtricoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 3dodtricoa[m] 	Fatty Acid Beta Oxidation (C14:3->C12:3), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	FAOXC61m	betaoxidation	[m]	hexe3coa[m]  -> hx2coa[m] 	Isomerization (C6:1), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	FAOXC81C61m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + octe5coa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + hexe3coa[m] 	Fatty Acid Beta Oxidation (C8:1->C6:1), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	HMR_0362	NA	[c]	h2o[c] + tmndnccoa[c]  -> h[c] + coa[c] + tmndnc[c] 	Palmitoyl Coenzyme A Hydrolase	EC:3.1.2.2
Fatty acid oxidation	FVA_BD_abs	TMNDNCCPT1	carnitine shuttle	[c]	crn[c] + tmndnccoa[c]  <=> coa[c] + tmndnccrn[c] 	Carnitine O-Palmitoyltransferase	2.3.1.21
Fatty acid oxidation	FVA_BD_abs	r0728	betaoxidation	[m]	3hdcoa[m]  <=> h2o[m] + dc2coa[m] 	(S)-Hydroxydecanoyl Coenzyme A Hydro-Lyase 	4.2.1.17
Fatty acid oxidation	FVA_BD_abs	C161CPT1	carnitine shuttle	[c]	crn[c] + hdcoa[c]  <=> coa[c] + hdcecrn[c] 	Production of Palmitoleoylcarnitine	2.3.1.21
Fatty acid oxidation	FVA_BD_abs	HMR_3428	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 4 fad[m] + tmndnccoa[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 4 fadh2[m] 	Enoyl Coenzyme A Hydratase	EC:4.2.1.17;EC:1.1.1.35;EC:1.1.1.211;EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:2.3.1.16
