	reactionIdentifier	lineWidth	color
1	r_GALASE16ly	3	#FF0000
2	r_GALASE17ly	3	#FF0000
3	r_GALASE18ly	3	#FF0000
4	r_GALASE19ly	3	#FF0000
5	r_GALASE20ly	3	#FF0000
6	r_NACHEX23ly	3	#FF0000
7	r_NACHEX24ly	3	#FF0000
8	r_NACHEX25ly	3	#FF0000
9	r_NACHEX26ly	3	#FF0000
10	r_NAGA2ly	3	#FF0000
11	r_NAGLCAly	3	#FF0000
12	r_S6TASE22ly	3	#FF0000
13	r_S6TASE23ly	3	#FF0000
14	r_S6TASE24ly	3	#FF0000
15	r_S6TASE25ly	3	#FF0000
16	r_S6TASE26ly	3	#FF0000
17	r_SIAASE3ly	3	#FF0000
18	r_SIAASE4ly	3	#FF0000
19	r_GALASE7ly	3	#FF0000
20	r_NACHEX13ly	3	#FF0000
21	r_S6TASE15ly	3	#FF0000
27	r_GALASE12ly	3	#FF0000
28	r_NACHEX18ly	3	#FF0000
29	r_S6TASE19ly	3	#FF0000
33	r_S6TASE20ly	3	#FF0000
34	r_GALASE10ly	3	#FF0000
35	r_NACHEX16ly	3	#FF0000
36	r_S6TASE18ly	3	#FF0000
37	r_NACHEX21ly	3	#FF0000
38	r_S6TASE21ly	3	#FF0000
39	r_ENGASE3ly	3	#FF0000
40	r_GASNASE3ly	3	#FF0000
41	r_SIAASE2ly	3	#FF0000
42	r_NACHEX22ly	3	#FF0000
