reactionIdentifier	lineWidth	color
r_GALASE16ly	3	#0000FF
r_GALASE17ly	3	#0000FF
r_GALASE18ly	3	#0000FF
r_GALASE19ly	3	#0000FF
r_GALASE20ly	3	#0000FF
r_NACHEX23ly	3	#0000FF
r_NACHEX24ly	3	#0000FF
r_NACHEX25ly	3	#0000FF
r_NACHEX26ly	3	#0000FF
r_NAGA2ly	3	#0000FF
r_NAGLCAly	3	#0000FF
r_S6TASE22ly	3	#0000FF
r_S6TASE23ly	3	#0000FF
r_S6TASE24ly	3	#0000FF
r_S6TASE25ly	3	#0000FF
r_S6TASE26ly	3	#0000FF
r_SIAASE3ly	3	#0000FF
r_SIAASE4ly	3	#0000FF
r_GALASE3ly	3	#0000FF
r_S6TASE10ly	3	#0000FF
r_S6TASE11ly	3	#0000FF
r_GALASE11ly	3	#0000FF
r_NACHEX17ly	3	#0000FF
r_S6TASE19ly	3	#0000FF
r_GALASE13ly	3	#0000FF
r_NACHEX19ly	3	#0000FF
r_S6TASE20ly	3	#0000FF
r_GALASE5ly	3	#0000FF
r_NACHEX11ly	3	#0000FF
r_S6TASE13ly	3	#0000FF
r_GALASE10ly	3	#0000FF
r_NACHEX16ly	3	#0000FF
r_S6TASE18ly	3	#0000FF
