	reactionIdentifier	lineWidth	color
1	r_FAOXC102C103m	3	#0000FF
2	r_FAOXC102C81m	3	#0000FF
3	r_FAOXC102m	3	#0000FF
4	r_FAOXC103C102m	3	#0000FF
5	r_FAOXC123C102m	3	#0000FF
6	r_FAOXC123m	3	#0000FF
7	r_FAOXC143C123m	3	#0000FF
8	r_FAOXC61m	3	#0000FF
9	r_FAOXC81C61m	3	#0000FF
10	r_HMR_0362	3	#0000FF
11	r_TMNDNCCPT1	3	#0000FF
12	r_r0728	3	#0000FF
13	r_C161CPT1	3	#0000FF
14	r_HMR_3428	3	#0000FF
15	r_C180CPT1	3	#0000FF
16	r_C180CPT2	3	#0000FF
17	r_FAOXC140	3	#0000FF
18	r_FAOXC18480m	3	#0000FF
19	r_HMR_0354	3	#0000FF
20	r_HMR_3115	3	#0000FF
21	r_HMR_3398	3	#0000FF
22	r_STRDNCCPT1	3	#0000FF
23	r_r0633	3	#0000FF
24	r_CLPNDCPT1	3	#0000FF
25	r_CLPNDCPT2	3	#0000FF
26	r_ELAIDCPT1	3	#0000FF
27	r_FAOXC101x	3	#0000FF
28	r_FAOXC164C143m	3	#0000FF
29	r_FAOXC164C165m	3	#0000FF
30	r_FAOXC164m	3	#0000FF
31	r_FAOXC165C164m	3	#0000FF
32	r_FAOXC184C164m	3	#0000FF
33	r_HMR_0366	3	#0000FF
34	r_HMR_2611	3	#0000FF
35	r_HMR_3322	3	#0000FF
36	r_HMR_3429	3	#0000FF
37	r_HMR_9719	3	#0000FF
38	r_RE1518X	3	#0000FF
39	r_RE1520X	3	#0000FF
40	r_RE1521X	3	#0000FF
41	r_RE1522X	3	#0000FF
42	r_RE1525X	3	#0000FF
43	r_RE1526X	3	#0000FF
44	r_RE1527X	3	#0000FF
45	r_RE1532X	3	#0000FF
46	r_RE1533X	3	#0000FF
47	r_RE1534X	3	#0000FF
48	r_RE1573X	3	#0000FF
49	r_RE3119C	3	#0000FF
50	r_RE3120C	3	#0000FF
51	r_RE3121C	3	#0000FF
52	r_RE3122C	3	#0000FF
53	r_r0638	3	#0000FF
54	r_r0660	3	#0000FF
55	r_ACACT4p	3	#0000FF
69	r_r0444	3	#0000FF
71	r_r0727	3	#0000FF
72	r_r0729	3	#0000FF
73	r_r0791	3	#0000FF
74	r_r1262	3	#0000FF
75	r_r1487	3	#0000FF
76	r_ACCOAC	3	#0000FF
77	r_HMR_2774	3	#0000FF
78	r_HMR_3229	3	#0000FF
79	r_HMR_3230	3	#0000FF
80	r_HMR_3231	3	#0000FF
81	r_HMR_3232	3	#0000FF
82	r_HMR_3233	3	#0000FF
83	r_HMR_3425	3	#0000FF
84	r_r1472	3	#0000FF
85	r_r1474	3	#0000FF
86	r_r1477	3	#0000FF
100	r_r0652	3	#0000FF
101	r_HMR_2608	3	#0000FF
102	r_HMR_3070	3	#0000FF
103	r_HMR_3071	3	#0000FF
104	r_HMR_3072	3	#0000FF
105	r_HMR_3073	3	#0000FF
106	r_HMR_3121	3	#0000FF
107	r_HMR_3128	3	#0000FF
108	r_HMR_3135	3	#0000FF
114	r_TTDCPT2	3	#0000FF
115	r_r0308	3	#0000FF
116	r_r0309	3	#0000FF
117	r_HMR_3205	3	#0000FF
118	r_HMR_2705	3	#0000FF
119	r_HMR_3218	3	#0000FF
120	r_HMR_3219	3	#0000FF
121	r_HMR_3220	3	#0000FF
122	r_HMR_3221	3	#0000FF
123	r_HMR_3422	3	#0000FF
124	r_3OHSEBCOAx	3	#0000FF
125	r_3OHSEBACx	3	#0000FF
126	r_ADRNCPT2	3	#0000FF
127	r_2MB2COAc	3	#0000FF
128	r_C51CPT1	3	#0000FF
129	r_TIGCRNe	3	#0000FF
130	r_FAOXC163C164Gm	3	#0000FF
131	r_FAOXC163GC142m	3	#0000FF
132	r_FAOXC163Gm	3	#0000FF
133	r_FAOXC164GC163m	3	#0000FF
135	r_FAOXC61C4m	3	#0000FF
136	r_FAOXTC182TC162m	3	#0000FF
137	r_C121CPT1	3	#0000FF
138	r_sink_dd2coa[c]	3	#0000FF
139	r_DDECE1CRNe	3	#0000FF
140	r_HMR_2768	3	#0000FF
141	r_HMR_3423	3	#0000FF
142	r_C8DCc	3	#0000FF
143	r_SUBERCACT	3	#0000FF
144	r_SUBERCROT	3	#0000FF
145	r_sink_c81coa[c]	3	#0000FF
146	r_C81CPT1	3	#0000FF
147	r_C81CRNe	3	#0000FF
148	r_C102CPT1	3	#0000FF
149	r_sink_decdicoa[c]	3	#0000FF
150	r_DECDICRNe	3	#0000FF
151	r_sink_c101coa[c]	3	#0000FF
152	r_C101CPT1	3	#0000FF
153	r_C101CRNe	3	#0000FF
154	r_HMR_3222	3	#0000FF
155	r_HMR_3223	3	#0000FF
156	r_HMR_3224	3	#0000FF
157	r_HMR_3225	3	#0000FF
158	r_C142CPT1	3	#0000FF
159	r_sink_tetdec2coa[c]	3	#0000FF
160	r_TETDEC2CRNe	3	#0000FF
161	r_DLNLCGCPT2	3	#0000FF
162	r_FAOXC183806m	3	#0000FF
163	r_FAOXC204184m	3	#0000FF
164	r_FAOXC160	3	#0000FF
165	r_DMNONCRNCPT2	3	#0000FF
166	r_HMR_3069	3	#0000FF
167	r_DOCO13EFATP	3	#0000FF
168	r_C16DCc	3	#0000FF
169	r_C16DCe	3	#0000FF
170	r_FAOXC14DCC12DCx	3	#0000FF
171	r_FAOXC16DCC14DCx	3	#0000FF
172	r_FAOXC16DCr	3	#0000FF
173	r_HEXDIACtr	3	#0000FF
174	r_HEXDICOAACBP	3	#0000FF
175	r_HEXDICOAACBPx	3	#0000FF
176	r_FCOAH	3	#0000FF
177	r_PHYHx	3	#0000FF
178	r_HMR_3068	3	#0000FF
179	r_FAOXC2251836m	3	#0000FF
180	r_C100CPT1	3	#0000FF
181	r_C10CRNe	3	#0000FF
182	r_C141CPT1	3	#0000FF
183	r_sink_tetdece1coa[c]	3	#0000FF
184	r_TETDECE1CRNe	3	#0000FF
185	r_HMR_0280	3	#0000FF
187	r_FAOXC204	3	#0000FF
189	r_HMR_3426	3	#0000FF
190	r_EICOSTETCPT1	3	#0000FF
191	r_HMR_0414	3	#0000FF
192	r_HMR_0342	3	#0000FF
