	reactionIdentifier	lineWidth	color
1	r_CRVStu	3	#00FF00
2	r_CRVSthc	3	#00FF00
3	r_35DHPVStep	3	#00FF00
4	r_35DHPVSthc	3	#00FF00
5	r_LSTNM7TDhc	3	#00FF00
6	r_LSTNM7thc	3	#00FF00
7	r_4HATVLACtep	3	#00FF00
8	r_4HATVLACthc	3	#00FF00
9	r_6EPVStep	3	#00FF00
10	r_6EPVSthc	3	#00FF00
11	r_RSVtev	3	#00FF00
12	r_RSVtu	3	#00FF00
13	r_LST4EXPTDhc	3	#00FF00
14	r_LST4EXPthc	3	#00FF00
15	r_3ISPVStep	3	#00FF00
16	r_3ISPVSthc	3	#00FF00
17	r_4HATVACIDtep	3	#00FF00
18	r_4HATVACIDthc	3	#00FF00
19	r_TMDtd	3	#00FF00
24	r_TMDOATtev	3	#00FF00
27	r_FVStu	3	#00FF00
28	r_OXYPthc	3	#00FF00
29	r_OXYPtepv	3	#00FF00
30	r_PVStep	3	#00FF00
31	r_TMDOATthc	3	#00FF00
34	r_3HPVSTETCOAhcm	3	#00FF00
35	r_3HPVSCOAitm	3	#00FF00
36	r_3HPVSTETCOAitm	3	#00FF00
39	r_LSTNRATt	3	#00FF00
40	r_LSTNtd	3	#00FF00
41	r_TMDOATPtsc	3	#00FF00
