	reactionIdentifier	lineWidth	color
1	r_C160CPT2	3	#0000FF
2	r_C60CPT1	3	#0000FF
3	r_FAOXC10C10OHm	3	#0000FF
4	r_FAOXC12C12OHm	3	#0000FF
5	r_FAOXC162C142m	3	#0000FF
6	r_FAOXC182806m	3	#0000FF
7	r_FAOXC182C162m	3	#0000FF
8	r_FAOXC204	3	#0000FF
9	r_HMR_3070	3	#0000FF
10	r_HMR_3071	3	#0000FF
11	r_HMR_3072	3	#0000FF
12	r_HMR_3073	3	#0000FF
13	r_HMR_3121	3	#0000FF
14	r_HMR_3128	3	#0000FF
15	r_HMR_3135	3	#0000FF
16	r_HMR_3142	3	#0000FF
17	r_HMR_3149	3	#0000FF
18	r_LNLCCPT2	3	#0000FF
19	r_RE0512M	3	#0000FF
20	r_RE1516M	3	#0000FF
21	r_RE1517M	3	#0000FF
22	r_RE1523M	3	#0000FF
23	r_RE1531M	3	#0000FF
24	r_RE2985M	3	#0000FF
25	r_r0309	3	#0000FF
26	r_r1253	3	#0000FF
27	r_r1254	3	#0000FF
28	r_C12DCACT	3	#0000FF
29	r_C4DCCACT	3	#0000FF
30	r_FACOAL1821	3	#0000FF
31	r_FACOAL1831	3	#0000FF
32	r_FACOAL204	3	#0000FF
35	r_FAOXC12DCTc	3	#0000FF
36	r_FAOXC12DCc	3	#0000FF
37	r_FAOXC12DCx	3	#0000FF
39	r_FAOXC164C143m	3	#0000FF
40	r_FAOXC164C165m	3	#0000FF
41	r_FAOXC164m	3	#0000FF
42	r_FAOXC165C164m	3	#0000FF
45	r_FAOXC18480m	3	#0000FF
46	r_FAOXC184C164m	3	#0000FF
47	r_FAOXC4C4DCc	3	#0000FF
48	r_HMR_3115	3	#0000FF
54	r_HMR_9719	3	#0000FF
56	r_LNLNCGCPT1	3	#0000FF
62	r_SUCCCROT	3	#0000FF
63	r_r0308	3	#0000FF
64	r_r1257	3	#0000FF
65	r_HMR_3338	3	#0000FF
67	r_HMR_3351	3	#0000FF
68	r_RE3177M	3	#0000FF
69	r_RE3178M	3	#0000FF
70	r_RE3179M	3	#0000FF
71	r_RE3185M	3	#0000FF
72	r_RE3186M	3	#0000FF
73	r_RE3189M	3	#0000FF
74	r_RE3190M	3	#0000FF
75	r_RE3192M	3	#0000FF
76	r_RE3193M	3	#0000FF
77	r_RE3194M	3	#0000FF
78	r_RE3195M	3	#0000FF
79	r_HMR_3522	3	#0000FF
80	r_FAOXC1811601m	3	#0000FF
81	r_FAOXC14C12m	3	#0000FF
82	r_FAOXC102C101m	3	#0000FF
83	r_FACOAL150	3	#0000FF
84	r_FAOXC2031836m	3	#0000FF
85	r_r1259	3	#0000FF
