subSystem	disrupted_module	rxnList	MetabolicUnits	rxnFormula	rxnName	rxnECNumbers
Nucleotide interconversion	MTA_ST_abs	DUTPDPm	NA	h2o[m] + dutp[m]  -> h[m] + ppi[m] + dump[m] 	DUTP Diphosphatase	3.6.1.23
Nucleotide interconversion	MTA_ST_abs	URIDK2m	pyrimidine synthesis/ de novo	atp[m] + dump[m]  <=> adp[m] + dudp[m] 	Uridylate Kinase (dUMP), Mitochondrial	2.7.4.14
Nucleotide interconversion	MTA_ST_abs	CYTK1	NA	atp[c] + cmp[c]  <=> adp[c] + cdp[c] 	Cytidylate Kinase (CMP)	
Nucleotide interconversion	MTA_ST_abs	UMPK2	pyrimidine synthesis/ de novo	ctp[c] + ump[c]  <=> udp[c] + cdp[c] 	UMP Kinase (CTP)	2.7.4.14
Nucleotide interconversion	MTA_ST_abs	UMPK	pyrimidine synthesis	atp[c] + ump[c]  <=> adp[c] + udp[c] 	UMP Kinase	
Nucleotide interconversion	MTA_ST_abs	UMPK6n	pyrimidine synthesis/ de novo	dctp[n] + ump[n]  <=> dcdp[n] + udp[n] 	UMP Kinase (dCTP), Nuclear	2.7.4.14
Nucleotide interconversion	MTA_ST_abs	CYTK1n	NA	atp[n] + cmp[n]  <=> cdp[n] + adp[n] 	Cytidylate Kinase (CMP), Nuclear	2.7.4.14
Nucleotide interconversion	MTA_ST_abs	CYTDK1	pyrimidine synthesis/ de novo	atp[c] + cytd[c]  -> h[c] + adp[c] + cmp[c] 	ATPcytidine 5-Phosphotransferase	
Nucleotide interconversion	MTA_ST_abs	UMPK5n	NA	datp[n] + ump[n]  <=> dadp[n] + udp[n] 	UMP Kinase (dATP), Nuclear	2.7.4.14
Nucleotide interconversion	MTA_ST_abs	CYTK13n	NA	dcmp[n] + datp[n]  <=> dcdp[n] + dadp[n] 	Cytidylate Kinase (dCMP, dATP), Nuclear	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t1	CYTK13	NA	datp[c] + dcmp[c]  <=> dadp[c] + dcdp[c] 	Cytidylate Kinase (dCMP, dATP)	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t1	CYTK11	NA	dgtp[c] + dcmp[c]  <=> dgdp[c] + dcdp[c] 	Cytidylate Kinase (dCMP, dGTP)	2.7.4.14
