reactionIdentifier	lineWidth	color
r_HMGCOASim	3	#FF0000
r_HMGLm	3	#FF0000
r_HMGLx	3	#FF0000
r_HMR_3625	3	#FF0000
r_HMR_3626	3	#FF0000
r_HMR_3627	3	#FF0000
r_HMR_3628	3	#FF0000
r_HMR_3629	3	#FF0000
r_HMR_3630	3	#FF0000
r_HMR_3631	3	#FF0000
r_HMR_3633	3	#FF0000
r_HMR_3635	3	#FF0000
r_HMR_3636	3	#FF0000
r_HMR_3637	3	#FF0000
r_HMR_3639	3	#FF0000
r_HMR_3640	3	#FF0000
r_HMR_3642	3	#FF0000
r_HMR_3644	3	#FF0000
r_HMR_3645	3	#FF0000
r_HMR_3646	3	#FF0000
r_HMR_3647	3	#FF0000
r_HMR_3648	3	#FF0000
r_HMR_3649	3	#FF0000
r_HMR_3650	3	#FF0000
r_HMR_3651	3	#FF0000
r_HMR_3652	3	#FF0000
r_HMR_3654	3	#FF0000
r_HMR_3655	3	#FF0000
r_HMR_3656	3	#FF0000
r_HMR_3657	3	#FF0000
r_HMR_3658	3	#FF0000
r_HMR_3659	3	#FF0000
r_HMR_3660	3	#FF0000
r_HMR_3663	3	#FF0000
r_HMR_3665	3	#FF0000
r_HMR_3666	3	#FF0000
r_HMR_3667	3	#FF0000
r_HMR_3668	3	#FF0000
r_HMR_3669	3	#FF0000
r_HMR_3670	3	#FF0000
r_HMR_3677	3	#FF0000
r_HMR_3678	3	#FF0000
r_HMR_3679	3	#FF0000
r_HMR_3680	3	#FF0000
r_HMR_3681	3	#FF0000
r_HMR_3682	3	#FF0000
r_HMR_3684	3	#FF0000
r_HMR_3685	3	#FF0000
r_HMR_3686	3	#FF0000
r_HMR_3687	3	#FF0000
r_HMR_3688	3	#FF0000
r_HMR_3689	3	#FF0000
r_HMR_3690	3	#FF0000
r_HMR_3692	3	#FF0000
r_HMR_3694	3	#FF0000
r_HMR_3695	3	#FF0000
r_HMR_3696	3	#FF0000
r_HMR_3698	3	#FF0000
r_HMR_3699	3	#FF0000
r_HMR_3701	3	#FF0000
r_HMR_3703	3	#FF0000
r_HMR_3704	3	#FF0000
r_HMR_3705	3	#FF0000
r_HMR_3706	3	#FF0000
r_HMR_3707	3	#FF0000
r_HMR_3708	3	#FF0000
r_HMR_3709	3	#FF0000
r_HMR_3710	3	#FF0000
r_HMR_3711	3	#FF0000
r_HMR_3713	3	#FF0000
r_HMR_3714	3	#FF0000
r_HMR_3715	3	#FF0000
r_HMR_3716	3	#FF0000
r_HMR_3717	3	#FF0000
r_HMR_3718	3	#FF0000
r_HMR_3719	3	#FF0000
r_HMR_3722	3	#FF0000
r_HMR_3724	3	#FF0000
r_HMR_3725	3	#FF0000
r_HMR_3726	3	#FF0000
r_HMR_3727	3	#FF0000
r_HMR_3728	3	#FF0000
r_HMR_3729	3	#FF0000
r_HMR_3736	3	#FF0000
r_HMR_3737	3	#FF0000
r_HMR_3738	3	#FF0000
r_HMR_3739	3	#FF0000
r_HMR_3740	3	#FF0000
r_HMR_3741	3	#FF0000
r_HMR_1543	3	#FF0000
r_HMR_1544	3	#FF0000
r_HMR_1545	3	#FF0000
r_HMR_1546	3	#FF0000
r_HMR_1550	3	#FF0000
r_HMR_1549	3	#FF0000
r_HMR_1548	3	#FF0000
r_HMR_1551	3	#FF0000
r_HMR_1547	3	#FF0000
r_RE3136C	3	#FF0000
r_HMR_1552	3	#FF0000
r_r0783	3	#FF0000
r_HMR_6549	3	#FF0000
r_HMR_6564	3	#FF0000
r_HMR_6580	3	#FF0000
r_HMR_6584	3	#FF0000
r_HMR_7652	3	#FF0000
r_MI1345PP	3	#FF0000
r_MI134PP	3	#FF0000
r_MI145PK	3	#FF0000
r_MI14P4P	3	#FF0000
r_MI14PP	3	#FF0000
r_MI1PP	3	#FF0000
r_MI1PS	3	#FF0000
r_MI34PP	3	#FF0000
r_MI3PP	3	#FF0000
r_MI4PP	3	#FF0000
r_PI345P5P	3	#FF0000
r_PI34P5K	3	#FF0000
r_PI3P4K	3	#FF0000
r_PI3P5K	3	#FF0000
r_PI45P3K	3	#FF0000
r_PI4P3K	3	#FF0000
r_PI5P4K	3	#FF0000
r_PIK3	3	#FF0000
r_PIPLC	3	#FF0000
r_PMI12346PH	3	#FF0000
r_PMI12346PHn	3	#FF0000
r_MI1345PKc	3	#FF0000
r_MI13456PK	3	#FF0000
r_MI145PP	3	#FF0000
r_C12DCACT	3	#FF0000
r_C30CPT1	3	#FF0000
r_C40CPT1	3	#FF0000
r_CSNATp	3	#FF0000
r_FAOXC12DCTc	3	#FF0000
r_FAOXC12DCc	3	#FF0000
r_FAOXC12DCx	3	#FF0000
r_FAOXC164C143m	3	#FF0000
r_FAOXC164C165m	3	#FF0000
r_FAOXC164m	3	#FF0000
r_FAOXC165C164m	3	#FF0000
r_FAOXC184C164m	3	#FF0000
r_HMR_9719	3	#FF0000
r_LNLNCGCPT1	3	#FF0000
r_r0636	3	#FF0000
r_r1401	3	#FF0000
r_C160CPT2	3	#FF0000
r_FAOXC18480m	3	#FF0000
r_HMR_2705	3	#FF0000
r_HMR_3218	3	#FF0000
r_HMR_3219	3	#FF0000
r_HMR_3220	3	#FF0000
r_HMR_3221	3	#FF0000
r_HMR_3422	3	#FF0000
r_ADRNCPT2	3	#FF0000
r_2MB2COAc	3	#FF0000
r_C51CPT1	3	#FF0000
r_TIGCRNe	3	#FF0000
r_C142ACBP	3	#FF0000
r_C142OHc	3	#FF0000
r_C142OHe	3	#FF0000
r_FAOXC142C142OHm	3	#FF0000
r_HMR_3204	3	#FF0000
r_C161OHc	3	#FF0000
r_FAOXC161C161OHm	3	#FF0000
r_HDECEACBP	3	#FF0000
r_HEDCECRNe	3	#FF0000
r_HMR_2771	3	#FF0000
r_HMR_3424	3	#FF0000
r_FAOXC11C9m	3	#FF0000
r_FAOXC13C11m	3	#FF0000
r_FAOXC15C13m	3	#FF0000
r_FAOXC5C3x	3	#FF0000
r_FAOXC7C5m	3	#FF0000
r_FAOXC9C7m	3	#FF0000
r_C141ACBP	3	#FF0000
r_C141OHc	3	#FF0000
r_C141OHe	3	#FF0000
r_FAOXC141C141OHm	3	#FF0000
r_HMR_3340	3	#FF0000
r_HMR_2739	3	#FF0000
r_HMR_3433	3	#FF0000
r_HMR_3057	3	#FF0000
r_HMR_3058	3	#FF0000
r_HMR_3065	3	#FF0000
r_HMR_3066	3	#FF0000
r_r1443	3	#FF0000
r_C16OHc	3	#FF0000
r_FAOXC16C16OHm	3	#FF0000
r_HDECAACBP	3	#FF0000
r_HEXDCRNe	3	#FF0000
r_C8DCc	3	#FF0000
r_SUBERCACT	3	#FF0000
r_SUBERCROT	3	#FF0000
r_PTDCACRNCPT1	3	#FF0000
r_sink_c81coa[c]	3	#FF0000
r_C81CPT1	3	#FF0000
r_C81CRNe	3	#FF0000
r_HMR_3067	3	#FF0000
r_C120CPT1	3	#FF0000
r_DDECCRNe	3	#FF0000
r_r1253	3	#FF0000
r_FAOXC1811603m	3	#FF0000
r_ACACT6p	3	#FF0000
r_r0719	3	#FF0000
r_r0721	3	#FF0000
r_r1444	3	#FF0000
r_FAOXC16C14m	3	#FF0000
r_C181OHc	3	#FF0000
r_FAOXC181C181OHm	3	#FF0000
r_HOCTDACBP	3	#FF0000
r_OCTDECCACT	3	#FF0000
r_OCTDECCPT1	3	#FF0000
r_OCTDECCPT2	3	#FF0000
r_OCTDECE1CRNe	3	#FF0000
r_sink_octdececoa[c]	3	#FF0000
r_DOCO13EFATP	3	#FF0000
r_3HBCOARc	3	#FF0000
r_BCRNe	3	#FF0000
r_C4OHc	3	#FF0000
r_HMR_3178	3	#FF0000
r_HMR_3179	3	#FF0000
r_HMR_3180	3	#FF0000
r_HMR_3181	3	#FF0000
r_C18OHc	3	#FF0000
r_FAOXC18C18OHm	3	#FF0000
r_HOCDACBP	3	#FF0000
r_HOCTDECCRNe	3	#FF0000
r_C162ACBP	3	#FF0000
r_C162OHc	3	#FF0000
r_C162OHe	3	#FF0000
r_FAOXC162C162OHm	3	#FF0000
r_HMR_3068	3	#FF0000
r_FAOXC2251836m	3	#FF0000
r_C100CPT1	3	#FF0000
r_C10CRNe	3	#FF0000
r_C141CPT1	3	#FF0000
r_sink_tetdece1coa[c]	3	#FF0000
r_TETDECE1CRNe	3	#FF0000
r_FAOXC182806m	3	#FF0000
r_EICOSTETCPT2	3	#FF0000
r_EICOSTETCPT1	3	#FF0000
r_HMR_0414	3	#FF0000
r_HMR_0342	3	#FF0000
r_FACOAL150	3	#FF0000
r_FACOAL245_1	3	#FF0000
r_r1259	3	#FF0000
r_HMR_2693	3	#FF0000
r_HMR_3414	3	#FF0000
r_HMR_3326	3	#FF0000
r_HMR_3327	3	#FF0000
r_HMR_3328	3	#FF0000
r_HMR_3342	3	#FF0000
r_HMR_3344	3	#FF0000
r_HMR_3346	3	#FF0000
r_HMR_3349	3	#FF0000
r_FAOXC121x	3	#FF0000
r_HMR_3353	3	#FF0000
r_HSPASEly	3	#FF0000
r_HS3ly	3	#FF0000
r_S6TASE3ly	3	#FF0000
r_S3TASE1ly	3	#FF0000
r_S2TASE1ly	3	#FF0000
r_GLCNACASE5ly	3	#FF0000
r_S3TASE3ly	3	#FF0000
r_GLCNACASE4ly	3	#FF0000
r_HSAT4ly	3	#FF0000
r_HS4ly	3	#FF0000
r_S3TASE2ly	3	#FF0000
r_LINKDEG1ly	3	#FF0000
r_HSAT2ly	3	#FF0000
