	reactionIdentifier	lineWidth	color
1	r_SPODM	3	#00FF00
2	r_SPODMm	3	#00FF00
3	r_SPODMn	3	#00FF00
4	r_SPODMx	3	#00FF00
7	r_CATm	3	#00FF00
8	r_CRVStu	3	#00FF00
9	r_CRVSthc	3	#00FF00
10	r_35DHPVStep	3	#00FF00
11	r_35DHPVSthc	3	#00FF00
12	r_LSTNM7TDhc	3	#00FF00
13	r_LSTNM7thc	3	#00FF00
14	r_4HATVLACtep	3	#00FF00
15	r_4HATVLACthc	3	#00FF00
16	r_6EPVStep	3	#00FF00
17	r_6EPVSthc	3	#00FF00
18	r_RSVtev	3	#00FF00
19	r_RSVtu	3	#00FF00
20	r_LST4EXPTDhc	3	#00FF00
21	r_LST4EXPthc	3	#00FF00
22	r_NA	3	#00FF00
49	r_KYNATEtr2	3	#00FF00
50	r_NAIt	3	#00FF00
51	r_r1516	3	#00FF00
52	r_UDPGLCURtr	3	#00FF00
53	r_INSTt4_2	3	#00FF00
54	r_MALTTTRt	3	#00FF00
55	r_DHBPTt	3	#00FF00
56	r_THBPTt	3	#00FF00
57	r_MMAte	3	#00FF00
58	r_r1519	3	#00FF00
59	r_XOL7AH3t	3	#00FF00
60	r_AMETt	3	#00FF00
61	r_ASPGLUTRPt	3	#00FF00
62	r_7DHCHSTEROLtd	3	#00FF00
63	r_THMDt2r	3	#00FF00
64	r_DOPAtu	3	#00FF00
65	r_DHCHOLESTANATEt	3	#00FF00
66	r_CYTDt2r	3	#00FF00
67	r_THRPHEARGt	3	#00FF00
68	r_ASPLYSGLUt	3	#00FF00
69	r_r1106	3	#00FF00
70	r_ADNCNT3tc	3	#00FF00
71	r_HDCEAtr	3	#00FF00
72	r_PHETRPLEUt	3	#00FF00
73	r_HISGLYLYSt	3	#00FF00
74	r_HMR_9191	3	#00FF00
75	r_TMNDNCt	3	#00FF00
76	r_D_LACt2	3	#00FF00
77	r_DCMPtr	3	#00FF00
78	r_ASPPROLYSt	3	#00FF00
79	r_INSTt4	3	#00FF00
80	r_INSTt2r	3	#00FF00
81	r_PCHOLOLE_HSABCt	3	#00FF00
82	r_PCHOLN19_HSABCt	3	#00FF00
83	r_TRPt4	3	#00FF00
84	r_TYRt4	3	#00FF00
85	r_METHISLYSt	3	#00FF00
86	r_PALFATPtc	3	#00FF00
87	r_PHELYSALAt	3	#00FF00
88	r_KCC2t	3	#00FF00
89	r_HISLYSALAt	3	#00FF00
90	r_r1116	3	#00FF00
91	r_5AOPt	3	#00FF00
92	r_C04483t2	3	#00FF00
93	r_ASNTYRTHRt	3	#00FF00
94	r_RETINALt	3	#00FF00
95	r_HISLYSILEt	3	#00FF00
96	r_TRPLEUVALt	3	#00FF00
97	r_PHELEUHISt	3	#00FF00
98	r_ACETONEt2	3	#00FF00
99	r_LYSCYSHISt	3	#00FF00
100	r_GALt4	3	#00FF00
101	r_ASPGLUPROt	3	#00FF00
102	r_PTCRTD	3	#00FF00
103	r_ARGPROTHRt	3	#00FF00
104	r_PHPYRte	3	#00FF00
105	r_PPBNGte	3	#00FF00
106	r_r0879	3	#00FF00
107	r_2PGtr	3	#00FF00
108	r_C02356t	3	#00FF00
109	r_4TMEABUTNt1	3	#00FF00
110	r_4TMEABUTNt2	3	#00FF00
111	r_3MHISt3	3	#00FF00
112	r_PGLYCt	3	#00FF00
113	r_r2130	3	#00FF00
114	r_CE2513td	3	#00FF00
115	r_URIt	3	#00FF00
116	r_r2122	3	#00FF00
117	r_3MOBte	3	#00FF00
118	r_2OBUTt	3	#00FF00
119	r_r2112	3	#00FF00
120	r_L_LACt2r	3	#00FF00
121	r_GSNt2r	3	#00FF00
122	r_NAHCO3_HCLt	3	#00FF00
123	r_r1143	3	#00FF00
124	r_r2131	3	#00FF00
125	r_ALAHISALAt	3	#00FF00
126	r_r2116	3	#00FF00
127	r_OROTGLUt	3	#00FF00
128	r_CE4890te2	3	#00FF00
129	r_CE4890te	3	#00FF00
130	r_r1566	3	#00FF00
131	r_r1579	3	#00FF00
132	r_GABABGTtc	3	#00FF00
133	r_ASCBt	3	#00FF00
134	r_r2128	3	#00FF00
135	r_ASCBt4	3	#00FF00
136	r_r2123	3	#00FF00
137	r_The	3	#00FF00
138	r_ADNt	3	#00FF00
139	r_URIt2r	3	#00FF00
140	r_INSt	3	#00FF00
141	r_DOPAENT4tc	3	#00FF00
142	r_CYTDt	3	#00FF00
143	r_r2309	3	#00FF00
144	r_VALtec	3	#00FF00
145	r_LEUtec	3	#00FF00
146	r_r2534	3	#00FF00
147	r_r2532	3	#00FF00
148	r_GLYt7_211_r	3	#00FF00
149	r_r1423	3	#00FF00
150	r_PIt9	3	#00FF00
151	r_PROt4	3	#00FF00
152	r_SPHS1Pte	3	#00FF00
153	r_13_CIS_RETNte	3	#00FF00
155	r_HMR_0388	3	#00FF00
156	r_GUDACtr2	3	#00FF00
157	r_PCREATte	3	#00FF00
159	r_NRPPHRt4_2_r	3	#00FF00
160	r_DOPAt4_2_r	3	#00FF00
161	r_GLCt2_2	3	#00FF00
162	r_GLYALDtr	3	#00FF00
163	r_OAAt	3	#00FF00
164	r_GALt2_2	3	#00FF00
165	r_MAGt	3	#00FF00
167	r_5HPETtd	3	#00FF00
168	r_34HPLte	3	#00FF00
169	r_CE5304t	3	#00FF00
170	r_r2095	3	#00FF00
172	r_C04805td	3	#00FF00
173	r_r2089	3	#00FF00
175	r_r2091	3	#00FF00
176	r_56DTHMt	3	#00FF00
177	r_56DTHMtd	3	#00FF00
178	r_r1617	3	#00FF00
179	r_C06439t	3	#00FF00
181	r_L_LACt4r	3	#00FF00
182	r_r1662	3	#00FF00
183	r_r2097	3	#00FF00
184	r_r2098	3	#00FF00
185	r_CALAtr	3	#00FF00
186	r_THMtrbc	3	#00FF00
187	r_DHEASt	3	#00FF00
188	r_r2343	3	#00FF00
189	r_r2096	3	#00FF00
190	r_HISt4	3	#00FF00
191	r_PPASMCT1	3	#00FF00
192	r_r1604	3	#00FF00
193	r_FATP8t	3	#00FF00
195	r_THMt3	3	#00FF00
196	r_HMR_9652	3	#00FF00
197	r_NACUP	3	#00FF00
199	r_r1650	3	#00FF00
200	r_HOMOVALte	3	#00FF00
201	r_FATP5t	3	#00FF00
202	r_HCO3_CLt	3	#00FF00
203	r_CRVNCtr	3	#00FF00
204	r_FATP7t	3	#00FF00
205	r_r1602	3	#00FF00
206	r_r1088	3	#00FF00
207	r_r2086	3	#00FF00
208	r_ARGt4	3	#00FF00
209	r_NACSMCTte	3	#00FF00
210	r_r2344	3	#00FF00
211	r_ABUTt4_2_r	3	#00FF00
214	r_r0974	3	#00FF00
215	r_r2125	3	#00FF00
216	r_r2353	3	#00FF00
218	r_r2117	3	#00FF00
219	r_r1593	3	#00FF00
220	r_LEUt4	3	#00FF00
221	r_GLYSNAT5tc	3	#00FF00
