reactionIdentifier	lineWidth	color
r_HMR_6515	3	#0000FF
r_CYSTA	3	#0000FF
r_MCLACCYSR	3	#0000FF
r_MCLOR	3	#0000FF
r_SFCYSc	3	#0000FF
r_3SALATAi	3	#0000FF
r_3SALATAim	3	#0000FF
r_3SPYRSP	3	#0000FF
r_3SPYRSPm	3	#0000FF
r_r0595	3	#0000FF
r_GALASE16ly	3	#0000FF
r_GALASE17ly	3	#0000FF
r_GALASE18ly	3	#0000FF
r_GALASE19ly	3	#0000FF
r_GALASE20ly	3	#0000FF
r_NACHEX23ly	3	#0000FF
r_NACHEX24ly	3	#0000FF
r_NACHEX25ly	3	#0000FF
r_NACHEX26ly	3	#0000FF
r_NAGA2ly	3	#0000FF
r_NAGLCAly	3	#0000FF
r_S6TASE22ly	3	#0000FF
r_S6TASE23ly	3	#0000FF
r_S6TASE24ly	3	#0000FF
r_S6TASE25ly	3	#0000FF
r_S6TASE26ly	3	#0000FF
r_SIAASE3ly	3	#0000FF
r_SIAASE4ly	3	#0000FF
r_GALASE3ly	3	#0000FF
r_S6TASE10ly	3	#0000FF
r_S6TASE11ly	3	#0000FF
r_GALASE11ly	3	#0000FF
r_NACHEX17ly	3	#0000FF
r_S6TASE19ly	3	#0000FF
r_GALASE13ly	3	#0000FF
r_NACHEX19ly	3	#0000FF
r_S6TASE20ly	3	#0000FF
r_GALASE5ly	3	#0000FF
r_NACHEX11ly	3	#0000FF
r_S6TASE13ly	3	#0000FF
r_GALASE10ly	3	#0000FF
r_NACHEX16ly	3	#0000FF
r_S6TASE18ly	3	#0000FF
r_FAOXC102C103m	3	#0000FF
r_FAOXC102C81m	3	#0000FF
r_FAOXC102m	3	#0000FF
r_FAOXC103C102m	3	#0000FF
r_FAOXC123C102m	3	#0000FF
r_FAOXC123m	3	#0000FF
r_FAOXC143C123m	3	#0000FF
r_FAOXC61m	3	#0000FF
r_FAOXC81C61m	3	#0000FF
r_HMR_0362	3	#0000FF
r_TMNDNCCPT1	3	#0000FF
r_r0728	3	#0000FF
r_C161CPT1	3	#0000FF
r_HMR_3428	3	#0000FF
r_C180CPT1	3	#0000FF
r_C180CPT2	3	#0000FF
r_FAOXC140	3	#0000FF
r_FAOXC18480m	3	#0000FF
r_HMR_0354	3	#0000FF
r_HMR_3115	3	#0000FF
r_HMR_3398	3	#0000FF
r_STRDNCCPT1	3	#0000FF
r_r0633	3	#0000FF
r_CLPNDCPT1	3	#0000FF
r_CLPNDCPT2	3	#0000FF
r_ELAIDCPT1	3	#0000FF
r_FAOXC101x	3	#0000FF
r_FAOXC164C143m	3	#0000FF
r_FAOXC164C165m	3	#0000FF
r_FAOXC164m	3	#0000FF
r_FAOXC165C164m	3	#0000FF
r_FAOXC184C164m	3	#0000FF
r_HMR_0366	3	#0000FF
r_HMR_2611	3	#0000FF
r_HMR_3322	3	#0000FF
r_HMR_3429	3	#0000FF
r_HMR_9719	3	#0000FF
r_RE1518X	3	#0000FF
r_RE1520X	3	#0000FF
r_RE1521X	3	#0000FF
r_RE1522X	3	#0000FF
r_RE1525X	3	#0000FF
r_RE1526X	3	#0000FF
r_RE1527X	3	#0000FF
r_RE1532X	3	#0000FF
r_RE1533X	3	#0000FF
r_RE1534X	3	#0000FF
r_RE1573X	3	#0000FF
r_RE3119C	3	#0000FF
r_RE3120C	3	#0000FF
r_RE3121C	3	#0000FF
r_RE3122C	3	#0000FF
r_r0638	3	#0000FF
r_r0660	3	#0000FF
r_ACACT4p	3	#0000FF
r_r0444	3	#0000FF
r_r0727	3	#0000FF
r_r0729	3	#0000FF
r_r0791	3	#0000FF
r_r1262	3	#0000FF
r_r1487	3	#0000FF
r_ACCOAC	3	#0000FF
r_HMR_2774	3	#0000FF
r_HMR_3229	3	#0000FF
r_HMR_3230	3	#0000FF
r_HMR_3231	3	#0000FF
r_HMR_3232	3	#0000FF
r_HMR_3233	3	#0000FF
r_HMR_3425	3	#0000FF
r_r1472	3	#0000FF
r_r1474	3	#0000FF
r_r1477	3	#0000FF
r_r0652	3	#0000FF
r_HMR_2608	3	#0000FF
r_HMR_3070	3	#0000FF
r_HMR_3071	3	#0000FF
r_HMR_3072	3	#0000FF
r_HMR_3073	3	#0000FF
r_HMR_3121	3	#0000FF
r_HMR_3128	3	#0000FF
r_HMR_3135	3	#0000FF
r_TTDCPT2	3	#0000FF
r_r0308	3	#0000FF
r_r0309	3	#0000FF
r_HMR_3205	3	#0000FF
r_HMR_2705	3	#0000FF
r_HMR_3218	3	#0000FF
r_HMR_3219	3	#0000FF
r_HMR_3220	3	#0000FF
r_HMR_3221	3	#0000FF
r_HMR_3422	3	#0000FF
r_3OHSEBCOAx	3	#0000FF
r_3OHSEBACx	3	#0000FF
r_ADRNCPT2	3	#0000FF
r_2MB2COAc	3	#0000FF
r_C51CPT1	3	#0000FF
r_TIGCRNe	3	#0000FF
r_FAOXC163C164Gm	3	#0000FF
r_FAOXC163GC142m	3	#0000FF
r_FAOXC163Gm	3	#0000FF
r_FAOXC164GC163m	3	#0000FF
