	subSystem	disrupted.module	rxnList
1	Fatty acid oxidation	FVA_BD_abs	FAOXC102C103m
2	Fatty acid oxidation	FVA_BD_abs	FAOXC102C81m
3	Fatty acid oxidation	FVA_BD_abs	FAOXC102m
4	Fatty acid oxidation	FVA_BD_abs	FAOXC103C102m
5	Fatty acid oxidation	FVA_BD_abs	FAOXC123C102m
6	Fatty acid oxidation	FVA_BD_abs	FAOXC123m
7	Fatty acid oxidation	FVA_BD_abs	FAOXC143C123m
8	Fatty acid oxidation	FVA_BD_abs	FAOXC61m
9	Fatty acid oxidation	FVA_BD_abs	FAOXC81C61m
10	Fatty acid oxidation	FVA_BD_abs	HMR_0362
11	Fatty acid oxidation	FVA_BD_abs	TMNDNCCPT1
12	Fatty acid oxidation	FVA_BD_abs	r0728
13	Fatty acid oxidation	FVA_BD_abs	C161CPT1
14	Fatty acid oxidation	FVA_BD_abs	HMR_3428
15	Fatty acid oxidation	FVA_BD_abs	C180CPT1
16	Fatty acid oxidation	FVA_BD_abs	C180CPT2
17	Fatty acid oxidation	FVA_BD_abs	FAOXC140
18	Fatty acid oxidation	FVA_BD_abs	FAOXC18480m
19	Fatty acid oxidation	FVA_BD_abs	HMR_0354
20	Fatty acid oxidation	FVA_BD_abs	HMR_3115
21	Fatty acid oxidation	FVA_BD_abs	HMR_3398
22	Fatty acid oxidation	FVA_BD_abs	STRDNCCPT1
23	Fatty acid oxidation	FVA_BD_abs	r0633
24	Fatty acid oxidation	FVA_BD_abs	CLPNDCPT1
25	Fatty acid oxidation	FVA_BD_abs	CLPNDCPT2
26	Fatty acid oxidation	FVA_BD_abs	ELAIDCPT1
27	Fatty acid oxidation	FVA_BD_abs	FAOXC101x
28	Fatty acid oxidation	FVA_BD_abs	FAOXC164C143m
29	Fatty acid oxidation	FVA_BD_abs	FAOXC164C165m
30	Fatty acid oxidation	FVA_BD_abs	FAOXC164m
31	Fatty acid oxidation	FVA_BD_abs	FAOXC165C164m
32	Fatty acid oxidation	FVA_BD_abs	FAOXC184C164m
33	Fatty acid oxidation	FVA_BD_abs	HMR_0366
34	Fatty acid oxidation	FVA_BD_abs	HMR_2611
35	Fatty acid oxidation	FVA_BD_abs	HMR_3322
36	Fatty acid oxidation	FVA_BD_abs	HMR_3429
37	Fatty acid oxidation	FVA_BD_abs	HMR_9719
38	Fatty acid oxidation	FVA_BD_abs	RE1518X
39	Fatty acid oxidation	FVA_BD_abs	RE1520X
40	Fatty acid oxidation	FVA_BD_abs	RE1521X
41	Fatty acid oxidation	FVA_BD_abs	RE1522X
42	Fatty acid oxidation	FVA_BD_abs	RE1525X
43	Fatty acid oxidation	FVA_BD_abs	RE1526X
44	Fatty acid oxidation	FVA_BD_abs	RE1527X
45	Fatty acid oxidation	FVA_BD_abs	RE1532X
46	Fatty acid oxidation	FVA_BD_abs	RE1533X
47	Fatty acid oxidation	FVA_BD_abs	RE1534X
48	Fatty acid oxidation	FVA_BD_abs	RE1573X
49	Fatty acid oxidation	FVA_BD_abs	RE3119C
50	Fatty acid oxidation	FVA_BD_abs	RE3120C
51	Fatty acid oxidation	FVA_BD_abs	RE3121C
52	Fatty acid oxidation	FVA_BD_abs	RE3122C
53	Fatty acid oxidation	FVA_BD_abs	r0638
54	Fatty acid oxidation	FVA_BD_abs	r0660
55	Fatty acid oxidation	FVA_BD_norm_t1	ACACT4p
56	Fatty acid oxidation	FVA_BD_norm_t1	FAOXC101x
57	Fatty acid oxidation	FVA_BD_norm_t1	HMR_3322
58	Fatty acid oxidation	FVA_BD_norm_t1	RE1518X
59	Fatty acid oxidation	FVA_BD_norm_t1	RE1520X
60	Fatty acid oxidation	FVA_BD_norm_t1	RE1521X
61	Fatty acid oxidation	FVA_BD_norm_t1	RE1522X
62	Fatty acid oxidation	FVA_BD_norm_t1	RE1525X
63	Fatty acid oxidation	FVA_BD_norm_t1	RE1526X
64	Fatty acid oxidation	FVA_BD_norm_t1	RE1527X
65	Fatty acid oxidation	FVA_BD_norm_t1	RE1532X
66	Fatty acid oxidation	FVA_BD_norm_t1	RE1533X
67	Fatty acid oxidation	FVA_BD_norm_t1	RE1534X
68	Fatty acid oxidation	FVA_BD_norm_t1	RE1573X
69	Fatty acid oxidation	FVA_BD_norm_t1	r0444
70	Fatty acid oxidation	FVA_BD_norm_t1	r0660
71	Fatty acid oxidation	FVA_BD_norm_t1	r0727
72	Fatty acid oxidation	FVA_BD_norm_t1	r0729
73	Fatty acid oxidation	FVA_BD_norm_t1	r0791
74	Fatty acid oxidation	FVA_BD_norm_t1	r1262
75	Fatty acid oxidation	FVA_BD_norm_t1	r1487
76	Fatty acid oxidation	FVA_BD_norm_t1	ACCOAC
77	Fatty acid oxidation	FVA_BD_norm_t1	HMR_2774
78	Fatty acid oxidation	FVA_BD_norm_t1	HMR_3229
79	Fatty acid oxidation	FVA_BD_norm_t1	HMR_3230
80	Fatty acid oxidation	FVA_BD_norm_t1	HMR_3231
81	Fatty acid oxidation	FVA_BD_norm_t1	HMR_3232
82	Fatty acid oxidation	FVA_BD_norm_t1	HMR_3233
83	Fatty acid oxidation	FVA_BD_norm_t1	HMR_3425
84	Fatty acid oxidation	FVA_BD_norm_t1	r1472
