name	FSr_BD_abs$subSystem	FSr_BD_NR_abs$subSystem	FSr_BD_R_abs$subSystem	MTA_BD_abs$subSystem_CB	MTA_BD_NR_abs$subSystem_CBNR	MTA_BD_R_abs$subSystem_CBR
Fatty acid oxidation	 54	  0	 30	158	111	  0
Fructose and mannose metabolism	5	0	0	0	0	5
Lysine metabolism	4	0	0	0	0	0
Methionine and cysteine metabolism	10	 0	 0	 0	 0	 0
Miscellaneous	10	 0	 0	 0	 0	 0
Valine, leucine, and isoleucine metabolism	7	0	0	0	0	0
Transport, endoplasmic reticular	0	0	6	0	0	0
Biotin metabolism	 0	10	 0	 0	 0	 0
Cholesterol metabolism	 0	89	 0	 0	24	18
Fatty acid synthesis	 0	92	 0	 0	 0	19
Glutamate metabolism	0	6	0	0	0	0
Glycolysis/gluconeogenesis	 0	12	 0	 0	 0	 0
Inositol phosphate metabolism	 0	26	 0	 0	 0	 0
Propanoate metabolism	0	8	0	0	0	0
Pyrimidine catabolism	0	8	0	0	0	0
Vitamin B6 metabolism	0	6	0	0	0	0
Chondroitin sulfate degradation	 0	 0	 0	18	18	 0
Chondroitin synthesis	 0	 0	 0	15	 0	 0
Heparan sulfate degradation	 0	 0	 0	10	 9	 0
Keratan sulfate degradation	 0	 0	 0	26	18	 0
Sink	0	0	0	8	0	0
Tyrosine metabolism	 0	 0	 0	14	13	 0
ROS detoxification	0	0	0	0	0	3
Starch and sucrose metabolism	0	0	0	0	0	5
Transport, extracellular	  0	  0	  0	  0	  0	103
Keratan sulfate synthesis	0	0	0	0	9	0
