name	FVA_BD_abs$subSystem	FVA_BD_norm_t1$subSystem	FVA_BD_norm_t2$subSystem	MTA_BD_abs$subSystem_CB	MTA_BD_norm_t1$subSystem_CB	MTA_BD_norm_t2$subSystem_CB
Fatty acid oxidation	1	1	0	1	0	1
Fructose and mannose metabolism	1	0	0	0	0	0
Lysine metabolism	1	0	0	0	0	0
Methionine and cysteine metabolism	1	0	1	0	0	0
Miscellaneous	1	0	0	0	0	0
Valine, leucine, and isoleucine metabolism	1	0	0	0	0	0
Chondroitin sulfate degradation	0	0	0	1	0	0
Chondroitin synthesis	0	0	0	1	0	0
Heparan sulfate degradation	0	0	0	1	0	0
Keratan sulfate degradation	0	0	1	1	0	0
Sink	0	0	0	1	0	0
Tyrosine metabolism	0	0	0	1	0	0
Pyruvate metabolism	0	1	0	0	0	0
Drug metabolism	0	0	0	0	1	0
Nucleotide interconversion	0	0	0	0	1	0
Transport, extracellular	0	0	0	0	1	0
Eicosanoid metabolism	0	0	1	0	0	0
Nucleotide salvage pathway	0	0	1	0	0	0
Purine synthesis	0	0	1	0	0	0
Transport, lysosomal	0	0	1	0	0	0
Inositol phosphate metabolism	0	0	0	0	0	1
Phosphatidylinositol phosphate metabolism	0	0	0	0	0	1
Thiamine metabolism	0	0	0	0	0	1
Vitamin A metabolism	0	0	0	0	0	1
