	subSystem	disrupted.module	rxnList
1	Heparan sulfate degradation	MTA_BD_NR_abs	HSPASEly
2	Heparan sulfate degradation	MTA_BD_NR_abs	HS3ly
3	Heparan sulfate degradation	MTA_BD_NR_abs	S6TASE3ly
4	Heparan sulfate degradation	MTA_BD_NR_abs	S3TASE1ly
5	Heparan sulfate degradation	MTA_BD_NR_abs	S2TASE1ly
6	Heparan sulfate degradation	MTA_BD_NR_abs	GLCNACASE5ly
7	Heparan sulfate degradation	MTA_BD_NR_abs	S3TASE3ly
8	Heparan sulfate degradation	MTA_BD_NR_abs	GLCNACASE4ly
9	Heparan sulfate degradation	MTA_BD_NR_abs	HSAT4ly
10	Heparan sulfate degradation	MTA_BD_NR_norm_t2	HS4ly
11	Heparan sulfate degradation	MTA_BD_NR_norm_t2	S3TASE2ly
12	Heparan sulfate degradation	MTA_BD_NR_norm_t2	HS3ly
13	Heparan sulfate degradation	MTA_BD_NR_norm_t2	S6TASE3ly
14	Heparan sulfate degradation	MTA_BD_NR_norm_t2	S2TASE1ly
15	Heparan sulfate degradation	MTA_BD_NR_norm_t2	LINKDEG1ly
16	Heparan sulfate degradation	MTA_BD_NR_norm_t2	HSAT2ly
