subSystem	disrupted_module	rxnList	MetabolicUnits	Localization	rxnFormula	rxnName	rxnECNumbers
Keratan sulfate degradation	FVA_BD_norm_t2	GALASE16ly	NA	[l]	2 h2o[l] + ksii_core2_deg2[l]  -> 2 gal[l] + ksii_core2_deg3[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	FVA_BD_norm_t2	GALASE17ly	NA	[l]	h2o[l] + ksii_core2_deg5[l]  -> gal[l] + ksii_core2_deg6[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	FVA_BD_norm_t2	GALASE18ly	NA	[l]	h2o[l] + ksii_core2_deg8[l]  -> gal[l] + ksii_core2_deg9[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	FVA_BD_norm_t2	GALASE19ly	NA	[l]	h2o[l] + f1a[l]  -> gal[l] + core6[l] 	Beta-Galactosidase, Lysosomal	3.2.1.18
Keratan sulfate degradation	FVA_BD_norm_t2	GALASE20ly	NA	[l]	2 h2o[l] + ksii_core4_deg2[l]  -> 2 gal[l] + ksii_core4_deg3[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	FVA_BD_norm_t2	NACHEX23ly	NA	[l]	h2o[l] + ksii_core2_deg4[l]  -> acgam[l] + ksii_core2_deg5[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	FVA_BD_norm_t2	NACHEX24ly	NA	[l]	h2o[l] + ksii_core2_deg7[l]  -> acgam[l] + ksii_core2_deg8[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	FVA_BD_norm_t2	NACHEX25ly	NA	[l]	h2o[l] + ksii_core2_deg9[l]  -> acgam[l] + f1a[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	FVA_BD_norm_t2	NACHEX26ly	chondroitin sulphate degradation, lysosome	[l]	2 h2o[l] + ksii_core4_deg4[l]  -> 2 acgam[l] + ksii_core2_deg5[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	FVA_BD_norm_t2	NAGA2ly	NA	[l]	h[l] + udp[l] + Tn_antigen[l]  -> Ser_Thr[l] + udpacgal[l] 	N-Acetylgalactosaminidase, Alpha-	3.2.1.49
Keratan sulfate degradation	FVA_BD_norm_t2	NAGLCAly	NA	[l]	h2o[l] + core6[l]  -> acgam[l] + Tn_antigen[l] 	N-Acetylglucosaminidase, Lysosomal	
Keratan sulfate degradation	FVA_BD_norm_t2	S6TASE22ly	NA	[l]	h2o[l] + ksii_core2_deg1[l]  <=> h[l] + so4[l] + ksii_core2_deg2[l] 	Galactose-6-Sulfate Sulfatase, Lysosomal	3.1.6.4
Keratan sulfate degradation	FVA_BD_norm_t2	S6TASE23ly	NA	[l]	h2o[l] + ksii_core2_deg3[l]  <=> h[l] + so4[l] + ksii_core2_deg4[l] 	N-Acetylglucosamine-6-Sulfatase, Lysosomal	3.1.6.14
Keratan sulfate degradation	FVA_BD_norm_t2	S6TASE24ly	NA	[l]	h2o[l] + ksii_core2_deg6[l]  <=> h[l] + so4[l] + ksii_core2_deg7[l] 	N-Acetylglucosamine-6-Sulfatase, Lysosomal	3.1.6.14
Keratan sulfate degradation	FVA_BD_norm_t2	S6TASE25ly	chondroitin degradation, lysosome	[l]	h2o[l] + ksii_core4_deg1[l]  <=> h[l] + so4[l] + ksii_core4_deg2[l] 	Galactose-6-Sulfate Sulfatase, Lysosomal	3.1.6.4
Keratan sulfate degradation	FVA_BD_norm_t2	S6TASE26ly	chondroitin degradation, lysosome	[l]	h2o[l] + ksii_core4_deg3[l]  <=> h[l] + so4[l] + ksii_core4_deg4[l] 	N-Acetylglucosamine-6-Sulfatase, Lysosomal	3.1.6.14
Keratan sulfate degradation	FVA_BD_norm_t2	SIAASE3ly	NA	[l]	h2o[l] + ksii_core2[l]  -> acnam[l] + ksii_core2_deg1[l] 	Sialidase, Lysosomal	3.2.1.18
