subSystem	disrupted_module	rxnList	MetabolicUnits	Localization	rxnFormula
Fatty acid oxidation	FVA_BD_abs	FAOXC102C103m	betaoxidation	[m]	fad[m] + dec47dicoa[m]  -> fadh2[m] + dectricoa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC102C81m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2decdicoa[m]  -> h[m] + nadh[m] + accoa[m] + octe5coa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC102m	betaoxidation	[m]	3decdicoa[m]  -> 2decdicoa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC103C102m	betaoxidation	[m]	h[m] + nadph[m] + dectricoa[m]  -> nadp[m] + 3decdicoa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC123C102m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2dodtricoa[m]  -> h[m] + nadh[m] + accoa[m] + dec47dicoa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC123m	betaoxidation	[m]	3dodtricoa[m]  -> 2dodtricoa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC143C123m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + 5tedtricoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 3dodtricoa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC61m	betaoxidation	[m]	hexe3coa[m]  -> hx2coa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC81C61m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + octe5coa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + hexe3coa[m] 
Fatty acid oxidation	FVA_BD_abs	HMR_0362	NA	[c]	h2o[c] + tmndnccoa[c]  -> h[c] + coa[c] + tmndnc[c] 
Fatty acid oxidation	FVA_BD_abs	TMNDNCCPT1	carnitine shuttle	[c]	crn[c] + tmndnccoa[c]  <=> coa[c] + tmndnccrn[c] 
Fatty acid oxidation	FVA_BD_abs	r0728	betaoxidation	[m]	3hdcoa[m]  <=> h2o[m] + dc2coa[m] 
Fatty acid oxidation	FVA_BD_abs	C161CPT1	carnitine shuttle	[c]	crn[c] + hdcoa[c]  <=> coa[c] + hdcecrn[c] 
Fatty acid oxidation	FVA_BD_abs	HMR_3428	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 4 fad[m] + tmndnccoa[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 4 fadh2[m] 
Fatty acid oxidation	FVA_BD_abs	C180CPT1	carnitine shuttle	[c]	crn[c] + stcoa[c]  <=> coa[c] + stcrn[c] 
Fatty acid oxidation	FVA_BD_abs	C180CPT2	carnitine shuttle	[m]	coa[m] + stcrn[m]  <=> crn[m] + stcoa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC140	betaoxidation	[m]	6 h2o[m] + 6 nad[m] + 6 coa[m] + 6 fad[m] + tdcoa[m]  -> 6 h[m] + 6 nadh[m] + 7 accoa[m] + 6 fadh2[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC18480m	betaoxidation	[m]	5 h2o[m] + 5 nad[m] + 5 coa[m] + fad[m] + strdnccoa[m]  -> 5 h[m] + 5 nadh[m] + 5 accoa[m] + fadh2[m] + occoa[m] 
Fatty acid oxidation	FVA_BD_abs	HMR_0354	NA	[c]	h2o[c] + strdnccoa[c]  -> h[c] + coa[c] + strdnc[c] 
Fatty acid oxidation	FVA_BD_abs	HMR_3115	NA	[m]	fad[m] + stcoa[m]  -> fadh2[m] + od2coa[m] 
