	reactionIdentifier	lineWidth	color
1	r_GALASE16ly	3	#0000FF
2	r_GALASE17ly	3	#0000FF
3	r_GALASE18ly	3	#0000FF
4	r_GALASE19ly	3	#0000FF
5	r_GALASE20ly	3	#0000FF
6	r_NACHEX23ly	3	#0000FF
7	r_NACHEX24ly	3	#0000FF
8	r_NACHEX25ly	3	#0000FF
9	r_NACHEX26ly	3	#0000FF
10	r_NAGA2ly	3	#0000FF
11	r_NAGLCAly	3	#0000FF
12	r_S6TASE22ly	3	#0000FF
13	r_S6TASE23ly	3	#0000FF
14	r_S6TASE24ly	3	#0000FF
15	r_S6TASE25ly	3	#0000FF
16	r_S6TASE26ly	3	#0000FF
17	r_SIAASE3ly	3	#0000FF
18	r_SIAASE4ly	3	#0000FF
19	r_GALASE3ly	3	#0000FF
20	r_S6TASE10ly	3	#0000FF
21	r_S6TASE11ly	3	#0000FF
26	r_GALASE11ly	3	#0000FF
27	r_NACHEX17ly	3	#0000FF
28	r_S6TASE19ly	3	#0000FF
36	r_GALASE13ly	3	#0000FF
37	r_NACHEX19ly	3	#0000FF
38	r_S6TASE20ly	3	#0000FF
39	r_GALASE5ly	3	#0000FF
40	r_NACHEX11ly	3	#0000FF
41	r_S6TASE13ly	3	#0000FF
42	r_GALASE10ly	3	#0000FF
43	r_NACHEX16ly	3	#0000FF
44	r_S6TASE18ly	3	#0000FF
