reactionIdentifier	lineWidth	color
r_CRVStu	3	#00FF00
r_CRVSthc	3	#00FF00
r_35DHPVStep	3	#00FF00
r_35DHPVSthc	3	#00FF00
r_LSTNM7TDhc	3	#00FF00
r_LSTNM7thc	3	#00FF00
r_4HATVLACtep	3	#00FF00
r_4HATVLACthc	3	#00FF00
r_6EPVStep	3	#00FF00
r_6EPVSthc	3	#00FF00
r_RSVtev	3	#00FF00
r_RSVtu	3	#00FF00
r_LST4EXPTDhc	3	#00FF00
r_LST4EXPthc	3	#00FF00
r_3ISPVStep	3	#00FF00
r_3ISPVSthc	3	#00FF00
r_4HATVACIDtep	3	#00FF00
r_4HATVACIDthc	3	#00FF00
r_TMDtd	3	#00FF00
r_TMDOATtev	3	#00FF00
r_FVStu	3	#00FF00
r_OXYPthc	3	#00FF00
r_OXYPtepv	3	#00FF00
r_PVStep	3	#00FF00
r_TMDOATthc	3	#00FF00
r_3HPVSTETCOAhcm	3	#00FF00
r_3HPVSCOAitm	3	#00FF00
r_3HPVSTETCOAitm	3	#00FF00
r_LSTNRATt	3	#00FF00
r_LSTNtd	3	#00FF00
r_TMDOATPtsc	3	#00FF00
