name	iPS_Ctrl_TP_vs_iPS_BD_NR_TP	iPS_Ctrl_TP_vs_iPS_BD_R_TP	iPS_Ctrl_TP_vs_iPS_BD_TP	UnChanged_iPS_Ctrl_TP_vs_Primary_TP
12PPDRte	0	1	1	0
13DAMPPOX	1	1	1	0
15KPROSTGF2c	0	0	1	0
2HBO	1	1	1	0
2OBUTt	1	1	1	0
34DHPHAMT	1	0	1	1
34DHPHAte	1	0	1	1
34HPLFM	0	0	1	1
34HPLte	0	0	1	1
34HPLtm	0	0	1	1
34HPPte	0	0	1	1
3SALAASPm	1	0	1	0
4HPRO_LTte	0	0	1	0
4HPROLTASCT1	1	1	1	0
5AOPt	1	1	1	0
5AOPtm	1	1	1	1
5MTAte	1	1	1	0
7THFtl	0	0	1	1
ABT_Dt2	1	1	1	0
ABTD1	1	1	1	0
ABUTD	1	1	1	0
ACACT1r	0	0	1	0
ACACT1rm	0	0	1	0
ACACT1x	0	0	1	0
ACACt2m	1	1	1	0
ACACT4p	1	1	1	1
ACACT5p	0	1	1	0
ACACT8p	0	0	1	0
ACALDt	1	1	1	0
ACALDtm	1	1	1	0
ACCOAC	0	1	1	1
ACCOACm	0	0	1	0
ADK3m	1	1	1	0
ADKd	1	1	1	0
ADNK1m	0	0	1	1
ADNtm	0	1	1	1
ADRNCPT1	0	1	1	0
ADRNCPT2	0	1	1	0
ADSK	1	1	1	0
ADSL1	0	0	1	0
ADSL2	1	1	1	0
ADSS	0	0	1	0
AHCYStr	1	0	1	0
AICART	1	0	1	0
AICARte	0	0	1	0
AIRCr	1	1	1	0
ALCD21_L	1	1	1	0
ALDD2x	1	1	1	0
ALDD2xm	1	1	1	0
ALDD2y	1	1	1	0
ALLTNt	0	0	1	1
ALR2	1	1	1	0
ALR3	1	1	1	0
AMETAMte	1	1	1	0
AMETr	1	0	1	0
AMPDA	0	0	1	0
ARGtm	1	0	1	0
ASPGLUPROr	1	0	1	0
ASPGLUPROt	1	0	1	0
ASPTA	0	0	1	1
ATPS4mi	0	1	1	0
BAMPPALDOX	1	1	1	0
BILIRUBt2	0	0	1	0
BPNT	1	0	1	0
BTNt2	0	0	1	1
C02356t	1	1	1	0
C02712te	0	0	1	1
C04483t2	1	1	1	0
C14826td	1	0	1	0
CHAT	1	1	1	0
CHOLPtr	0	1	1	0
CLPNDt	1	0	1	0
CSNAT2m	0	0	1	0
CSNATm	1	1	1	0
CYTDt2r	1	0	1	1
D_LACtm	1	1	1	0
DCMPDA	1	0	1	0
DESAT18_3	0	0	1	0
DESAT18_4	0	0	1	0
DESAT18_8	0	0	1	0
DESAT18_9	1	0	1	0
DESAT20_2	0	1	1	0
DGK1	1	1	1	0
DGULND	1	1	1	0
DHAPtr	0	0	1	1
DHPR	0	0	1	1
DLNLCGCPT2	0	0	1	0
DM_ncam	0	0	1	0
DMGLYtr	1	1	1	0
DNDPt30m	0	1	1	0
DOCOSACTDr	0	0	1	0
DRPA	1	0	1	0
DTMPK	1	0	1	0
DTMPKm	1	0	1	0
DXTRNt	1	0	1	0
ECOAH1m	1	1	1	0
EIC21114TRc	0	1	1	0
EIC21114TRte	0	1	1	0
EICOSTETCPT1	0	1	1	0
EICOSTETCPT2	0	1	1	0
EICOSTETt	0	1	1	0
ELAIDCPT1	0	0	1	0
ELAIDCPT2	0	0	1	0
ELAIDCRNt	1	1	1	0
ETF	0	1	1	0
ETFQO	0	1	1	0
ETHAMPtr	0	1	1	0
ETHAt	1	1	1	0
EX_12ppd_R[e]	0	1	1	0
EX_2hb[e]	1	1	1	0
EX_2obut[e]	1	1	1	0
EX_34dhpha[e]	1	0	1	1
EX_34hpl[e]	0	0	1	1
EX_34hpp[e]	0	0	1	1
EX_5aop[e]	1	1	1	0
EX_5mta[e]	1	1	1	0
EX_abt_D[e]	1	1	1	0
EX_acald[e]	1	1	1	0
EX_ade[e]	0	1	1	0
EX_adn[e]	0	1	1	0
EX_adrn[e]	0	0	1	1
EX_aicar[e]	0	0	1	0
EX_ala_B[e]	1	1	1	0
EX_alltn[e]	0	0	1	1
EX_ametam[e]	1	1	1	0
EX_arach[e]	0	0	1	0
EX_asp_L[e]	1	0	1	1
EX_aspglupro[e]	1	0	1	0
EX_atp[e]	0	1	1	0
EX_C02356[e]	1	1	1	0
EX_C02712[e]	0	0	1	1
EX_C14826[e]	1	0	1	0
EX_CE0074[e]	0	0	1	1
EX_cgly[e]	0	1	1	0
EX_chol[e]	1	1	1	1
EX_cholp[e]	0	1	1	0
EX_clpnd[e]	1	0	1	0
EX_dmgly[e]	1	1	1	0
EX_dxtrn[e]	1	0	1	0
EX_eic21114tr[e]	0	1	1	0
EX_eicostet[e]	0	1	1	1
EX_etha[e]	1	1	1	0
EX_ethamp[e]	0	1	1	0
EX_for[e]	1	1	1	0
EX_glc_D[e]	1	1	1	0
EX_glcr[e]	1	0	1	0
EX_glcur[e]	1	1	1	0
EX_glnproglu[e]	1	0	1	0
EX_glu_L[e]	0	0	1	0
EX_gly[e]	1	1	1	1
EX_glyald[e]	1	1	1	0
EX_glyc_R[e]	1	1	1	0
EX_glyc_S[e]	1	1	1	0
EX_glyclt[e]	1	1	1	0
EX_glypro[e]	1	1	1	1
EX_gsn[e]	0	1	1	0
EX_HC00229[e]	1	1	1	0
EX_homoval[e]	1	0	1	1
EX_imp[e]	0	1	1	0
EX_ins[e]	0	1	1	0
EX_k[e]	0	1	1	0
EX_Lcyst[e]	1	1	1	0
EX_leutyrtyr[e]	0	0	1	1
EX_lnlc[e]	1	1	1	1
EX_n8aspmd[e]	0	0	1	0
EX_na1[e]	1	1	1	1
EX_nac[e]	0	1	1	0
EX_nicrnt[e]	0	1	1	0
EX_ocdca[e]	1	0	1	0
EX_ocdcea[e]	0	0	1	1
EX_pro_L[e]	1	0	1	0
EX_proglnpro[e]	1	0	1	0
EX_prolyspro[e]	1	0	1	1
EX_proproarg[e]	1	0	1	1
EX_propropro[e]	1	0	1	0
EX_retinal[e]	1	1	1	0
EX_ser_D[e]	1	1	1	0
EX_ser_L[e]	1	1	1	0
EX_serglyglu[e]	1	1	1	0
EX_sl_L[e]	1	1	1	0
EX_sphings[e]	1	0	1	0
EX_spmd[e]	1	1	1	0
EX_tmndnc[e]	0	0	1	0
EX_trptyrtyr[e]	0	0	1	1
EX_ttdca[e]	0	0	1	0
EX_tyr_L[e]	0	0	1	1
EX_tyrala[e]	0	0	1	1
EX_tyrglu[e]	0	0	1	1
EX_tyrphetyr[e]	0	0	1	1
EX_tyrtyr[e]	0	0	1	1
EX_urate[e]	0	0	1	1
EX_urea[e]	1	0	1	0
EX_xan[e]	0	1	1	0
EX_xol27oh[e]	0	1	1	1
EX_xol7aone[e]	0	1	1	1
EX_xtsn[e]	0	1	1	0
EX_xyl_D[e]	1	1	1	0
EX_xylt[e]	1	1	1	0
EX_xylu_D[e]	1	1	1	0
EX_xylu_L[e]	1	1	1	0
FADH2tx	1	1	1	0
FADtx	1	1	1	0
FAOXC101x	1	1	1	1
FAOXC102C103m	1	0	1	1
FAOXC102C81m	1	0	1	1
FAOXC102m	1	0	1	1
FAOXC103C102m	1	0	1	1
FAOXC123C102m	1	0	1	1
FAOXC123m	1	0	1	1
FAOXC143C123m	1	0	1	1
FAOXC162C142m	1	1	1	0
FAOXC164C143m	1	0	1	1
FAOXC164C165m	1	0	1	1
FAOXC164m	1	0	1	1
FAOXC165C164m	1	0	1	1
FAOXC181C161m	0	0	1	0
FAOXC182C162m	1	1	1	0
FAOXC184C164m	1	0	1	0
FAOXC61m	1	0	1	1
FAOXC81C61m	1	0	1	1
FATP2t	0	0	1	0
FATP3t	1	0	1	0
FATP8t	0	0	1	1
FDH	0	0	1	0
