rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
ACCOAC	Fatty acid oxidation	31.5 or 31.4 or (31.2 and 32.1) or (31.4 and 32.1) or 31.2 or (32.1 and 31.3) or (31.1 and 32.1) or 31.1 or (31.5 and 32.1) or 31.3	419.303370786517	242.236559139785	1.73096650759704	L	fatty acid synthesis & elongation	[c]
ADNtm	Transport, mitochondrial	2030.1	1024.67410714286	482.62962962963	2.12310650701075	L	NA	intercompartmental
EX_eicostet[e]	Exchange/demand reaction		0	10	0	H	NA	[e]
EX_xol27oh[e]	Exchange/demand reaction		0	10	0	H	NA	[e]
EX_xol7aone[e]	Exchange/demand reaction		0	10	0	H	NA	[e]
HMR_2774	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	0	30.1110155398819	0	H	NA	[c]
HMR_2775	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	0	30.1110155398819	0	H	NA	intercompartmental
HMR_2776	Transport, mitochondrial	1384.1 or 1376.1	0	30.1110155398819	0	H	NA	[m]
HMR_3229	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	30	40	0.75	H	NA	[m]
HMR_3230	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	30	40	0.75	H	NA	[m]
HMR_3231	Fatty acid oxidation	3030.1 or 1892.1	30	40	0.75	H	NA	[m]
HMR_3232	Fatty acid oxidation	3028.1 or 3030.1 or 3033.1	30	40	0.75	H	NA	[m]
HMR_3233	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	30	40	0.75	H	NA	[m]
HMR_3425	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	0	30.1110155398819	0	H	NA	[m]
Htr	Transport, endoplasmic reticular		2000	1115	1.79372197309417	L	NA	intercompartmental
