rxnList	subSystem	GPR	FluxSpan_a	FluxSpan_b	Flux_Span_Ratio	Var7	Var8	Var9
BILIRUBtr	Transport, endoplasmic reticular		2000	0	Inf	L	NA	intercompartmental
C160CPT2	Fatty acid oxidation	1376.1 or 1374.1	140	90	1.55555555555556	L	carnitine shuttle	[m]
C161CPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	2000	324.851945854484	6.15665082362132	L	carnitine shuttle	[c]
DCIm	Fatty acid oxidation	1632.1 or 10455.1	85	45	1.88888888888889	L	betaoxidation	[m]
EX_M02745[e]	Exchange/demand reaction		85	45	1.88888888888889	L	NA	[e]
EX_ttdca[e]	Exchange		130	60	2.16666666666667	L	NA	[e]
EX_ttdcea[e]	Exchange/demand reaction		130	60	2.16666666666667	L	NA	[e]
HMR_2865	Transport, endoplasmic reticular	6584.1	390.685279187817	10	39.0685279187817	L	NA	intercompartmental
HMR_2866	Transport, endoplasmic reticular	1384.1	390.685279187817	10	39.0685279187817	L	NA	[r]
HMR_3234	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	85	45	1.88888888888889	L	NA	[m]
HMR_3235	Fatty acid oxidation	3030.1 or 1892.1	85	45	1.88888888888889	L	NA	[m]
HMR_3236	Fatty acid oxidation	3028.1 or 3030.1 or 3033.1	85	45	1.88888888888889	L	NA	[m]
HMR_3237	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	85	45	1.88888888888889	L	NA	[m]
HMR_3428	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	40	10	4	L	NA	[m]
PUNP6	Purine catabolism	4860.1	60	419.13282571912	0.143152710353946	H	purine catabolism	[c]
TTDCEAt	Transport, extracellular		130	60	2.16666666666667	L	lipid metabolism	intercompartmental
sink_crvnc[c]	Exchange/demand reaction		10	20	0.5	H	NA	[c]
ACACT10m	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	406.29058461463	20	20.3145292307315	L	isoleucine metabolism	[m]
AICART	Purine synthesis	471.1	59.9999999999999	20	2.99999999999999	L	purine synthesis, cytosol	[c]
BILGLCURtr	Transport, endoplasmic reticular		1147.28426395939	0	Inf	L	NA	intercompartmental
BILIRUBt2	Transport, extracellular	10599.1	2000	0	Inf	L	NA	intercompartmental
CITtbm	Transport, mitochondrial	6576.1	776.360889533479	1000	0.776360889533479	H	NA	intercompartmental
DCYTt	Transport, extracellular	3177.1	1000	20.0000000000001	49.9999999999997	L	NA	intercompartmental
FAOXC102C103m	Fatty acid oxidation	34.1	40	20	2	L	betaoxidation	[m]
FAOXC102C81m	Fatty acid oxidation	1892.1 and 3033.1 and 10449.1	40	20	2	L	betaoxidation	[m]
FAOXC102m	Fatty acid oxidation	1632.1	40	20	2	L	betaoxidation	[m]
FAOXC103C102m	Fatty acid oxidation	1666.1	40	20	2	L	betaoxidation	[m]
FAOXC123C102m	Fatty acid oxidation	1892.1 and 3033.1 and 10449.1	40	20	2	L	betaoxidation	[m]
FAOXC123m	Fatty acid oxidation	1632.1	40	20	2	L	betaoxidation	[m]
FAOXC143C123m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	40	20	2	L	betaoxidation	[m]
FAOXC61m	Fatty acid oxidation	1632.1	40	20	2	L	betaoxidation	[m]
FAOXC81C61m	Fatty acid oxidation	34.1 and 1892.1 and 3033.1 and 10449.1	40	20	2	L	betaoxidation	[m]
FBA2	Fructose and mannose metabolism	226.2 or 226.1 or 226.3 or 229.1 or 230.1	319.345741680767	0	Inf	L	fructose metabolism, cytosol	[c]
HACD9m	Valine, leucine, and isoleucine metabolism	3028.1 or 1962.1 or 3033.1	406.29058461463	20	20.3145292307315	L	isoleucine metabolism	[m]
HMR_0362	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	404.01861252115	10	40.401861252115	L	NA	[c]
HMR_6515	Methionine and cysteine metabolism	4357.1 or 7263.1	10	20	0.5	H	NA	[c]
HYPTROX	Taurine and hypotaurine metabolism		35	11.6666666666667	3	L	cysteine and CoA metabolism	[c]
IMPC	Purine synthesis	471.1	59.9999999999999	20	2.99999999999999	L	purine synthesis, cytosol	[c]
KHK	Fructose and mannose metabolism	3795.1 or 3795.2	319.345741680767	0	Inf	L	fructose metabolism, cytosol	[c]
NDP7er	Nucleotide interconversion	124583.1 or 957.1 or 9583.1	758.26565143824	216.56796390299	3.50128263558825	L	pyrimidine degradation	[r]
NDPK6m	Nucleotide interconversion	4833.1 or 10201.1	1363.42228668117	324.851945854484	4.19705747211965	L	NA	[m]
PI45P5P	Inositol phosphate metabolism	8867.1 or 56623.1 or 4952.1 or 8871.1 or 8867.2 or 4952.2 or 3633.1	778.26565143824	1000	0.77826565143824	H	phospholipid metabolism/inositol, cytosol	[c]
PRISTCOAtcx	Transport, peroxisomal	5825.1	758.265651438241	0	Inf	L	NA	intercompartmental
RE0691C	Urea cycle		0	70	0	H	NA	[c]
RE1897C	Urea cycle		0	70	0	H	NA	[c]
RE1898C	Urea cycle		0	70	0	H	NA	[c]
TMNDNCCPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	419.01861252115	10	41.901861252115	L	carnitine shuttle	[c]
UGT1A10r	Steroid metabolism	54576.1	1147.28426395939	0	Inf	L	heme degradation	[r]
r0728	Fatty acid oxidation	3030.1 and 1962.1 and 1892.1	685.806671501088	1090.85002359658	0.628690155994088	H	betaoxidation	[m]
r2508	Transport, endoplasmic reticular		2000	1000	2	L	NA	intercompartmental
ACETONEt2	Transport, extracellular	6566.1 or 9123.1 or 9194.1	459.448538781308	1000	0.459448538781308	H	NA	intercompartmental
ACETONEt2m	Transport, mitochondrial	6566.1	459.448538781308	1000	0.459448538781308	H	NA	intercompartmental
ASNCYSCYSr	Peptide metabolism		10	20	0.5	H	NA	[c]
ASNCYSCYSt	Transport, extracellular	6564.1 or 6565.1	10	20	0.5	H	NA	intercompartmental
