rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
12DHCHOLt	Transport, extracellular	(28234.1 or 10599.1 or 123264.1 or 200931.1)	0	1000	0	H	NA	intercompartmental
3DSPHR	Sphingolipid metabolism	2531.1	40	54.4444444444444	0.73469387755102	H	new to recon	[c]
7DHCDCHOLt	Transport, extracellular	(28234.1) or (10599.1) or (123264.1) or (200931.1)	0	1000	0	H	NA	intercompartmental
ACGAM2E	Aminosugar metabolism	5973.1	0	34.6868070953437	0	H	NA	[c]
ACGAMPM	Aminosugar metabolism	5238.1	0	34.6868070953437	0	H	amino sugar metabolism	[c]
ACGPID	Phosphatidylinositol phosphate metabolism	9487.1	0	8.33333333333333	0	H	NA	[c]
ACNAMlt	Transport, lysosomal	26503.1	0	7.65326402690721	0	H	NA	intercompartmental
ACNAMtr	Transport, extracellular		0	34.6868070953437	0	H	NA	intercompartmental
ACNMLr	Aminosugar metabolism		0	34.6868070953437	0	H	NA	[c]
ADNCNT3tc	Transport, extracellular	64078.1 or 222962.1	2000	210.526230042359	9.50000386934012	L	NA	intercompartmental
ALCD22_D	Pyruvate metabolism	126.1 or 137872.1 or (126.1 and 124.1) or 127.1 or 130.1 or 284273.1 or (125.1 and 124.1) or 128.1 or 124.1 or 125.1 or 284273.2 or 131.1 or (125.1 and 126.1)	1000	0	Inf	L	NA	[c]
BILIVERDt	Transport, extracellular		0	6.36363636363637	0	H	NA	intercompartmental
BMTer_U	Phosphatidylinositol phosphate metabolism	9488.1	0	8.33333333333333	0	H	NA	[r]
C2tcx	Transport, peroxisomal	788.1	2000	1000	2	L	NA	intercompartmental
CHLPCTD	Glycerophospholipid metabolism	5130.1 or 9468.1	30	10	3	L	phospholipid metabolism, phosphatidylcholine synthesis, cytosol	[c]
CLPNDCPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	30	0	Inf	L	carnitine shuttle	[c]
CLPNDCPT2	Fatty acid oxidation	1376.1	30	0	Inf	L	carnitine shuttle	[m]
DAG_HSter	Transport, endoplasmic reticular		0	16.6666666666667	0	H	NA	intercompartmental
DESAT18_10	Fatty acid synthesis	9415.1	10	27.5	0.363636363636364	H	fatty acid synthesis & elongation	[c]
DM_dgpi_prot_hs_r_	Exchange/demand reaction		0	5.55555555555556	0	H	NA	[r]
DM_gpi_sig_er_	Exchange/demand reaction		0	8.33333333333333	0	H	NA	[r]
DOLMANP_Uter	N-glycan synthesis		0	25	0	H	NA	intercompartmental
DOLPMT3_Uer	N-glycan synthesis	79087.1	0	25	0	H	NA	[c]
DOLPMT4_Uer	N-glycan synthesis		0	25	0	H	NA	intercompartmental
ESTRADIOLtr	Transport, endoplasmic reticular		1000	292.513966480446	3.41864018334607	L	NA	intercompartmental
ESTRONEtr	Transport, endoplasmic reticular		1000	292.513966480447	3.41864018334607	L	NA	intercompartmental
EX_acnam[e]	Exchange/demand reaction		0	34.6868070953437	0	H	NA	[e]
EX_biliverd[e]	Exchange/demand reaction		0	6.36363636363636	0	H	NA	[e]
EX_fald[e]	Exchange/demand reaction		0	80	0	H	NA	[e]
EX_fmn[e]	Exchange/demand reaction		0	20	0	H	NA	[e]
EX_gpi_sig[e]	Exchange/demand reaction		0	8.33333333333333	0	H	NA	[e]
EX_kynate[e]	Exchange/demand reaction		0	20	0	H	NA	[e]
EX_ncam[e]	Exchange/demand reaction		10	0	Inf	L	NA	[e]
EX_sphgn[e]	Exchange/demand reaction		40	54.4444444444444	0.73469387755102	H	NA	[e]
EX_taur[e]	Exchange		40	55	0.727272727272727	H	NA	[e]
FAOXC163C143m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	10	43.7934710193202	0.228344540116227	H	betaoxidation	[m]
FAOXC16C14m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	40	57.5	0.695652173913043	H	betaoxidation	[m]
FAOXC183C163m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	10	46	0.217391304347826	H	betaoxidation	[m]
FMNALKPle	Transport, extracellular	52.1 or 52.3 or 52.2 or 248.1	0	138.09811827957	0	H	vitamin b2 metabolism	[e]
GACPAILter	Transport, endoplasmic reticular		0	8.33333333333333	0	H	NA	intercompartmental
GALASE16ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.6532640269072	0	H	NA	[l]
GALASE17ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.6532640269072	0	H	NA	[l]
GALASE18ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.6532640269072	0	H	NA	[l]
GALASE19ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.6532640269072	0	H	NA	[l]
GALASE20ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	6.93736141906873	0	H	NA	[l]
GLACter	Transport, endoplasmic reticular		1000	0	Inf	L	NA	intercompartmental
GLUt2m	Transport, mitochondrial	83733.1 or 8604.1 or 79751.1 or 10165.1	1279.49977252048	1705.47849462366	0.75022920344875	H	NA	intercompartmental
GPIAT	Phosphatidylinositol phosphate metabolism	284098.1	0	8.33333333333333	0	H	NA	[c]
GPIDAer	Phosphatidylinositol phosphate metabolism	80055.1	0	5.55555555555556	0	H	NA	[r]
GPIMTer_U	Phosphatidylinositol phosphate metabolism	93183.1 and 54965.1	0	8.33333333333333	0	H	NA	[r]
H2ETer	Phosphatidylinositol phosphate metabolism	23556.1 or 23556.2	0	8.33333333333333	0	H	phospholipid metabolism, er/ inositol	[r]
H2MTer_U	Phosphatidylinositol phosphate metabolism	55650.1	0	8.33333333333333	0	H	NA	[r]
H3ETer	Phosphatidylinositol phosphate metabolism	23556.1 or 23556.2	0	8.33333333333333	0	H	phospholipid metabolism, er/ inositol	[r]
H3MTer_U	Phosphatidylinositol phosphate metabolism	9488.1	0	8.33333333333333	0	H	NA	[r]
H4ET3er	Phosphatidylinositol phosphate metabolism	(84720.2 and 5281.1) or (84720.1 and 5281.2) or (5281.1 and 84720.1) or (84720.2 and 5281.2)	0	8.33333333333333	0	H	phospholipid metabolism, er/ inositol	[r]
H4ETer	Phosphatidylinositol phosphate metabolism	23556.1 or 23556.2	0	8.33333333333333	0	H	phospholipid metabolism, er/ inositol	[r]
H5MTer_U	Phosphatidylinositol phosphate metabolism	55650.1	0	8.33333333333333	0	H	NA	[r]
H6ET3er	Phosphatidylinositol phosphate metabolism	(84720.2 and 5281.1) or (84720.1 and 5281.2) or (5281.1 and 84720.1) or (84720.2 and 5281.2)	0	8.33333333333333	0	H	phospholipid metabolism, er/ inositol	[r]
H6_ETer	Phosphatidylinositol phosphate metabolism	23556.1 or 23556.2	0	8.33333333333333	0	H	phospholipid metabolism, er/ inositol	[r]
H7_ETer	Phosphatidylinositol phosphate metabolism	23556.1 or 23556.2	0	5.55555555555556	0	H	phospholipid metabolism, er/ inositol	[r]
H8TAer	Phosphatidylinositol phosphate metabolism	10026.1 and 8733.1 and 128869.1 and 94005.1 and 51604.1	0	5.55555555555556	0	H	phospholipid metabolism, er/ inositol	[r]
HMR_0597	Glycerophospholipid metabolism	8611.1 or 9663.1 or 64748.1 or 9890.1 or 79948.1 or 64900.1 or 23175.1 or 8612.1 or 84513.1 or 8613.1 or 196051.1	30	10	3	L	NA	[c]
