rxnList	subSystem	GPR	FluxSpan_a	FluxSpan_b	Flux_Span_Ratio	Var7	Var8	Var9
2M3HVACc	Propanoate metabolism		251.359766097589	154.987008018833	1.62181184933285	L	NA	[c]
2M3HVACte	Transport, extracellular		251.359766097589	154.987008018833	1.62181184933285	L	NA	intercompartmental
2M3OVACm	Propanoate metabolism		251.359766097589	154.987008018833	1.62181184933285	L	NA	[m]
2M3OVACtm	Transport, mitochondrial		251.359766097589	154.987008018833	1.62181184933285	L	NA	intercompartmental
2M3OVCOAm	Propanoate metabolism	38.1	251.359766097589	154.987008018833	1.62181184933285	L	NA	[m]
3HPPt	Transport, extracellular		516.535869350245	308.131496253324	1.67634881740744	L	NA	intercompartmental
3HPPtm	Transport, mitochondrial		516.535869350245	308.131496253324	1.67634881740744	L	NA	intercompartmental
4ABUTtm	Transport, mitochondrial		837.416968817984	213.180772816741	3.92820120573379	L	NA	intercompartmental
ABTArm	Glutamate metabolism	18.1 or 18.2	837.416968817984	213.180772816741	3.92820120573379	L	GABA aminotransferase	[m]
ACACT5p	Fatty acid oxidation	30.1	23.3333333333333	12.5	1.86666666666667	L	betaoxidation	[x]
ACACT6p	Fatty acid oxidation	30.1	23.3333333333333	12.5	1.86666666666667	L	betaoxidation	[x]
ACACT7p	Fatty acid oxidation	30.1	23.3333333333333	12.5	1.86666666666667	L	betaoxidation	[x]
ACACtx	Transport, peroxisomal		849.098984771574	517.775465313029	1.63989806712498	L	NA	intercompartmental
ACCOAL	Propanoate metabolism	55902.1 or 55902.2	758.26565143824	487.593744882921	1.5551176761308	L	fatty acid activation, cytosol	[c]
ACITL	Citric acid cycle	47.1 or 47.2	757.170655064059	487.593744882921	1.55287196156683	L	ATP-citrate lyase, cytosol	[c]
ACNAMtn	Transport, nuclear		389.018612521151	251.028971152655	1.54969607983846	L	NA	intercompartmental
ACP1_FMN_	Vitamin B2 metabolism	52.1 or 52.3 or 52.2 or 55.1 or 51205.1 or 54.1	758.26565143824	487.593744882922	1.55511767613079	L	vitamin b2 metabolism	[c]
ACS	Glycolysis/gluconeogenesis	65985.1 or 55902.2 or 55902.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
ACS2	Propanoate metabolism	55902.1 or 65985.1 or 55902.2	389.018612521152	251.028971152656	1.54969607983846	L	fatty acid activation, cytosol	[c]
ACYP	Glycolysis/gluconeogenesis	112611.1 or 98.1 or 97.2 or 97.1	758.26565143824	487.593744882922	1.55511767613079	L	glycolysis	[c]
ACt2m	Transport, mitochondrial		807.234505423295	443.692146909525	1.8193572075728	L	NA	intercompartmental
ADNCYC	Nucleotide interconversion	112.1 or 55811.1 or 109.1 or 112.2 or 114.1 or 108.1 or 113.1 or 107.1 or 196883.1 or 115.1 or 111.1	389.018612521151	251.028971152656	1.54969607983845	L	purine synthesis, cytosol	[c]
ADNK1	Nucleotide interconversion	132.1 or 132.2	758.26565143824	487.593744882921	1.5551176761308	L	purine synthesis, cytosol	[c]
ADNK1m	Nucleotide interconversion		758.265651438241	487.593744882921	1.5551176761308	L	purine synthesis, cytosol	[m]
ADNtl	Transport, lysosomal	55315.1	778.265651438242	509.045357786147	1.52887289813022	L	NA	intercompartmental
ADSK	Nucleotide interconversion	9060.1 or 9061.1	758.265651438241	487.593744882921	1.5551176761308	L	NA	[c]
AHC	Methionine and cysteine metabolism	191.1 or 10768.2 or 10768.1	266.135865137557	174.791671825348	1.52258893320433	L	cysteine metabolism, cytosol/ SAH hydrolase	[c]
AK2LGCHOLABCt	Transport, extracellular	5244.1 or 19.1 or 5205.1 or 57198.1 or 57194.1	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
AK2LGCHOLt1	Transport, extracellular		758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
AMPTASECG	Glutathione metabolism	290.1	379.13282571912	243.796872441461	1.5551176761308	L	di-peptidase, cysteinylglycine, cytosol	[c]
APOCF	Biotin metabolism		389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
APOCFm	Biotin metabolism		389.018612521151	251.028971152655	1.54969607983845	L	NA	[m]
APOC_LYS_BTNP	Biotin metabolism		389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
APOC_LYS_BTNPm	Biotin metabolism		389.018612521151	251.028971152655	1.54969607983845	L	NA	[m]
ARACHCPT1	Fatty acid oxidation	1375.3 or 1374.1 or 1375.2 or 1375.4 or 1375.1 or 126129.1	435.381762029143	277.247151720248	1.57037415651598	L	carnitine shuttle	[c]
ARACHCPT2	Fatty acid oxidation	1376.1	435.381762029147	277.247151720248	1.57037415651599	L	carnitine shuttle	[m]
ARACHDFATPtc	Transport, extracellular	376497.1 or 10999.1	389.018612521151	251.238847130027	1.54840151897297	L	NA	intercompartmental
ATP1ter	Transport, endoplasmic reticular		758.26565143824	487.593744882921	1.5551176761308	L	NA	intercompartmental
ATP2ter	Transport, endoplasmic reticular		392.351945854484	254.239160601258	1.54323962101904	L	NA	intercompartmental
ATPH1e	Nucleotide interconversion	954.1 or 954.2 or 953.1 or 956.1 or 955.1 or 957.1	259.421883812746	169.681785928716	1.52887289813021	L	purine catabolism, cytosol	[e]
ATPtg	Transport, golgi apparatus		758.265651438239	487.593744882921	1.55511767613079	L	NA	intercompartmental
BACCL	Biotin metabolism	3141.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
BACCLm	Biotin metabolism	3141.1	389.018612521151	251.028971152655	1.54969607983845	L	NA	[m]
BHMT	Glycine, serine, alanine, and threonine metabolism	23743.1 or 635.1	60	0	Inf	L	methionine regeneration, cytosol	[c]
BIOCYTtn	Transport, nuclear		389.01861252115	251.028971152656	1.54969607983845	L	NA	intercompartmental
BPNT2	Nucleotide interconversion	10380.1	758.265651438238	487.593744882921	1.55511767613079	L	NA	[c]
BTND1n	Biotin metabolism	686.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[n]
BTNDm	Biotin metabolism	686.1	389.018612521151	251.028971152655	1.54969607983845	L	NA	[m]
BTNPL	Biotin metabolism	3141.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
BTNPLm	Biotin metabolism	3141.1	389.018612521151	251.028971152655	1.54969607983845	L	NA	[m]
CAATPS	Transport, extracellular	492.1 or 491.1 or 490.1 or 493.1	758.265651438239	487.593744882921	1.55511767613079	L	NA	intercompartmental
CBR2	Eicosanoid metabolism	873.1	1000	0	Inf	L	prostaglandin synthesis, cytosol	[c]
CDIPTr	Glycerophospholipid metabolism	10423.1 or 10423.2	439.018612521151	291.028971152656	1.50850484328884	L	new to recon	[c]
CDS	Glycerophospholipid metabolism	1040.1 or 8760.1	389.018612521151	251.028971152656	1.54969607983845	L	new to recon	[c]
CE2512te	Transport, extracellular		758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
CE2537ABCt	Transport, extracellular	376497.1 or 11001.1 or 11000.1 or 10999.1 or 10998.1 or 28965.1	379.13282571912	243.796872441461	1.55511767613079	L	NA	intercompartmental
