rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
10FTHF7GLUtl	Transport, lysosomal		166.666666666667	95.0801234902057	1.75290755363644	L	NA	intercompartmental
10FTHFtl	Transport, lysosomal		166.666666666667	95.0801234902057	1.75290755363644	L	NA	intercompartmental
2HIVc	Valine, leucine, and isoleucine metabolism	(3945.1 and 3939.1) or 160287.1 or 3948.2 or 3939.1 or 3948.1 or 55293.1 or 3945.1 or 92483.1	20	10	2	L	NA	[c]
2HIVte	Transport, extracellular		20	10	2	L	NA	intercompartmental
2MOPtm	Transport, mitochondrial		856.744186046512	0	Inf	L	NA	intercompartmental
34DHPLACOX_NADP_	Tyrosine metabolism	222.1 or 221.1 or 218.1	1010	10	101	L	NA	[c]
3HPPt	Transport, extracellular		375.785714285714	199.179374124918	1.88666982179609	L	NA	intercompartmental
3HPPtm	Transport, mitochondrial		375.785714285714	199.179374124917	1.88666982179609	L	NA	intercompartmental
3MOBte	Transport, extracellular		20	10	2	L	NA	intercompartmental
3MOX4HOXPGALDOX_NADP_	Tyrosine metabolism	222.1 or 220.1 or 221.1 or 218.1	1000	0	Inf	L	tyrosine metabolism, cytosol/ degradation of catechoamines	[c]
ADRNCOAtx	Transport, peroxisomal		0	17.5	0	H	NA	intercompartmental
ARGTYRVALr	Peptide metabolism		20	10	2	L	NA	[c]
ARGTYRVALt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
ARGVALCYSr	Peptide metabolism		20	10	2	L	NA	[c]
ARGVALCYSt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
ARGVALTRPr	Peptide metabolism		20	10	2	L	NA	[c]
ARGVALTRPt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
ASPVALASNr	Peptide metabolism		20	10	2	L	NA	[c]
ASPVALASNt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
ATP1ter	Transport, endoplasmic reticular		598.59375	21.6666666666666	27.6274038461539	L	NA	intercompartmental
C160CPT2	Fatty acid oxidation	1376.1 or 1374.1	75	40	1.875	L	carnitine shuttle	[m]
DCSPTN1CPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	0	17.5	0	H	carnitine shuttle	[c]
DCSPTN1CPT2	Fatty acid oxidation	1376.1	0	17.5	0	H	carnitine shuttle	[m]
EX_2hiv[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_3hpp[e]	Exchange/demand reaction		375.785714285714	199.179374124918	1.88666982179609	L	NA	[e]
EX_3mob[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_argtyrval[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_argvalcys[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_argvaltrp[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_aspvalasn[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_btn[e]	Exchange/demand reaction		10	0	Inf	L	NA	[e]
EX_cholate[e]	Exchange/demand reaction		40	20	2	L	NA	[e]
EX_dcsptn1[e]	Exchange/demand reaction		0	17.5	0	H	NA	[e]
EX_glyvalhis[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_hislysval[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_leuktrB4wcooh[e]	Exchange/demand reaction		10	0	Inf	L	NA	[e]
EX_leuleu[e]	Exchange/demand reaction		10	0	Inf	L	NA	[e]
EX_leuval[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_lysvalphe[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_lysvaltrp[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_o2s[e]	Exchange/demand reaction		0	0.166666666666667	0	H	NA	[e]
EX_procys[e]	Exchange/demand reaction		20	40	0.5	H	NA	[e]
EX_provalgln[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_tchola[e]	Exchange/demand reaction		30	10	3	L	NA	[e]
EX_trpglyval[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_trpleuval[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_trpmetval[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_trpproval[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_trpvalasp[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_tyrvalmet[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_val_L[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_valarggly[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_valhisasn[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_valleuphe[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_vallystyr[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_valphearg[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_valprotrp[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_valserarg[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_valtrpphe[e]	Exchange/demand reaction		20	10	2	L	NA	[e]
EX_valtrpval[e]	Exchange/demand reaction		10	5	2	L	NA	[e]
EX_valval[e]	Exchange/demand reaction		10	5	2	L	NA	[e]
FAOXC184C163m	Fatty acid oxidation	3030.1 and 3032.1	0	17.5	0	H	betaoxidation	[m]
FAOXC184m	Fatty acid oxidation	1632.1	0	17.5	0	H	betaoxidation	[m]
FAOXC204C184m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	0	17.5	0	H	betaoxidation	[m]
FAOXC225C204m	Fatty acid oxidation	3030.1 and 3032.1	0	17.5	0	H	betaoxidation	[m]
FAOXC225C226m	Fatty acid oxidation	37.1	0	17.5	0	H	betaoxidation	[m]
