name	iPS_Ctrl_TP_vs_iPS_BD_NR_TP	iPS_Ctrl_TP_vs_iPS_BD_R_TP	iPS_Ctrl_TP_vs_iPS_BD_TP	UnChanged_iPS_Ctrl_TP_vs_Primary_TP
10FTHFtl	1	1	1	0
12PPDRte	1	1	1	0
15KPROSTGF2t	1	1	1	1
2HBO	1	1	1	0
2M3HVACc	1	1	1	0
2M3HVACte	1	1	1	0
2M3OVACm	1	1	1	0
2M3OVACtm	1	1	1	0
2M3OVCOAm	1	1	1	0
2OBUTt	1	1	1	0
2OXOADOXm	1	1	1	1
2OXOADPt	0	1	1	1
2OXOADPTm	1	1	1	0
34DHXMANDACOX_NADP_	1	0	1	0
3DSPHR	1	1	1	0
3SALACBOXL	0	1	1	0
3SALATAi	0	1	1	0
3SALATAim	0	1	1	0
3SPYRSP	0	1	1	0
3SPYRSPm	0	1	1	0
4HPROLTASCT1	1	1	1	0
56DTHMtd	1	1	1	0
5HPETtd	1	1	1	0
5OXPROt	0	0	1	1
7DHFtl	0	0	1	1
AATAi	1	1	1	0
ABT_Dt2	1	1	1	0
ABTD1	1	1	1	0
ABUTt2rL	0	0	1	0
ACACT10m	1	1	1	1
ACACT1r	0	0	1	0
ACACt2m	0	0	1	0
ACACT4p	0	0	1	0
ACACT8p	1	0	1	0
ACALDt	0	0	1	0
ACALDtm	0	1	1	0
ACCOAC	0	0	1	0
ACCOAL	0	0	1	0
ACETONEt2	1	0	1	0
ACETONEt2m	1	0	1	0
ACGALtly	0	0	1	1
ACGAMPM	0	1	1	1
ACITL	0	0	1	0
ACNAMlt	0	1	1	1
ACNAMtn	0	0	1	0
ACP1_FMN_	0	0	1	0
ACS	0	1	1	0
ACS2	0	0	1	0
ADEt	0	0	1	0
ADNCYC	0	0	1	0
ADNK1	0	0	1	0
ADNK1m	0	0	1	0
ADNtm	1	1	1	0
ADPOHc	0	1	1	1
ADPOHt	0	1	1	1
ADRNCPT1	1	1	1	0
ADRNCPT2	1	1	1	0
ADSK	0	0	1	0
ADSL1	0	0	1	0
ADSL2	0	0	1	1
ADSS	0	0	1	0
AG13T16g	0	1	1	0
AG13T17g	0	1	1	0
AG13T18g	0	1	1	0
AG13T1g	0	1	1	0
AG13T2g	0	1	1	0
AG13T3g	0	1	1	0
AGPAT1	0	0	1	0
AICART	0	0	1	0
AIRCr	0	0	1	1
AK2LGCHOLABCt	0	0	1	0
AK2LGCHOLt1	0	0	1	0
ALCD1	0	0	1	1
ALCD21_L	1	1	1	0
ALDD2x	0	0	1	0
ALDD2xm	0	1	1	0
ALDD2y	0	0	1	0
ALR2	1	1	1	0
ALR3	1	1	1	0
AMACR2p	0	0	1	0
AMPDA	0	0	1	0
AMPTASECG	0	0	1	0
APOC_LYS_BTNP	0	0	1	0
APOC_LYS_BTNPm	0	0	1	0
APOCF	0	0	1	0
APOCFm	0	0	1	0
ARACHDFATPtc	0	0	1	0
ARSA	0	0	1	0
ASNCYSCYSr	0	1	1	1
ASNCYSCYSt	0	1	1	1
ATP1ter	0	0	1	0
ATP2ter	0	0	1	0
ATPH1e	0	0	1	0
ATPtg	0	0	1	0
B3GALT42g	0	0	1	0
BAAT3x	0	0	1	0
BACCL	0	0	1	0
BACCLm	0	0	1	0
BGAL1e	1	1	1	1
BGAL1l	0	0	1	1
BGAL3l	0	0	1	1
BILGLCURtr	1	1	1	0
BIOCYTtn	0	0	1	0
biomass_maintenance	0	0	1	0
biomass_maintenance_noTrTr	0	0	1	0
BPNT	0	1	1	0
BPNT2	0	0	1	0
BTND1n	0	0	1	0
BTNDm	0	0	1	0
BTNPL	0	0	1	0
BTNPLm	0	0	1	0
BTNt2	0	1	1	1
BTNtn	0	0	1	0
C02356t	1	1	1	0
C02712te	0	0	1	1
C03990t	0	0	1	0
C04483t2	0	1	1	0
C04805td	1	1	1	0
C05957t	0	0	1	0
C11695td	1	1	1	1
C13856te	1	1	1	0
C140CPT1	0	0	1	1
C14768td	1	1	1	0
C14769td1	1	1	1	0
C14770ATP	1	1	1	0
C14771ATP	1	1	1	0
C14826td	0	0	1	0
C160CPT2	1	0	1	1
C161CPT12	1	1	1	0
C204CPT2	1	1	1	0
CAATPS	0	0	1	0
CDIPTr	0	0	1	1
CDS	0	0	1	0
CE2445t	1	1	1	0
CE2510ABCt	0	0	1	0
CE2510t	0	0	1	0
CE2537ABCt	0	0	1	0
CE2537ATP	0	0	1	0
CE4890te2	1	1	1	0
CE5304t	1	1	1	1
CE6247t	1	1	1	0
CERT1rt	1	1	1	0
CHOLt4	0	0	1	0
CHSTEROLtg	0	0	1	0
CHSTEROLtrc	1	1	1	0
CMPACNAtg	0	1	1	1
CMPACNAtn	0	0	1	0
CMPSAS	0	0	1	0
CMPSASn	0	0	1	0
CO2ter	1	1	1	0
CORE2GTg	0	1	1	0
CORE3GTg	0	1	1	0
CORE4GTg	0	1	1	0
CRMte	0	0	1	0
CRVNCtr	1	1	1	0
CRVSM1hr	1	0	1	0
CRVSM23hr	1	0	1	0
CTPtn	0	0	1	0
CVM1GLUChc	1	0	1	0
CVM23GLUChc	1	0	1	0
CYSCYSr	0	1	1	1
CYSCYSt	0	1	1	1
CYSO	0	1	1	0
CYSTA	0	1	1	1
D_LACtm	1	1	1	0
DAGK_hs	0	0	1	0
DAGt	1	1	1	0
DCMPDA	0	1	1	1
DESAT18_10	1	1	1	1
DESAT18_9	0	0	1	0
DESAT20_1	1	1	1	0
DGCHOLte	0	0	1	0
DGK1	0	0	1	0
DGULND	1	1	1	0
DHAPtr	0	0	1	0
DHCHOLESTANATEt	0	0	1	0
