rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
2OXOADPt	Transport, extracellular		20	0	Inf	L	NA	intercompartmental
ACGAMPM	Aminosugar metabolism	5238.1	0	38.9827911362565	0	H	amino sugar metabolism	[c]
ACNAMlt	Transport, lysosomal	26503.1	0	30.9245283018868	0	H	NA	intercompartmental
ADPOHc	Lysine metabolism		20	0	Inf	L	NA	[c]
ADPOHt	Transport, extracellular		20	0	Inf	L	NA	intercompartmental
ASNCYSCYSr	Peptide metabolism		10	20	0.5	H	NA	[c]
ASNCYSCYSt	Transport, extracellular	6564.1 or 6565.1	10	20	0.5	H	NA	intercompartmental
BTNt2	Transport, extracellular	6566.1	10	1000	0.01	H	NA	intercompartmental
CMPACNAtg	Transport, golgi apparatus	10559.1	0	65.491089108911	0	H	NA	intercompartmental
CYSCYSr	Peptide metabolism		10	20	0.5	H	NA	[c]
CYSCYSt	Transport, extracellular	6564.1 or 6565.1	10	20	0.5	H	NA	intercompartmental
CYSTA	Methionine and cysteine metabolism	2805.1	20	40	0.5	H	NA	[c]
DCMPDA	Pyrimidine catabolism	1635.1	1010	1320.36546184739	0.764939730085682	H	NA	[c]
EX_2oxoadp[e]	Exchange/demand reaction		20	0	Inf	L	NA	[e]
EX_HC00250[e]	Exchange/demand reaction		20	40	0.5	H	NA	[e]
EX_L2aadp[e]	Exchange/demand reaction		20	0	Inf	L	NA	[e]
EX_adpoh[e]	Exchange/demand reaction		20	0	Inf	L	NA	[e]
EX_asncyscys[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
EX_cys_L[e]	Exchange/demand reaction		20	40	0.5	H	NA	[e]
EX_cyscys[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
EX_gthrd[e]	Exchange/demand reaction		20	40	0.5	H	NA	[e]
EX_hiscyscys[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
EX_lpchol_hs[e]	Exchange/demand reaction		20	0	Inf	L	NA	[e]
EX_mercplaccys[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
EX_sfcys[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
EX_so4[e]	Exchange/demand reaction		29.9999999999999	50	0.599999999999998	H	NA	[e]
EX_taur[e]	Exchange/demand reaction		40	60	0.666666666666667	H	NA	[e]
EX_tsul[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
