rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
2MOPtm	Transport, mitochondrial		846.346153846154	499.760129256774	1.69350475217943	L	NA	intercompartmental
34DHPLACOX_NADP_	Tyrosine metabolism	222.1 or 221.1 or 218.1	1010	10	101	L	NA	[c]
3SALAASPm	Transport, mitochondrial	10165.1 or 8604.1	846.346153846154	499.760129256774	1.69350475217943	L	NA	intercompartmental
ASPGLUm	Transport, mitochondrial	8604.1 or 10165.1	846.346153846154	499.760129256774	1.69350475217943	L	malate-aspartate shuttle	intercompartmental
ASPTAm	Alanine and aspartate metabolism	2806.1	891.346153846153	545.11131942817	1.63516353830478	L	malate-aspartate shuttle	[m]
BILIRUBt2	Transport, extracellular	10599.1	2000	0	Inf	L	NA	intercompartmental
DESAT20_2	Fatty acid synthesis	3992.1	0	22	0	H	fatty acid synthesis & elongation	[c]
DLNLCGCPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	2000	484.760416666667	4.12574940370028	L	carnitine shuttle	[c]
DM_adprbp[c]	Exchange/demand reaction		0	10	0	H	NA	[c]
EICOSTETCPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	0	35	0	H	carnitine shuttle	[c]
EICOSTETCPT2	Fatty acid oxidation	1376.1	0	35	0	H	carnitine shuttle	[m]
ELAIDCPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	456.583732057416	195.75	2.33248394409919	L	carnitine shuttle	[c]
ELAIDCPT2	Fatty acid oxidation	1376.1	456.583732057416	188.25	2.42541159127445	L	carnitine shuttle	[m]
EX_adprbp[e]	Exchange/demand reaction		0	9.99999999999999	0	H	NA	[e]
EX_eicostet[e]	Exchange/demand reaction		0	35	0	H	NA	[e]
FAOXC204184m	Fatty acid oxidation	35.1 or 34.1	0	35	0	H	betaoxidation	[m]
HMR_1329	Eicosanoid metabolism	8644.1	2000	28.3333333333334	70.5882352941176	L	NA	[c]
HMR_2484	Fatty acid synthesis	9415.1 or 3992.1 or 3995.1	0	22	0	H	NA	[c]
HMR_2634	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	45	44.4444444444444	L	NA	intercompartmental
HMR_2744	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	20	100	L	NA	intercompartmental
HMR_2888	Transport, endoplasmic reticular	6584.1	2000	239.21875	8.36054866100588	L	NA	intercompartmental
HMR_2890	Transport, endoplasmic reticular	1384.1	2000	239.21875	8.36054866100587	L	NA	[r]
HMR_3427	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	0	35	0	H	NA	[m]
HMR_3864	Transport, mitochondrial	10165.1 or 8604.1	846.346153846154	499.760129256774	1.69350475217943	L	NA	intercompartmental
HMR_7198	Transport, lysosomal		10	0	Inf	L	NA	intercompartmental
HMR_9642	Transport, extracellular		0	10	0	H	NA	intercompartmental
MDHm	Citric acid cycle	4191.1 or 4190.1	2000	876.868630118083	2.2808433684424	L	TCA cycle, mitochondria	[m]
MLTHFtm	Transport, mitochondrial		2000	1201.87739463602	1.66406324715483	L	NA	intercompartmental
MMALtm	Transport, mitochondrial		846.346153846154	499.760129256773	1.69350475217944	L	NA	intercompartmental
MTHFC	Folate metabolism	4522.1 or 100287639.1 or 441024.1	2000	221.309523809524	9.03711672942442	L	one carbon metabolism, cytosol	[c]
MTHFCm	Folate metabolism	25902.1 or 10797.1	2000	5	400	L	NA	[m]
NMNS	NAD metabolism	10135.1	10	20	0.5	H	NA	[c]
PAIL45P_HStn	Transport, nuclear		1527.22222222222	866.666666666666	1.76217948717949	L	NA	intercompartmental
PGESr	Eicosanoid metabolism	80142.4 or 80142.2 or 9536.1 or 80142.1 or 9536.2 or 80142.3	1000	2000	0.5	H	prostaglandin synthesis, cytosol	[r]
PI45P5P	Inositol phosphate metabolism	8867.1 or 56623.1 or 4952.1 or 8871.1 or 8867.2 or 4952.2 or 3633.1	1000	433.333333333333	2.30769230769231	L	phospholipid metabolism/inositol, cytosol	[c]
PROSTGE2t2r	Transport, endoplasmic reticular		1000	2000	0.5	H	NA	intercompartmental
RE0583C	Fatty acid synthesis		456.583732057416	195.75	2.33248394409919	L	fatty acid synthesis & elongation	[c]
RE2799C	Eicosanoid metabolism		2000	1028.33333333333	1.94489465153971	L	prostaglandin synthesis, cytosol	[c]
RE3597C	Eicosanoid metabolism	874.1 or 873.1	2000	10	200	L	NA	[c]
r0630	Bile acid synthesis	570.1	1020	30	34	L	NA	[c]
r0642	Miscellaneous	224.1 or 217.1 or 219.1 or 223.1 or 501.1	846.346153846154	499.760129256774	1.69350475217943	L	valine metabolism	[c]
r0990	Transport, peroxisomal		1010	10	101	L	NA	intercompartmental
r2435	Transport, mitochondrial	788.1	2000	85	23.5294117647059	L	NA	intercompartmental
sink_Ser_Gly_Ala_X_Gly[r]	Exchange/demand reaction		10	0	Inf	L	NA	[r]
sink_tmndnccoa[c]	Exchange/demand reaction		30	42	0.714285714285714	H	NA	[c]
2OXOADPt	Transport, extracellular		20	0	Inf	L	NA	intercompartmental
ACGAMPM	Aminosugar metabolism	5238.1	0	38.9827911362565	0	H	amino sugar metabolism	[c]
ACNAMlt	Transport, lysosomal	26503.1	0	30.9245283018868	0	H	NA	intercompartmental
ADPOHc	Lysine metabolism		20	0	Inf	L	NA	[c]
ADPOHt	Transport, extracellular		20	0	Inf	L	NA	intercompartmental
ASNCYSCYSr	Peptide metabolism		10	20	0.5	H	NA	[c]
ASNCYSCYSt	Transport, extracellular	6564.1 or 6565.1	10	20	0.5	H	NA	intercompartmental
BTNt2	Transport, extracellular	6566.1	10	1000	0.01	H	NA	intercompartmental
CMPACNAtg	Transport, golgi apparatus	10559.1	0	65.491089108911	0	H	NA	intercompartmental
CYSCYSr	Peptide metabolism		10	20	0.5	H	NA	[c]
CYSCYSt	Transport, extracellular	6564.1 or 6565.1	10	20	0.5	H	NA	intercompartmental
CYSTA	Methionine and cysteine metabolism	2805.1	20	40	0.5	H	NA	[c]
DCMPDA	Pyrimidine catabolism	1635.1	1010	1320.36546184739	0.764939730085682	H	NA	[c]
EX_2oxoadp[e]	Exchange/demand reaction		20	0	Inf	L	NA	[e]
EX_HC00250[e]	Exchange/demand reaction		20	40	0.5	H	NA	[e]
EX_L2aadp[e]	Exchange/demand reaction		20	0	Inf	L	NA	[e]
EX_adpoh[e]	Exchange/demand reaction		20	0	Inf	L	NA	[e]
EX_asncyscys[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
EX_cys_L[e]	Exchange/demand reaction		20	40	0.5	H	NA	[e]
EX_cyscys[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
EX_gthrd[e]	Exchange/demand reaction		20	40	0.5	H	NA	[e]
EX_hiscyscys[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
EX_lpchol_hs[e]	Exchange/demand reaction		20	0	Inf	L	NA	[e]
EX_mercplaccys[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
EX_sfcys[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
EX_so4[e]	Exchange/demand reaction		29.9999999999999	50	0.599999999999998	H	NA	[e]
EX_taur[e]	Exchange/demand reaction		40	60	0.666666666666667	H	NA	[e]
EX_tsul[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
GALASE16ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550137	0	H	NA	[l]
GALASE17ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]
GALASE18ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]
GALASE19ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]
GALASE20ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.7965582272513	0	H	NA	[l]
GALNTg	O-glycan metabolism	26290.1 or 79695.1 or 2589.1 or 50614.1 or 8693.1 or 55568.2 or 114805.1 or 11226.1 or 117248.1 or 11227.1 or 55568.1 or 2590.1 or 51809.1 or 26290.1 or 79623.1 or 63917.1 or 2591.1	0	8.39629347550139	0	H	amino sugar metabolism	[g]
GALSIDEtl	Transport, lysosomal		10	109.151815181518	0.0916155171892479	H	NA	intercompartmental
HISCYSCYSr	Peptide metabolism		10	20	0.5	H	NA	[c]
HISCYSCYSt	Transport, extracellular	6564.1 or 6565.1	10	20	0.5	H	NA	intercompartmental
HMR_1317	Eicosanoid metabolism		1000	0	Inf	L	NA	[c]
KSII_CORE2tly	Transport, lysosomal		0	8.39629347550137	0	H	NA	intercompartmental
KSII_CORE4tly	Transport, lysosomal		0	7.7965582272513	0	H	NA	intercompartmental
L2AADPtr	Transport, extracellular		20	0	Inf	L	NA	intercompartmental
LPCHOLt	Transport, extracellular		20	0	Inf	L	NA	intercompartmental
MCLACCYSR	Methionine and cysteine metabolism		10	20	0.5	H	NA	[c]
MCLOR	Methionine and cysteine metabolism	92483.1 or (3945.1 and 3939.1) or 55293.1 or 3948.2 or 3948.1 or 3945.1 or 160287.1 or 3939.1	10	20	0.5	H	NA	[c]
MERCPLACCYSt	Transport, extracellular		10	20	0.5	H	NA	intercompartmental
MI145PP	Inositol phosphate metabolism	3635.1 or 8867.2 or 3636.1 or 27124.2 or 8867.1 or 27124.1 or 3633.1 or 56623.1 or 3632.1	518.759259259259	339.638190954774	1.52738788827296	L	NA	[c]
N3Tg	O-glycan metabolism	56913.1	0	8.39629347550137	0	H	NA	[g]
NACHEX23ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	8.39629347550137	0	H	NA	[l]
NACHEX24ly	Keratan sulfate degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	0	8.39629347550139	0	H	NA	[l]
NACHEX25ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	8.39629347550139	0	H	NA	[l]
NACHEX26ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	7.7965582272513	0	H	chondroitin sulphate degradation, lysosome	[l]
NAGA2ly	Keratan sulfate degradation	4668.1	0	8.39629347550139	0	H	NA	[l]
NAGLCAly	Keratan sulfate degradation		0	8.39629347550139	0	H	NA	[l]
NDP7g	Nucleotide interconversion	9583.1	0	109.151815181518	0	H	pyrimidine degradation	[g]
PI45PLC	Inositol phosphate metabolism	23236.2 or 5336.1 or 9651.1 or 113026.1 or 89869.1 or 84812.1 or 5330.1 or 5335.1 or 51196.1 or 5333.1 or 5332.2 or 5331.1 or 5335.2 or 5334.1 or 5332.1 or 257068.1 or 23236.1 or 23007.1	521.203703703704	341.070175438597	1.52814212803411	L	phospholipid metabolism/inositol, cytosol	[c]
RE3477C1	Eicosanoid metabolism		1000	0	Inf	L	NA	[c]
S6TASE22ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	8.39629347550135	0	H	NA	[l]
S6TASE23ly	Keratan sulfate degradation	2799.1	0	8.39629347550135	0	H	NA	[l]
S6TASE24ly	Keratan sulfate degradation	2799.1	0	8.39629347550135	0	H	NA	[l]
S6TASE25ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	7.79655822725135	0	H	chondroitin degradation, lysosome	[l]
S6TASE26ly	Keratan sulfate degradation	2799.1	0	7.79655822725135	0	H	chondroitin degradation, lysosome	[l]
SFCYSc	Methionine and cysteine metabolism		10	20	0.5	H	NA	[c]
SFCYSe	Transport, extracellular		10	20	0.5	H	NA	intercompartmental
SIAASE3ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	8.39629347550137	0	H	NA	[l]
SIAASE4ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	7.7965582272513	0	H	chondroitin degradation, lysosome	[l]
Ser_Thrtg	Transport, golgi apparatus		0	8.39629347550135	0	H	NA	intercompartmental
TXB2c	Eicosanoid metabolism		1000	0	Inf	L	lipid metabolism	[c]
UAGDP	Aminosugar metabolism	6675.1 or 91373.1	0	38.9827911362565	0	H	amino sugar metabolism	[c]
UDPACGALtl	Transport, lysosomal		0	8.39629347550135	0	H	NA	intercompartmental
UDPGALtg	Transport, golgi apparatus	7355.1	0	109.151815181518	0	H	NA	intercompartmental
UDPtl	Transport, lysosomal		0	8.39629347550135	0	H	NA	intercompartmental
UGALNACtg	Transport, golgi apparatus	7355.1	0	32.7455445544554	0	H	NA	intercompartmental
UGLCNACtg	Transport, golgi apparatus	11046.1	0	38.9827911362565	0	H	NA	intercompartmental
r0594	Lysine metabolism	501.1	20	0	Inf	L	lysine metabolism	[c]
r0940	Transport, extracellular		20	40	0.5	H	NA	intercompartmental
r2347	Transport, extracellular	387775.1	2000	0	Inf	L	NA	intercompartmental
r2539	Transport, mitochondrial		20	0	Inf	L	NA	intercompartmental
sink_crvnc[c]	Exchange/demand reaction		20	10	2	L	NA	[c]
sink_cys_L[c]	Exchange/demand reaction		20	40	0.5	H	NA	[c]
