	rxnList	subSystem	GPR	FluxSpan_a	FluxSpan_b	Flux_Span_Ratio	Var7	Var8	Var9
1	2M3HVACc	Propanoate metabolism		251.359766097589	154.987008018833	1.62181184933285	L	NA	[c]
3	2M3OVACm	Propanoate metabolism		251.359766097589	154.987008018833	1.62181184933285	L	NA	[m]
5	2M3OVCOAm	Propanoate metabolism	38.1	251.359766097589	154.987008018833	1.62181184933285	L	NA	[m]
9	ABTArm	Glutamate metabolism	18.1 or 18.2	837.416968817984	213.180772816741	3.92820120573379	L	GABA aminotransferase	[m]
14	ACCOAL	Propanoate metabolism	55902.1 or 55902.2	758.26565143824	487.593744882921	1.5551176761308	L	fatty acid activation, cytosol	[c]
18	ACS	Glycolysis/gluconeogenesis	65985.1 or 55902.2 or 55902.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
19	ACS2	Propanoate metabolism	55902.1 or 65985.1 or 55902.2	389.018612521152	251.028971152656	1.54969607983846	L	fatty acid activation, cytosol	[c]
20	ACYP	Glycolysis/gluconeogenesis	112611.1 or 98.1 or 97.2 or 97.1	758.26565143824	487.593744882922	1.55511767613079	L	glycolysis	[c]
31	APOCF	Biotin metabolism		389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
32	APOCFm	Biotin metabolism		389.018612521151	251.028971152655	1.54969607983845	L	NA	[m]
33	APOC_LYS_BTNP	Biotin metabolism		389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
34	APOC_LYS_BTNPm	Biotin metabolism		389.018612521151	251.028971152655	1.54969607983845	L	NA	[m]
42	BACCL	Biotin metabolism	3141.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
43	BACCLm	Biotin metabolism	3141.1	389.018612521151	251.028971152655	1.54969607983845	L	NA	[m]
47	BTND1n	Biotin metabolism	686.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[n]
48	BTNDm	Biotin metabolism	686.1	389.018612521151	251.028971152655	1.54969607983845	L	NA	[m]
49	BTNPL	Biotin metabolism	3141.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
50	BTNPLm	Biotin metabolism	3141.1	389.018612521151	251.028971152655	1.54969607983845	L	NA	[m]
79	ENO	Glycolysis/gluconeogenesis	2023.1 or 2027.1 or 2027.2 or 2026.1	871.469711390554	487.916325528082	1.78610484174176	L	glycolysis	[c]
116	G3PD2m	Glycolysis/gluconeogenesis	2820.1	583.546893884457	365.328321042046	1.59732180691596	L	NA	intercompartmental
125	GLNS	Glutamate metabolism	2752.1 or 51557.1	758.265651438235	487.59374488292	1.55511767613079	L	glutamine metabolism	[c]
129	GLUDC	Glutamate metabolism	2571.1 or 2572.1 or 2571.2	334.874546773024	210.15663524293	1.59345217145263	L	glutamate degradation, cytosol/ Glutamate Decarboxylase	[c]
130	GLUNm	Glutamate metabolism	2744.1 or 27165.2 or 27165.1	778.26565143824	507.593744882921	1.53324515773486	L	glutamine metabolism, mitochondria/ glutaminase	[m]
138	HEX1	Glycolysis/gluconeogenesis	3098.3 or 80201.1 or 2645.3 or 3098.4 or 3099.1 or 2645.2 or 3098.5 or 2645.1 or 3098.1 or 3101.1 or 3098.2	479.018612521151	261.028971152656	1.83511665546507	L	glycolysis	[c]
139	HMGCOASim	Cholesterol metabolism	3158.1	849.09898477157	517.775465313029	1.63989806712497	L	cholesterol synthesis	[m]
140	HMGLm	Cholesterol metabolism	3155.1 or 54511.1	849.098984771573	517.775465313029	1.63989806712498	L	ketogenesis	[m]
141	HMGLx	Cholesterol metabolism	3155.1	849.098984771574	517.775465313029	1.63989806712498	L	ketogenesis	[x]
142	HMR_0188	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
144	HMR_0192	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
147	HMR_0200	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
149	HMR_0204	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
153	HMR_0209	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
159	HMR_0233	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
164	HMR_0241	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
168	HMR_0245	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
173	HMR_0255	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
176	HMR_0259	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
178	HMR_0267	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
183	HMR_0279	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
188	HMR_0289	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
191	HMR_0293	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	0	Inf	L	NA	[c]
193	HMR_0297	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152663	1.54969607983841	L	NA	[c]
197	HMR_0301	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152663	1.54969607983841	L	NA	[c]
201	HMR_0305	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
205	HMR_0309	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
211	HMR_0323	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
215	HMR_0327	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
219	HMR_0345	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
226	HMR_0381	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152663	1.54969607983841	L	NA	[c]
230	HMR_0385	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
234	HMR_0389	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152663	1.54969607983841	L	NA	[c]
238	HMR_0393	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521152	251.028971152656	1.54969607983846	L	NA	[c]
250	HMR_0429	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
254	HMR_0433	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
258	HMR_0437	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
267	HMR_1465	Cholesterol metabolism	2222.1	3.5	20.7494000685635	0.168679575719526	H	NA	[c]
268	HMR_1467	Cholesterol metabolism	2222.1	3.5	20.7494000685636	0.168679575719525	H	NA	[c]
269	HMR_1470	Cholesterol metabolism	6713.1	3.5	20.7494000685636	0.168679575719525	H	NA	[c]
270	HMR_1473	Cholesterol metabolism	4047.1	3.5	20.7494000685636	0.168679575719525	H	NA	[c]
272	HMR_2259	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	435.381762029142	277.247151720248	1.57037415651598	L	NA	[c]
273	HMR_2260	Fatty acid synthesis	51144.1	435.381762029142	277.247151720248	1.57037415651598	L	NA	[c]
274	HMR_2261	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	435.381762029142	277.247151720248	1.57037415651598	L	NA	[c]
