metID	metName
2decdicoa	2,7-Decadienoyl Coenzyme A
2dodtricoa	2,6,9-Dodecatrienoyl Coenzyme A
2hexdtetcoa	2,7,10,13-Hexadecatetraenoyl Coenzyme A
2maacoa	2-Methylacetoacetyl Coenzyme A
2oxoadp	2-Oxoadipate
3decdicoa	3,7-Decadienoyl Coenzyme A
3dodtricoa	3,6,9-Dodecatrienoyl Coenzyme A
3hdcoa	(S)-3-Hydroxydecanoyl Coenzyme A
3hddcoa	(S)-3-Hydroxydodecanoyl Coenzyme A
3hexdtetcoa	3,7,10,13-Hexadecatetraenoyl Coenzyme A
3hmbcoa	(2S,3S)-3-Hydroxy-2-Methylbutanoyl Coenzyme A
3mgcoa	Trans-3-Methylglutaconyl Coenzyme A
3mop	3-Methyl-2-Oxopentanoate
3pg	3-Phospho-D-Glycerate
3sala	3-Sulfino-L-Alanine
3snpyr	3-Sulfinopyruvate
4hexdtetcoa	4,7,10,13-Hexadecatetraenoyl Coenzyme A
5tedtricoa	5,8,11-Tetradecatrienoyl Coenzyme A
CE4817	3(S)-Hydroxy-Docosa-7,10,13,16,19-All-Cis-Pentaenoyl Coenzyme A
CE4819	3-Oxo-Docosa-7,10,13,16,19-All-Cis-Pentaenoyl Coenzyme A
CE4821	2-Trans-7,10,13,16,19-All-Cis-Docosahexaenoyl Coenzyme A
CE7081	15R-Hydroxy-5Z,8Z,11Z,13E,17Z-Eicosapentaenoic Acid
HC00250	Hydrosulfide
HC00900	Methylmalonate
HC01415	(2E)-Octenoyl Coenzyme A
HC01444	Galactosylglycerol
HC01501	Thiosulfate
HC01712	S-Glutaryldihydrolipoamide
L2aadp	L-2-Aminoadipate
L2aadp6sa	L-Allysine
M00129	9E-Tetradecenoyl Coenzyme A
M00885	3-Oxomyrist-5-Enoyl Coenzyme A
M01141	5Z-Tetradecenoyl Coenzyme A
M01573	Cis-(3S)-Hydroxytetradec-5-Enoyl Coenzyme A
M03022	Trans,Cis-Myristo-2,5-Dienoyl Coenzyme A
accoa	Acetyl Coenzyme A
adp	Adenosine Diphosphate
adpoh	2-Hydroxyadipic Acid
akg	2-Oxoglutarate
atp	Adenosine Triphosphate
bilglcur	Mono(Glucosyluronic Acid)Bilirubin
bilirub	Bilirubin
clpnd	Docosapentaenoic Acid
clpndcoa	Docosa-7,10,13,16,19-All-Cis-Pentaenoyl Coenzyme A
clpndcrn	7Z,10Z,13Z,16Z,19Z-Docosapentaenoylcarnitine
co2	Carbon Dioxide
coa	Coenzyme A
crn	L-Carnitine
cys_L	L-Cysteine
dadp	Deoxyadenosine Diphosphate
datp	Deoxyadenosine Triphosphate
dc2coa	Trans-Dec-2-Enoyl Coenzyme A
dd2coa	Trans-Dodec-2-Enoyl Coenzyme A
dd3coa	Cis-Dodec-3-Enoyl Coenzyme A
ddcacoa	Lauroyl Coenzyme A
dec47dicoa	4,7-Decadienoyl Coenzyme A
dectricoa	2,4,7-Decatrienoyl Coenzyme A
dhap	Dihydroxyacetone Phosphate
dhlam	Dihydrolipoamide
elaidcrn	Elaidic carnitine
f1p	D-Fructose 1-Phosphate
f6p	D-Fructose 6-Phosphate
fad	Flavin Adenine Dinucleotide Oxidized
fadh2	Flavin Adenine Dinucleotide Reduced
fru	D-Fructose
gal	D-Galactose
glc_D	D-Glucose
glu_L	L-Glutamate
glutcoa	Glutaryl Coenzyme A
glyald	D-Glyceraldehyde
glyc	Glycerol
glyc_R	D-Glycerate
h	Proton
h2o	Water
hdca	Hexadecanoate (N-C16:0)
hdcecrn	Palmitoleoyl-Carnitine
hdcoa	Palmitoleyl Coenzyme A
hexdpencoa	2,4,7,10,13-Hexadecapentaenoyl Coenzyme A
hexe3coa	3-Hexenoyl Coenzyme A
hmgcoa	Hydroxymethylglutaryl Coenzyme A
hx2coa	Trans-Hex-2-Enoyl Coenzyme A
hyptaur	hyptaur[c]
idp	Inosine-5'-Diphosphate
ile_L	L-Isoleucine
inost	Myo-Inositol
isomal	Isomaltose,  Brachiose
itp	Iinosine-5'-Triphosphate
lnlc	Linoleate
lpam	Lipoamide
malcoa	Malonyl Coenzyme A
mercplac	3-Mercaptolactate
mercplaccys	3-Mercaptolactate-Cysteine Disulfide
mercppyr	3-Mercaptopyruvate
mmcoa_R	(R)-Methylmalonyl Coenzyme A
mmcoa_S	(S)-Methylmalonyl Coenzyme A
nad	Nicotinamide Adenine Dinucleotide
nadh	Nicotinamide Adenine Dinucleotide - Reduced
nadp	Nicotinamide Adenine Dinucleotide Phosphate
nadph	Nicotinamide Adenine Dinucleotide Phosphate - Reduced
o2	Oxygen
occoa	Octanoyl Coenzyme A (N-C8:0 Coenzyme A)
octe5coa	5-Octenoyl Coenzyme A
od2coa	(2E)-Octadecenoyl Coenzyme A
pail_hs	1-Phosphatidyl-1D-Myo-Inositol
pi	Orthophosphate
pmtcoa	Palmitoyl Coenzyme A (N-C16:0 Coenzyme A)
pmtcrn	L-Palmitoylcarnitine
ppcoa	Propanoyl Coenzyme A
pyr	Pyruvate
slfcys	S-Sulfo-L-Cysteine
so3	Sulfite
so4	Sulfate
stcoa	Stearoyl Coenzyme A (N-C18:0 Coenzyme A)
stcrn	O-Octadecanoyl-R-Carnitine
strdnc	Stearidonic Acid C18:4, N-3
strdnccoa	Stearidonoyl Coenzyme A
strdnccrn	6Z,9Z,12Z,15Z-Octadecatetraenoylcarnitine
taur	Taurine
tdcoa	Myristoyl Coenzyme A
tmndnc	Timnodonic Acid C20:5, N-3
tmndnccoa	Eicosa-5,8,11,14,17-All-Cis-Pentaenoyl Coenzyme A
tmndnccrn	5Z,8Z,11Z,14Z,17Z-Eicosapentaenoylcarnitine
tsul	Thiosulfate
ttdcrn	Tetradecenoylcarnitine(5)
