rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	direction	localization	rxnFormula
2M3HVACc	Propanoate metabolism		251.359766097589	154.987008018833	1.62181184933285	L	[c]	h[c] + nadh[c] + 2m3ovac[c]  <=> nad[c] + 2m3hvac[c] 
2M3OVACm	Propanoate metabolism		251.359766097589	154.987008018833	1.62181184933285	L	[m]	h2o[m] + 2m3ovcoa[m]  -> h[m] + coa[m] + 2m3ovac[m] 
2M3OVCOAm	Propanoate metabolism	38.1	251.359766097589	154.987008018833	1.62181184933285	L	[m]	2 ppcoa[m]  <=> coa[m] + 2m3ovcoa[m] 
ABTArm	Glutamate metabolism	18.1 or 18.2	837.416968817984	213.180772816741	3.92820120573379	L	[m]	akg[m] + 4abut[m]  <=> glu_L[m] + sucsal[m] 
ACCOAL	Propanoate metabolism	55902.1 or 55902.2	758.26565143824	487.593744882921	1.5551176761308	L	[c]	atp[c] + coa[c] + ppa[c]  -> adp[c] + pi[c] + ppcoa[c] 
ACS	Glycolysis/gluconeogenesis	65985.1 or 55902.2 or 55902.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + ac[c]  -> accoa[c] + amp[c] + ppi[c] 
ACS2	Propanoate metabolism	55902.1 or 65985.1 or 55902.2	389.018612521152	251.028971152656	1.54969607983846	L	[c]	atp[c] + coa[c] + ppa[c]  -> amp[c] + ppi[c] + ppcoa[c] 
ACYP	Glycolysis/gluconeogenesis	112611.1 or 98.1 or 97.2 or 97.1	758.26565143824	487.593744882922	1.55511767613079	L	[c]	h2o[c] + 13dpg[c]  -> h[c] + pi[c] + 3pg[c] 
APOCF	Biotin metabolism		389.01861252115	251.028971152656	1.54969607983845	L	[c]	apoC[c] + lys_L[c]  -> h2o[c] + h[c] + apoC_Lys[c] 
APOCFm	Biotin metabolism		389.018612521151	251.028971152655	1.54969607983845	L	[m]	apoC[m] + lys_L[m]  -> h2o[m] + h[m] + apoC_Lys[m] 
APOC_LYS_BTNP	Biotin metabolism		389.01861252115	251.028971152656	1.54969607983845	L	[c]	h2o[c] + apoC_Lys_btn[c]  -> apoC[c] + biocyt[c] 
APOC_LYS_BTNPm	Biotin metabolism		389.018612521151	251.028971152655	1.54969607983845	L	[m]	h2o[m] + apoC_Lys_btn[m]  -> apoC[m] + biocyt[m] 
BACCL	Biotin metabolism	3141.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	h[c] + atp[c] + btn[c]  -> ppi[c] + btamp[c] 
BACCLm	Biotin metabolism	3141.1	389.018612521151	251.028971152655	1.54969607983845	L	[m]	h[m] + atp[m] + btn[m]  -> ppi[m] + btamp[m] 
BTND1n	Biotin metabolism	686.1	389.01861252115	251.028971152656	1.54969607983845	L	[n]	biocyt[n] + h2o[n]  -> lys_L[n] + btn[n] 
BTNDm	Biotin metabolism	686.1	389.018612521151	251.028971152655	1.54969607983845	L	[m]	h2o[m] + biocyt[m]  -> lys_L[m] + btn[m] 
BTNPL	Biotin metabolism	3141.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	apoC_Lys[c] + btamp[c]  -> h[c] + amp[c] + apoC_Lys_btn[c] 
BTNPLm	Biotin metabolism	3141.1	389.018612521151	251.028971152655	1.54969607983845	L	[m]	apoC_Lys[m] + btamp[m]  -> h[m] + amp[m] + apoC_Lys_btn[m] 
ENO	Glycolysis/gluconeogenesis	2023.1 or 2027.1 or 2027.2 or 2026.1	871.469711390554	487.916325528082	1.78610484174176	L	[c]	2pg[c]  <=> h2o[c] + pep[c] 
G3PD2m	Glycolysis/gluconeogenesis	2820.1	583.546893884457	365.328321042046	1.59732180691596	L	intercompartmental	fad[m] + glyc3p[c]  -> fadh2[m] + dhap[c] 
GLNS	Glutamate metabolism	2752.1 or 51557.1	758.265651438235	487.59374488292	1.55511767613079	L	[c]	nh4[c] + atp[c] + glu_L[c]  -> h[c] + adp[c] + pi[c] + gln_L[c] 
GLUDC	Glutamate metabolism	2571.1 or 2572.1 or 2571.2	334.874546773024	210.15663524293	1.59345217145263	L	[c]	h[c] + glu_L[c]  -> co2[c] + 4abut[c] 
GLUNm	Glutamate metabolism	2744.1 or 27165.2 or 27165.1	778.26565143824	507.593744882921	1.53324515773486	L	[m]	h2o[m] + gln_L[m]  -> glu_L[m] + nh4[m] 
HEX1	Glycolysis/gluconeogenesis	3098.3 or 80201.1 or 2645.3 or 3098.4 or 3099.1 or 2645.2 or 3098.5 or 2645.1 or 3098.1 or 3101.1 or 3098.2	479.018612521151	261.028971152656	1.83511665546507	L	[c]	atp[c] + glc_D[c]  -> h[c] + adp[c] + g6p[c] 
HMGCOASim	Cholesterol metabolism	3158.1	849.09898477157	517.775465313029	1.63989806712497	L	[m]	h2o[m] + accoa[m] + aacoa[m]  -> h[m] + coa[m] + hmgcoa[m] 
HMGLm	Cholesterol metabolism	3155.1 or 54511.1	849.098984771573	517.775465313029	1.63989806712498	L	[m]	hmgcoa[m]  -> accoa[m] + acac[m] 
HMGLx	Cholesterol metabolism	3155.1	849.098984771574	517.775465313029	1.63989806712498	L	[x]	hmgcoa[x]  -> accoa[x] + acac[x] 
HMR_0188	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + ddca[c]  -> amp[c] + ppi[c] + ddcacoa[c] 
