rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	direction	localization	rxnFormula
C161CPT2	Fatty acid oxidation	1376.1	2000	418.333333333333	4.78087649402391	L	[m]	coa[m] + hdcecrn[m]  <=> crn[m] + hdcoa[m] 
DCSPTN1CPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	0	10	0	H	[c]	crn[c] + dcsptn1coa[c]  <=> coa[c] + dcsptn1crn[c] 
DCSPTN1CPT2	Fatty acid oxidation	1376.1	0	10	0	H	[m]	coa[m] + dcsptn1crn[m]  <=> crn[m] + dcsptn1coa[m] 
FAOXC122x	Fatty acid oxidation	1962.1 or 10455.1	0	10	0	H	[x]	3ddecdicoa[x]  -> 2ddecdicoa[x] 
FAOXC142C122x	Fatty acid oxidation	51.1 and 1962.1 and 3295.1 and 30.1	0	10	0	H	[x]	nad[x] + coa[x] + o2[x] + h2o[x] + tetdecdicoa[x]  -> h[x] + nadh[x] + accoa[x] + h2o2[x] + 3ddecdicoa[x] 
FAOXC163C142x	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	0	10	0	H	[x]	nad[x] + coa[x] + h2o[x] + 2hexdtricoa[x]  -> h[x] + nadh[x] + accoa[x] + tetdecdicoa[x] 
FAOXC163C164x	Fatty acid oxidation	51.1	0	10	0	H	[x]	o2[x] + 4hexdtricoa[x]  -> h2o2[x] + hexdectecoa[x] 
FAOXC163x	Fatty acid oxidation	1962.1 or 10455.1	0	10	0	H	[x]	3hexdtricoa[x]  -> 2hexdtricoa[x] 
FAOXC164C163x	Fatty acid oxidation	26063.1	0	10	0	H	[x]	h[x] + nadph[x] + hexdectecoa[x]  -> nadp[x] + 3hexdtricoa[x] 
FAOXC184C163m	Fatty acid oxidation	3030.1 and 3032.1	0	10	0	H	[m]	h2o[m] + nad[m] + coa[m] + 2octdectecoa[m]  -> h[m] + nadh[m] + accoa[m] + 4hexdtricoa[m] 
FAOXC184C163x	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	0	10	0	H	[x]	nad[x] + coa[x] + h2o[x] + 2octdectecoa[x]  -> h[x] + nadh[x] + accoa[x] + 4hexdtricoa[x] 
FAOXC184m	Fatty acid oxidation	1632.1	0	10	0	H	[m]	3octdectecoa[m]  -> 2octdectecoa[m] 
FAOXC184x	Fatty acid oxidation	1962.1 or 10455.1	0	10	0	H	[x]	3octdectecoa[x]  -> 2octdectecoa[x] 
FAOXC204C184m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	0	10	0	H	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + eitetcoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 3octdectecoa[m] 
FAOXC204C205x	Fatty acid oxidation	51.1	0	10	0	H	[x]	o2[x] + eitetcoa[x]  -> h2o2[x] + eipencoa[x] 
FAOXC205C184x	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	0	10	0	H	[x]	nad[x] + coa[x] + h2o[x] + eipencoa[x]  -> h[x] + nadh[x] + accoa[x] + 3octdectecoa[x] 
FAOXC2251836m	Fatty acid oxidation	34.1 or 35.1	0	10	0	H	[m]	2 h2o[m] + 2 nad[m] + 2 coa[m] + dcsptn1coa[m]  -> 2 h[m] + 2 nadh[m] + 2 accoa[m] + lnlncgcoa[m] 
FAOXC2252053m	Fatty acid oxidation	35.1 or 34.1	0	10	0	H	[m]	h2o[m] + o2[m] + nad[m] + coa[m] + dcsptn1coa[m]  -> h[m] + nadh[m] + accoa[m] + h2o2[m] + tmndnccoa[m] 
FAOXC225C204m	Fatty acid oxidation	3030.1 and 3032.1	0	10	0	H	[m]	h2o[m] + nad[m] + coa[m] + 2docopencoa[m]  -> h[m] + nadh[m] + accoa[m] + eitetcoa[m] 
FAOXC225C204x	Fatty acid oxidation	1962.1 and 3295.1 and 30.1	0	10	0	H	[x]	nad[x] + coa[x] + h2o[x] + 2docopencoa[x]  -> h[x] + nadh[x] + accoa[x] + eitetcoa[x] 
FAOXC225C226m	Fatty acid oxidation	37.1	0	10	0	H	[m]	fad[m] + dcsptn1coa[m]  -> fadh2[m] + docohexcoa[m] 
