rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	localization	rxnFormula
C161CPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	2000	324.851945854484	6.15665082362133	L	carnitine shuttle	[c]	crn[c] + hdcoa[c]  <=> coa[c] + hdcecrn[c] 
HMR_3428	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	40	10	4	L	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 4 fad[m] + tmndnccoa[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 4 fadh2[m] 
ACACT10m	Valine, leucine, and isoleucine metabolism	38.1 or 3032.1 or 10449.1	406.29058461463	20	20.3145292307315	L	isoleucine metabolism	[m]	coa[m] + 2maacoa[m]  <=> accoa[m] + ppcoa[m] 
FAOXC102C103m	Fatty acid oxidation	34.1	40	20	2	L	betaoxidation	[m]	fad[m] + dec47dicoa[m]  -> fadh2[m] + dectricoa[m] 
FAOXC102C81m	Fatty acid oxidation	1892.1 and 3033.1 and 10449.1	40	20	2	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2decdicoa[m]  -> h[m] + nadh[m] + accoa[m] + octe5coa[m] 
FAOXC102m	Fatty acid oxidation	1632.1	40	20	2	L	betaoxidation	[m]	3decdicoa[m]  -> 2decdicoa[m] 
FAOXC103C102m	Fatty acid oxidation	1666.1	40	20	2	L	betaoxidation	[m]	h[m] + nadph[m] + dectricoa[m]  -> nadp[m] + 3decdicoa[m] 
FAOXC123C102m	Fatty acid oxidation	1892.1 and 3033.1 and 10449.1	40	20	2	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2dodtricoa[m]  -> h[m] + nadh[m] + accoa[m] + dec47dicoa[m] 
FAOXC123m	Fatty acid oxidation	1632.1	40	20	2	L	betaoxidation	[m]	3dodtricoa[m]  -> 2dodtricoa[m] 
FAOXC143C123m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	40	20	2	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + 5tedtricoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 3dodtricoa[m] 
FAOXC61m	Fatty acid oxidation	1632.1	40	20	2	L	betaoxidation	[m]	hexe3coa[m]  -> hx2coa[m] 
FAOXC81C61m	Fatty acid oxidation	34.1 and 1892.1 and 3033.1 and 10449.1	40	20	2	L	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + octe5coa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + hexe3coa[m] 
FBA2	Fructose and mannose metabolism	226.2 or 226.1 or 226.3 or 229.1 or 230.1	319.345741680767	0	Inf	L	fructose metabolism, cytosol	[c]	f1p[c]  <=> dhap[c] + glyald[c] 
HACD9m	Valine, leucine, and isoleucine metabolism	3028.1 or 1962.1 or 3033.1	406.29058461463	20	20.3145292307315	L	isoleucine metabolism	[m]	nad[m] + 3hmbcoa[m]  <=> h[m] + nadh[m] + 2maacoa[m] 
HMR_0362	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	404.018612521152	10	40.4018612521152	L	NA	[c]	h2o[c] + tmndnccoa[c]  -> h[c] + coa[c] + tmndnc[c] 
HMR_6515	Methionine and cysteine metabolism	4357.1 or 7263.1	10	20	0.5	H	NA	[c]	so3[c] + mercppyr[c]  -> pyr[c] + tsul[c] 
KHK	Fructose and mannose metabolism	3795.1 or 3795.2	319.345741680767	0	Inf	L	fructose metabolism, cytosol	[c]	atp[c] + fru[c]  -> h[c] + adp[c] + f1p[c] 
TMNDNCCPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	419.01861252115	10	41.901861252115	L	carnitine shuttle	[c]	crn[c] + tmndnccoa[c]  <=> coa[c] + tmndnccrn[c] 
r0728	Fatty acid oxidation	3030.1 and 1962.1 and 1892.1	685.806671501088	1090.85002359658	0.628690155994088	H	betaoxidation	[m]	3hdcoa[m]  <=> h2o[m] + dc2coa[m] 
C180CPT1	Fatty acid oxidation	1375.4 or 1375.2 or 126129.1 or 1375.1 or 1374.1 or 1375.3	1018.9286559136	381.086012408348	2.67374981693577	L	carnitine shuttle	[c]	crn[c] + stcoa[c]  <=> coa[c] + stcrn[c] 
