	rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
1	ACCOAC	Fatty acid oxidation	31.5 or 31.4 or (31.2 and 32.1) or (31.4 and 32.1) or 31.2 or (32.1 and 31.3) or (31.1 and 32.1) or 31.1 or (31.5 and 32.1) or 31.3	419.303370786517	242.236559139785	1.73096650759704	L	fatty acid synthesis & elongation	[c]
6	HMR_2774	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	0	30.1110155398819	0	H	NA	[c]
9	HMR_3229	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	30	40	0.75	H	NA	[m]
10	HMR_3230	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	30	40	0.75	H	NA	[m]
11	HMR_3231	Fatty acid oxidation	3030.1 or 1892.1	30	40	0.75	H	NA	[m]
12	HMR_3232	Fatty acid oxidation	3028.1 or 3030.1 or 3033.1	30	40	0.75	H	NA	[m]
13	HMR_3233	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	30	40	0.75	H	NA	[m]
14	HMR_3425	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	0	30.1110155398819	0	H	NA	[m]
27	r1472	Fatty acid oxidation	33.1	30	40	0.75	H	betaoxidation	[m]
28	r1474	Fatty acid oxidation	3030.1 and 1962.1 and 1892.1	30	40	0.75	H	betaoxidation	[m]
29	r1477	Fatty acid oxidation	(3028.1 and 1962.1 and 3295.1) or (3033.1 and 1962.1 and 3295.1)	30	40	0.75	H	betaoxidation	[m]
32	ACACT4p	Fatty acid oxidation	30.1	42	25	1.68	L	betaoxidation	[x]
38	FAOXC101x	Fatty acid oxidation	1962.1 or 10455.1	42	21.4285714285714	1.96	L	betaoxidation	[x]
42	HMR_3322	Fatty acid oxidation	1666.1 or 26063.1	42	21.4285714285714	1.96	L	NA	[x]
45	RE1518X	Fatty acid oxidation	51.1 or 8310.1	42	21.4285714285714	1.96	L	betaoxidation	[x]
46	RE1520X	Fatty acid oxidation	1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]
47	RE1521X	Fatty acid oxidation	1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]
48	RE1522X	Fatty acid oxidation	1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]
49	RE1525X	Fatty acid oxidation	3295.1 or 1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]
50	RE1526X	Fatty acid oxidation	3295.1 or 1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]
51	RE1527X	Fatty acid oxidation	3295.1 or 1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]
52	RE1532X	Fatty acid oxidation	30.1	42	21.4285714285714	1.96	L	betaoxidation	[x]
53	RE1533X	Fatty acid oxidation	30.1	42	21.4285714285714	1.96	L	betaoxidation	[x]
54	RE1534X	Fatty acid oxidation	30.1	42	21.4285714285714	1.96	L	betaoxidation	[x]
55	RE1573X	Fatty acid oxidation	10455.1 or 1962.1	42	21.4285714285714	1.96	L	betaoxidation	[x]
58	r0444	Fatty acid oxidation	1374.1 and 1376.1	0	238.020833333334	0	H	carnitine shuttle	[r]
59	r0660	Fatty acid oxidation	3030.1 and 1962.1 and 1892.1	764.394573643411	337.269162210339	2.26642296210495	L	betaoxidation	[m]
60	r0727	Fatty acid oxidation	3030.1 and 1962.1 and 3033.1	42	25	1.68	L	betaoxidation	[x]
61	r0729	Fatty acid oxidation	3030.1 and 1962.1 and 1892.1	42	25	1.68	L	betaoxidation	[x]
62	r0791	Fatty acid oxidation	55825.1 or 51102.1 	20	39.382160171898	0.507844158692733	H	fatty acid synthesis & elongation	[m]
64	r1262	Fatty acid oxidation	2182.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	338.5	37.5	9.02666666666667	L	NA	[r]
65	r1487	Fatty acid oxidation	2182.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	0	238.020833333334	0	H	NA	[r]
77	FAOXC102C103m	Fatty acid oxidation	34.1	20	39.3821601718981	0.507844158692732	H	betaoxidation	[m]
78	FAOXC102C81m	Fatty acid oxidation	1892.1 and 3033.1 and 10449.1	20	39.3821601718981	0.507844158692732	H	betaoxidation	[m]
