	rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
12	ARGTYRVALr	Peptide metabolism		20	10	2	L	NA	[c]
14	ARGVALCYSr	Peptide metabolism		20	10	2	L	NA	[c]
16	ARGVALTRPr	Peptide metabolism		20	10	2	L	NA	[c]
18	ASPVALASNr	Peptide metabolism		20	10	2	L	NA	[c]
76	GLYVALHISr	Peptide metabolism		20	10	2	L	NA	[c]
79	HISLYSVALr	Peptide metabolism		20	10	2	L	NA	[c]
87	LEUVALr	Peptide metabolism		20	10	2	L	NA	[c]
90	LYSVALPHEr	Peptide metabolism		20	10	2	L	NA	[c]
92	LYSVALTRPr	Peptide metabolism		20	10	2	L	NA	[c]
100	PROCYSr	Peptide metabolism		20	40	0.5	H	NA	[c]
103	PROVALGLNr	Peptide metabolism		20	10	2	L	NA	[c]
109	SPODM	ROS detoxification	6647.1	0	0.0837520938023451	0	H	superoxide dismutase, cytosol	[c]
110	SPODMm	ROS detoxification	6648.1	0	0.0837520938023451	0	H	NA	[m]
111	SPODMn	ROS detoxification	6647.1	0	0.0837520938023451	0	H	NA	[n]
112	SPODMx	ROS detoxification	6647.1	0	0.0837520938023451	0	H	NA	[x]
115	TRPGLYVALr	Peptide metabolism		20	10	2	L	NA	[c]
117	TRPLEUVALr	Peptide metabolism		20	10	2	L	NA	[c]
119	TRPMETVALr	Peptide metabolism		20	10	2	L	NA	[c]
121	TRPPROVALr	Peptide metabolism		20	10	2	L	NA	[c]
123	TRPVALASPr	Peptide metabolism		20	10	2	L	NA	[c]
125	TYRVALMETr	Peptide metabolism		20	10	2	L	NA	[c]
127	VALARGGLYr	Peptide metabolism		20	10	2	L	NA	[c]
129	VALHISASNr	Peptide metabolism		20	10	2	L	NA	[c]
131	VALLEUPHEr	Peptide metabolism		20	10	2	L	NA	[c]
133	VALLYSTYRr	Peptide metabolism		20	10	2	L	NA	[c]
135	VALPHEARGr	Peptide metabolism		20	10	2	L	NA	[c]
137	VALPROTRPr	Peptide metabolism		20	10	2	L	NA	[c]
139	VALSERARGr	Peptide metabolism		20	10	2	L	NA	[c]
141	VALTRPPHEr	Peptide metabolism		20	10	2	L	NA	[c]
143	VALTRPVALr	Peptide metabolism		10	5	2	L	NA	[c]
145	VALVALr	Peptide metabolism		10	5	2	L	NA	[c]
