rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	localization	rxnFormula
ACNAMlt	Transport, lysosomal	26503.1	0	30.9245283018868	0	H	NA	intercompartmental	h[c] + acnam[c]  <=> h[l] + acnam[l] 
CYSTA	Methionine and cysteine metabolism	2805.1	20	40	0.5	H	NA	[c]	akg[c] + cys_L[c]  <=> glu_L[c] + mercppyr[c] 
GALASE16ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550137	0	H	NA	[l]	2 h2o[l] + ksii_core2_deg2[l]  -> 2 gal[l] + ksii_core2_deg3[l] 
GALASE17ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]	h2o[l] + ksii_core2_deg5[l]  -> gal[l] + ksii_core2_deg6[l] 
GALASE18ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]	h2o[l] + ksii_core2_deg8[l]  -> gal[l] + ksii_core2_deg9[l] 
GALASE19ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]	h2o[l] + f1a[l]  -> gal[l] + core6[l] 
GALASE20ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.7965582272513	0	H	NA	[l]	2 h2o[l] + ksii_core4_deg2[l]  -> 2 gal[l] + ksii_core4_deg3[l] 
GALSIDEtl	Transport, lysosomal		10	109.151815181518	0.0916155171892479	H	NA	intercompartmental	galside_hs[c]  <=> galside_hs[l] 
HMR_1317	Eicosanoid metabolism		1000	0	Inf	L	NA	[c]	h[c] + nadh[c] + CE1447[c]  <=> nad[c] + HC02180[c] 
KSII_CORE2tly	Transport, lysosomal		0	8.39629347550137	0	H	NA	intercompartmental	ksii_core2[e]  -> ksii_core2[l] 
KSII_CORE4tly	Transport, lysosomal		0	7.7965582272513	0	H	NA	intercompartmental	ksii_core4[e]  -> ksii_core4[l] 
MCLACCYSR	Methionine and cysteine metabolism		10	20	0.5	H	NA	[c]	nad[c] + cys_L[c] + mercplac[c]  -> h[c] + nadh[c] + mercplaccys[c] 
MCLOR	Methionine and cysteine metabolism	92483.1 or (3945.1 and 3939.1) or 55293.1 or 3948.2 or 3948.1 or 3945.1 or 160287.1 or 3939.1	10	20	0.5	H	NA	[c]	nad[c] + mercplac[c]  <=> h[c] + nadh[c] + mercppyr[c] 
NACHEX23ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	8.39629347550137	0	H	NA	[l]	h2o[l] + ksii_core2_deg4[l]  -> acgam[l] + ksii_core2_deg5[l] 
NACHEX24ly	Keratan sulfate degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	0	8.39629347550139	0	H	NA	[l]	h2o[l] + ksii_core2_deg7[l]  -> acgam[l] + ksii_core2_deg8[l] 
NACHEX25ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	8.39629347550139	0	H	NA	[l]	h2o[l] + ksii_core2_deg9[l]  -> acgam[l] + f1a[l] 
NACHEX26ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	7.7965582272513	0	H	chondroitin sulphate degradation, lysosome	[l]	2 h2o[l] + ksii_core4_deg4[l]  -> 2 acgam[l] + ksii_core2_deg5[l] 
NAGA2ly	Keratan sulfate degradation	4668.1	0	8.39629347550139	0	H	NA	[l]	h[l] + udp[l] + Tn_antigen[l]  -> Ser_Thr[l] + udpacgal[l] 
NAGLCAly	Keratan sulfate degradation		0	8.39629347550139	0	H	NA	[l]	h2o[l] + core6[l]  -> acgam[l] + Tn_antigen[l] 
RE3477C1	Eicosanoid metabolism		1000	0	Inf	L	NA	[c]	nad[c] + txb2[c]  -> h[c] + nadh[c] + CE1447[c] 
S6TASE22ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	8.39629347550135	0	H	NA	[l]	h2o[l] + ksii_core2_deg1[l]  <=> h[l] + so4[l] + ksii_core2_deg2[l] 
S6TASE23ly	Keratan sulfate degradation	2799.1	0	8.39629347550135	0	H	NA	[l]	h2o[l] + ksii_core2_deg3[l]  <=> h[l] + so4[l] + ksii_core2_deg4[l] 
S6TASE24ly	Keratan sulfate degradation	2799.1	0	8.39629347550135	0	H	NA	[l]	h2o[l] + ksii_core2_deg6[l]  <=> h[l] + so4[l] + ksii_core2_deg7[l] 
S6TASE25ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	7.79655822725135	0	H	chondroitin degradation, lysosome	[l]	h2o[l] + ksii_core4_deg1[l]  <=> h[l] + so4[l] + ksii_core4_deg2[l] 
S6TASE26ly	Keratan sulfate degradation	2799.1	0	7.79655822725135	0	H	chondroitin degradation, lysosome	[l]	h2o[l] + ksii_core4_deg3[l]  <=> h[l] + so4[l] + ksii_core4_deg4[l] 
SFCYSc	Methionine and cysteine metabolism		10	20	0.5	H	NA	[c]	h[c] + so3[c] + cys_L[c]  <=> slfcys[c] 
SIAASE3ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	8.39629347550137	0	H	NA	[l]	h2o[l] + ksii_core2[l]  -> acnam[l] + ksii_core2_deg1[l] 
SIAASE4ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	7.7965582272513	0	H	chondroitin degradation, lysosome	[l]	h2o[l] + ksii_core4[l]  -> acnam[l] + ksii_core4_deg1[l] 
TXB2c	Eicosanoid metabolism		1000	0	Inf	L	lipid metabolism	[c]	h2o[c] + txa2[c]  <=> txb2[c] 
UDPACGALtl	Transport, lysosomal		0	8.39629347550135	0	H	NA	intercompartmental	udpacgal[c]  <=> udpacgal[l] 
UDPtl	Transport, lysosomal		0	8.39629347550135	0	H	NA	intercompartmental	udp[c]  <=> udp[l] 
HMR_1332	Eicosanoid metabolism		20	28.3333333333334	0.705882352941176	H	NA	[c]	h2o[c] + C05957[c]  <=> prostgd2[c] 
HMR_6515	Methionine and cysteine metabolism	4357.1 or 7263.1	10	20	0.5	H	NA	[c]	so3[c] + mercppyr[c]  -> pyr[c] + tsul[c] 
RE1978C	Eicosanoid metabolism		10	37.5	0.266666666666667	H	NA	[c]	h2o[c] + C11695[c]  <=> arachd[c] + etha[c] 
RE3422C	Eicosanoid metabolism		20	28.3333333333333	0.705882352941178	H	NA	[c]	prostgd2[c]  <=> h2o[c] + CE5304[c] 
RE3556C	Eicosanoid metabolism		0	18.3333333333334	0	H	NA	[c]	HC02202[c]  <=> HC02206[c] 
RE3565C	Eicosanoid metabolism		0	18.3333333333334	0	H	NA	[c]	HC02206[c]  <=> HC02204[c] 
RE3568C	Eicosanoid metabolism		0	18.3333333333334	0	H	NA	[c]	prostge1[c]  <=> h2o[c] + HC02202[c] 
