rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	localization	rxnFormula
HMR_1329	Eicosanoid metabolism	8644.1	2000	28.3333333333334	70.5882352941176	L	NA	[c]	h[c] + nadph[c] + prostgd2[c]  <=> nadp[c] + prostgf2[c] 
HMR_7198	Transport, lysosomal		10	0	Inf	L	NA	intercompartmental	Ser_Gly_Ala_X_Gly[l]  <=> Ser_Gly_Ala_X_Gly[r] 
PGESr	Eicosanoid metabolism	80142.4 or 80142.2 or 9536.1 or 80142.1 or 9536.2 or 80142.3	1000	2000	0.5	H	prostaglandin synthesis, cytosol	[r]	prostgh2[r]  <=> prostge2[r] 
RE2799C	Eicosanoid metabolism		2000	1028.33333333333	1.94489465153971	L	prostaglandin synthesis, cytosol	[c]	nadp[c] + prostgf2[c]  <=> h[c] + nadph[c] + prostgh2[c] 
RE3597C	Eicosanoid metabolism	874.1 or 873.1	2000	10	200	L	NA	[c]	h[c] + nadph[c] + leuktrB4wcooh[c]  <=> nadp[c] + CE5947[c] 
ACNAMlt	Transport, lysosomal	26503.1	0	30.9245283018868	0	H	NA	intercompartmental	h[c] + acnam[c]  <=> h[l] + acnam[l] 
CMPACNAtg	Transport, golgi apparatus	10559.1	0	65.491089108911	0	H	NA	intercompartmental	cmp[g] + cmpacna[c]  <=> cmp[c] + cmpacna[g] 
CYSTA	Methionine and cysteine metabolism	2805.1	20	40	0.5	H	NA	[c]	akg[c] + cys_L[c]  <=> glu_L[c] + mercppyr[c] 
GALASE16ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550137	0	H	NA	[l]	2 h2o[l] + ksii_core2_deg2[l]  -> 2 gal[l] + ksii_core2_deg3[l] 
GALASE17ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]	h2o[l] + ksii_core2_deg5[l]  -> gal[l] + ksii_core2_deg6[l] 
GALASE18ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]	h2o[l] + ksii_core2_deg8[l]  -> gal[l] + ksii_core2_deg9[l] 
GALASE19ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]	h2o[l] + f1a[l]  -> gal[l] + core6[l] 
GALASE20ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.7965582272513	0	H	NA	[l]	2 h2o[l] + ksii_core4_deg2[l]  -> 2 gal[l] + ksii_core4_deg3[l] 
GALNTg	O-glycan metabolism	26290.1 or 79695.1 or 2589.1 or 50614.1 or 8693.1 or 55568.2 or 114805.1 or 11226.1 or 117248.1 or 11227.1 or 55568.1 or 2590.1 or 51809.1 or 26290.1 or 79623.1 or 63917.1 or 2591.1	0	8.39629347550139	0	H	amino sugar metabolism	[g]	udpacgal[g] + Ser_Thr[g]  -> h[g] + udp[g] + Tn_antigen[g] 
GALSIDEtl	Transport, lysosomal		10	109.151815181518	0.0916155171892479	H	NA	intercompartmental	galside_hs[c]  <=> galside_hs[l] 
HMR_1317	Eicosanoid metabolism		1000	0	Inf	L	NA	[c]	h[c] + nadh[c] + CE1447[c]  <=> nad[c] + HC02180[c] 
KSII_CORE2tly	Transport, lysosomal		0	8.39629347550137	0	H	NA	intercompartmental	ksii_core2[e]  -> ksii_core2[l] 
KSII_CORE4tly	Transport, lysosomal		0	7.7965582272513	0	H	NA	intercompartmental	ksii_core4[e]  -> ksii_core4[l] 
MCLACCYSR	Methionine and cysteine metabolism		10	20	0.5	H	NA	[c]	nad[c] + cys_L[c] + mercplac[c]  -> h[c] + nadh[c] + mercplaccys[c] 
MCLOR	Methionine and cysteine metabolism	92483.1 or (3945.1 and 3939.1) or 55293.1 or 3948.2 or 3948.1 or 3945.1 or 160287.1 or 3939.1	10	20	0.5	H	NA	[c]	nad[c] + mercplac[c]  <=> h[c] + nadh[c] + mercppyr[c] 
N3Tg	O-glycan metabolism	56913.1	0	8.39629347550137	0	H	NA	[g]	udpgal[g] + Tn_antigen[g]  -> h[g] + udp[g] + T_antigen[g] 
NACHEX23ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	8.39629347550137	0	H	NA	[l]	h2o[l] + ksii_core2_deg4[l]  -> acgam[l] + ksii_core2_deg5[l] 
NACHEX24ly	Keratan sulfate degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	0	8.39629347550139	0	H	NA	[l]	h2o[l] + ksii_core2_deg7[l]  -> acgam[l] + ksii_core2_deg8[l] 
