	rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
3	ACNAMlt	Transport, lysosomal	26503.1	0	30.9245283018868	0	H	NA	intercompartmental
12	CYSTA	Methionine and cysteine metabolism	2805.1	20	40	0.5	H	NA	[c]
29	GALASE16ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550137	0	H	NA	[l]
30	GALASE17ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]
31	GALASE18ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]
32	GALASE19ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	8.39629347550139	0	H	NA	[l]
33	GALASE20ly	Keratan sulfate degradation	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	7.7965582272513	0	H	NA	[l]
35	GALSIDEtl	Transport, lysosomal		10	109.151815181518	0.0916155171892479	H	NA	intercompartmental
38	HMR_1317	Eicosanoid metabolism		1000	0	Inf	L	NA	[c]
39	KSII_CORE2tly	Transport, lysosomal		0	8.39629347550137	0	H	NA	intercompartmental
40	KSII_CORE4tly	Transport, lysosomal		0	7.7965582272513	0	H	NA	intercompartmental
43	MCLACCYSR	Methionine and cysteine metabolism		10	20	0.5	H	NA	[c]
44	MCLOR	Methionine and cysteine metabolism	92483.1 or (3945.1 and 3939.1) or 55293.1 or 3948.2 or 3948.1 or 3945.1 or 160287.1 or 3939.1	10	20	0.5	H	NA	[c]
48	NACHEX23ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	8.39629347550137	0	H	NA	[l]
49	NACHEX24ly	Keratan sulfate degradation	3073.1 or 3074.1 or (3073.1 and 3074.1)	0	8.39629347550139	0	H	NA	[l]
50	NACHEX25ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	8.39629347550139	0	H	NA	[l]
51	NACHEX26ly	Keratan sulfate degradation	(3073.1 and 3074.1) or 3073.1 or 3074.1	0	7.7965582272513	0	H	chondroitin sulphate degradation, lysosome	[l]
52	NAGA2ly	Keratan sulfate degradation	4668.1	0	8.39629347550139	0	H	NA	[l]
53	NAGLCAly	Keratan sulfate degradation		0	8.39629347550139	0	H	NA	[l]
56	RE3477C1	Eicosanoid metabolism		1000	0	Inf	L	NA	[c]
57	S6TASE22ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	8.39629347550135	0	H	NA	[l]
58	S6TASE23ly	Keratan sulfate degradation	2799.1	0	8.39629347550135	0	H	NA	[l]
59	S6TASE24ly	Keratan sulfate degradation	2799.1	0	8.39629347550135	0	H	NA	[l]
60	S6TASE25ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	7.79655822725135	0	H	chondroitin degradation, lysosome	[l]
61	S6TASE26ly	Keratan sulfate degradation	2799.1	0	7.79655822725135	0	H	chondroitin degradation, lysosome	[l]
62	SFCYSc	Methionine and cysteine metabolism		10	20	0.5	H	NA	[c]
64	SIAASE3ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	8.39629347550137	0	H	NA	[l]
65	SIAASE4ly	Keratan sulfate degradation	5476.1 and 2720.1 and 2588.1 and 4758.1	0	7.7965582272513	0	H	chondroitin degradation, lysosome	[l]
67	TXB2c	Eicosanoid metabolism		1000	0	Inf	L	lipid metabolism	[c]
69	UDPACGALtl	Transport, lysosomal		0	8.39629347550135	0	H	NA	intercompartmental
71	UDPtl	Transport, lysosomal		0	8.39629347550135	0	H	NA	intercompartmental
109	HMR_1332	Eicosanoid metabolism		20	28.3333333333334	0.705882352941176	H	NA	[c]
130	HMR_6515	Methionine and cysteine metabolism	4357.1 or 7263.1	10	20	0.5	H	NA	[c]
135	RE1978C	Eicosanoid metabolism		10	37.5	0.266666666666667	H	NA	[c]
137	RE3422C	Eicosanoid metabolism		20	28.3333333333333	0.705882352941178	H	NA	[c]
138	RE3556C	Eicosanoid metabolism		0	18.3333333333334	0	H	NA	[c]
139	RE3565C	Eicosanoid metabolism		0	18.3333333333334	0	H	NA	[c]
140	RE3568C	Eicosanoid metabolism		0	18.3333333333334	0	H	NA	[c]
170	7DHFtl	Transport, lysosomal		166.666666666667	103.916666666667	1.60384923817161	L	NA	intercompartmental
171	ACGALtly	Transport, lysosomal		0	81.8638613861386	0	H	NA	intercompartmental
172	ADSL2	Purine synthesis	158.1 or 158.2	17.5	10	1.75	L	purine synthesis, cytosol	[c]
173	AIRCr	Purine synthesis	10606.1	17.5	10	1.75	L	purine synthesis, cytosol	[c]
180	DHFtl	Transport, lysosomal		166.666666666667	103.916666666667	1.60384923817161	L	NA	intercompartmental
198	GARFT	Purine synthesis	2618.1 or 2618.2	17.5	10	1.75	L	purine synthesis, cytosol	[c]
199	GD1Btl	Transport, lysosomal		0	81.8638613861388	0	H	NA	intercompartmental
204	GLUPRT	Purine synthesis	5471.1	17.5	10	1.75	L	purine synthesis, cytosol	[c]
206	GUAPRT	Nucleotide salvage pathway	3251.1	20	10	1.99999999999999	L	purine salvage	[c]
212	HMR_0831	Transport, lysosomal		0	30.9245283018868	0	H	NA	intercompartmental
226	HXPRT	Nucleotide salvage pathway	3251.1	20	9.99999999999993	2.00000000000001	L	purine salvage	[c]
235	PRAGSr	Purine synthesis	2618.1 or 2618.2	17.5	10	1.75	L	purine synthesis, cytosol	[c]
236	PRASCS	Purine synthesis	10606.1	17.5	10	1.75	L	purine synthesis, cytosol	[c]
237	PRFGS	Purine synthesis	5198.1	17.5	10	1.75	L	purine synthesis, cytosol	[c]
252	r0666	Purine synthesis	2618.1	17.5	10	1.75	L	purine synthesis, cytosol	[c]
