	rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
3	C12DCACT	Fatty acid oxidation		0	258.333333333333	0	H	fatty acid activation, cytosol	[c]
4	C30CPT1	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	2000	1000	2	L	carnitine shuttle	[c]
5	C40CPT1	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	2000	65.7352941176464	30.4250559284119	L	carnitine shuttle	[c]
9	CSNATp	Fatty acid oxidation	1384.2	2000	1000	2	L	NA	[x]
11	DCT	Tyrosine metabolism	1638.1	0	20	0	H	NA	[c]
12	DHPR	Tetrahydrobiopterin metabolism	5860.1	0	20	0	H	NA	[c]
14	DOPAQNISO1	Tyrosine metabolism		0	20	0	H	NA	[c]
22	FAOXC12DCTc	Fatty acid oxidation	788.1	0	258.333333333333	0	H	NA	intercompartmental
23	FAOXC12DCc	Fatty acid oxidation	1374.1 or 1375.1 or 126129.1	0	258.333333333333	0	H	carnitine shuttle	[c]
24	FAOXC12DCx	Fatty acid oxidation	54677.1	0	258.333333333333	0	H	carnitine shuttle	[x]
25	FAOXC164C143m	Fatty acid oxidation	3030.1 and 3032.1	40	10	4	L	betaoxidation	[m]
26	FAOXC164C165m	Fatty acid oxidation	37.1	40	10	4	L	betaoxidation	[m]
27	FAOXC164m	Fatty acid oxidation	1632.1	40	10	4	L	betaoxidation	[m]
28	FAOXC165C164m	Fatty acid oxidation	1666.1	40	10	4	L	betaoxidation	[m]
29	FAOXC184C164m	Fatty acid oxidation	37.1 and 3030.1 and 3032.1	40	10	4	L	betaoxidation	[m]
31	GGTe_1	Tyrosine metabolism	2687.1	0	20	0	H	NA	[e]
33	HMR_1316	Transport, endoplasmic reticular		1020	0	Inf	L	NA	intercompartmental
38	HMR_9719	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	40	10	4	L	NA	[m]
40	LNLNCGCPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	2000	280.142506142506	7.13922363135645	L	carnitine shuttle	[c]
41	OCDEAFABP1tc	Transport, endoplasmic reticular	2168.1	1140.92592592593	1629.16666666667	0.700312588803638	H	NA	intercompartmental
46	RE1916C	Tyrosine metabolism		0	20	0	H	NA	[c]
47	RE3198C	Tyrosine metabolism		0	40	0	H	NA	[c]
48	TXA2tr	Transport, endoplasmic reticular		1000	0	Inf	L	NA	intercompartmental
49	TYRASE	Tyrosine metabolism	7306.1	0	20	0	H	NA	[c]
51	r0398	Tetrahydrobiopterin metabolism	5860.1	0	20	0	H	NA	[c]
52	r0636	Fatty acid oxidation	54677.1	1045	130.118174409128	8.03116094077856	L	carnitine shuttle	[m]
54	r1401	Fatty acid oxidation		2000	1000	2	L	carnitine shuttle	intercompartmental
58	r2511	Transport, endoplasmic reticular		1000	1259.79674796748	0.793778839017779	H	NA	intercompartmental
59	r2537	Transport, endoplasmic reticular		2000	40	50	L	NA	intercompartmental
61	C160CPT2	Fatty acid oxidation	1376.1 or 1374.1	80	171.666666666667	0.466019417475728	H	carnitine shuttle	[m]
63	FAOXC18480m	Fatty acid oxidation	34.1 or 35.1	40	62.5	0.64	H	betaoxidation	[m]
65	HMR_6617	Transport, nuclear		2000	163.727722772277	12.2154022918998	L	NA	intercompartmental
66	HMR_6619	Transport, nuclear		2000	163.727722772277	12.2154022918998	L	NA	intercompartmental
69	PHETA1	Phenylalanine metabolism	2805.1	1020	373.5	2.73092369477912	L	phenylalanine metabolism	[c]
70	PHETA1m	Phenylalanine metabolism	6898.1 or 2806.1	1000	361.148809523809	2.76894170388806	L	phenylalanine metabolism	[m]
74	UTPtn	Transport, nuclear		2000	163.727722772277	12.2154022918997	L	NA	intercompartmental
75	r1459	Transport, nuclear		1309.12280701754	163.727722772277	7.99573086861016	L	NA	intercompartmental
76	r2508	Transport, endoplasmic reticular		1010	2000	0.505	H	NA	intercompartmental
