rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	PerturbationClass	Flux	MetabolicUnits	localization	rxnFormula
ADRNCRNt	Fatty acid oxidation	788.1 or 788.1	2000	1000	2	Cascade	L	carnitine shuttle	intercompartmental	adrncrn[c]  <=> adrncrn[m] 
C161CRN2t	Fatty acid oxidation	788.1	2000	1093.33333333333	1.82926829268293	Cascade	L	carnitine shuttle	intercompartmental	hdd2crn[c]  <=> hdd2crn[m] 
C204CRNt	Fatty acid oxidation	788.1	2000	1010	1.98019801980198	Cascade	L	carnitine shuttle	intercompartmental	arachdcrn[c]  <=> arachdcrn[m] 
C226CRNt	Fatty acid oxidation		2000	1010	1.98019801980198	Cascade	L	carnitine shuttle	intercompartmental	c226crn[c]  <=> c226crn[m] 
CLPNDCRNt	Fatty acid oxidation	788.1	2000	1040	1.92307692307692	Cascade	L	carnitine shuttle	intercompartmental	clpndcrn[c]  <=> clpndcrn[m] 
DCSPTN1CRNt	Fatty acid oxidation	788.1	2000	1000	2	Cascade	L	carnitine shuttle	intercompartmental	dcsptn1crn[c]  <=> dcsptn1crn[m] 
DLNLCGCRNt	Fatty acid oxidation	788.1	2000	1000	2	Cascade	L	carnitine shuttle	intercompartmental	dlnlcgcrn[c]  <=> dlnlcgcrn[m] 
EICOSTETCRNt	Fatty acid oxidation	788.1	2000	1010	1.98019801980198	Cascade	L	carnitine shuttle	intercompartmental	eicostetcrn[c]  <=> eicostetcrn[m] 
FAS140COA	Fatty acid synthesis	(2194.1) or (2194.1 and 79071.1) and (60481.1) and (54898.1) 	758.26565143824	379.13282571912	2	Cascade	L	fatty acid synthesis & elongation	[c]	3 h[c] + 2 nadph[c] + malcoa[c] + ddcacoa[c]  -> h2o[c] + 2 nadp[c] + co2[c] + coa[c] + tdcoa[c] 
HMR_2263	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	435.381762029143	217.690881014572	2	Cascade	L	NA	[c]	h[c] + malcoa[c] + M02612[c]  -> co2[c] + coa[c] + M00873[c] 
HMR_2264	Fatty acid synthesis	51144.1	435.381762029143	217.690881014572	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M00873[c]  -> nadp[c] + M00778[c] 
HMR_2265	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	435.381762029143	217.690881014572	2	Cascade	L	NA	[c]	M00778[c]  -> h2o[c] + M00044[c] 
HMR_2266	Fatty acid synthesis	9524.1 or 253017.1	435.381762029143	217.690881014572	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M00044[c]  -> nadp[c] + M02052[c] 
HMR_2342	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	435.381762029144	237.690881014571	1.83171420027028	Cascade	L	NA	[c]	h[c] + malcoa[c] + vacccoa[c]  -> co2[c] + coa[c] + M00843[c] 
HMR_2343	Fatty acid synthesis	51144.1	435.381762029144	237.690881014571	1.83171420027028	Cascade	L	NA	[c]	h[c] + nadph[c] + M00843[c]  -> nadp[c] + M00702[c] 
HMR_2344	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	435.381762029144	237.690881014571	1.83171420027028	Cascade	L	NA	[c]	M00702[c]  -> h2o[c] + M03014[c] 
HMR_2345	Fatty acid synthesis	9524.1 or 253017.1	435.381762029144	237.690881014571	1.83171420027028	Cascade	L	NA	[c]	h[c] + nadph[c] + M03014[c]  -> nadp[c] + M00018[c] 
HMR_2353	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	20	10	2	Cascade	L	NA	[c]	h[c] + malcoa[c] + M01236[c]  -> co2[c] + coa[c] + M00839[c] 
HMR_2354	Fatty acid synthesis	51144.1	20	10	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M00839[c]  -> nadp[c] + M00699[c] 
HMR_2355	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	20	10	2	Cascade	L	NA	[c]	M00699[c]  -> h2o[c] + M03011[c] 
HMR_2356	Fatty acid synthesis	9524.1 or 253017.1	20	10	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M03011[c]  -> nadp[c] + M00006[c] 
HMR_2365	Fatty acid synthesis	9415.1 or 3992.1 or 3995.1	17.5	8.75	2	Cascade	L	NA	[c]	o2[c] + h[c] + nadph[c] + M00123[c]  -> 2 h2o[c] + nadp[c] + M00101[c] 
HMR_2540	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	10	5	2	Cascade	L	NA	[c]	h[c] + malcoa[c] + M00012[c]  -> co2[c] + coa[c] + M00862[c] 
HMR_2541	Fatty acid synthesis	51144.1	10	5	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M00862[c]  -> nadp[c] + M00712[c] 
HMR_2542	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	10	5	2	Cascade	L	NA	[c]	M00712[c]  -> h2o[c] + M03006[c] 
HMR_2543	Fatty acid synthesis	9524.1 or 253017.1	10	5	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M03006[c]  -> nadp[c] + M00343[c] 
HMR_2602	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	758.26565143824	379.13282571912	2	Cascade	L	NA	[c]	coa[c] + M01729[c]  <=> crn[c] + ddcacoa[c] 
HMR_2603	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	758.26565143824	379.13282571912	2	DirectMapping	L	NA	intercompartmental	crn[c] + M01729[m]  <=> crn[m] + M01729[c] 
HMR_2604	Transport, mitochondrial	1384.1 or 1376.1	758.26565143824	379.13282571912	2	Cascade	L	NA	[m]	coa[m] + M01729[m]  <=> crn[m] + ddcacoa[m] 
HMR_2608	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	2000	1000	2	Cascade	L	NA	[c]	coa[c] + M02973[c]  <=> crn[c] + tdcoa[c] 
HMR_2609	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + M02973[m]  <=> crn[m] + M02973[c] 
HMR_2610	Transport, mitochondrial	1384.1 or 1376.1	2000	1000	2	Cascade	L	NA	[m]	coa[m] + M02973[m]  <=> crn[m] + tdcoa[m] 
HMR_2612	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + ttdcrn[m]  <=> crn[m] + ttdcrn[c] 
HMR_2620	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	95	47.5	2	Cascade	L	NA	[c]	crn[c] + M01141[c]  <=> coa[c] + M02976[c] 
HMR_2621	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	95	47.5	2	DirectMapping	L	NA	intercompartmental	crn[c] + M02976[m]  <=> crn[m] + M02976[c] 
HMR_2622	Transport, mitochondrial	1384.1 or 1376.1	95	47.5	2	Cascade	L	NA	[m]	crn[m] + M01141[m]  <=> coa[m] + M02976[m] 
HMR_2624	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + ptdcacrn[m]  <=> crn[m] + ptdcacrn[c] 
HMR_2634	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + hdd2crn[m]  <=> crn[m] + hdd2crn[c] 
