rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	direction	localization
ADEt	Transport, extracellular	3177.1	153.333333333333	76.6666666666666	2	L	intercompartmental
ADNt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	L	intercompartmental
CYTDt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	L	intercompartmental
CYTDt2r	Transport, extracellular	64078.1	2000	1020	1.96078431372549	L	intercompartmental
DADNt4	Transport, extracellular	3177.1	80	40	2	L	intercompartmental
DCK1m	Nucleotide interconversion		2000	1000	2	L	[m]
DCMPtm	Transport, mitochondrial		2000	1000	2	L	intercompartmental
DCTPtn	Transport, nuclear		2000	1000	2	L	intercompartmental
DCYTt	Transport, extracellular	3177.1	1000	500	2	L	intercompartmental
DGSNt	Transport, extracellular	3177.1	79.9999999999999	39.9999999999999	2	L	intercompartmental
DINt	Transport, extracellular	3177.1	80	40	2	L	intercompartmental
DURIt	Transport, extracellular	3177.1	20	10	2	L	intercompartmental
EX_dad_2[e]	Exchange/demand reaction		79.9999999999998	40	1.99999999999999	L	[e]
EX_dgsn[e]	Exchange/demand reaction		79.9999999999996	39.9999999999999	1.99999999999999	L	[e]
EX_din[e]	Exchange/demand reaction		80	40	2	L	[e]
EX_duri[e]	Exchange/demand reaction		20	10	2	L	[e]
EX_gua[e]	Exchange/demand reaction		80	40	2	L	[e]
EX_hxan[e]	Exchange/demand reaction		80	39.9999999999999	2	L	[e]
EX_ura[e]	Exchange/demand reaction		20	10	2	L	[e]
GSNt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	L	intercompartmental
GSNt2r	Transport, extracellular	64078.1	2000	1080	1.85185185185185	L	intercompartmental
GUAt	Transport, extracellular	3177.1	80	40	2	L	intercompartmental
HMR_6364	Transport, extracellular	64078.1	1000	500	2	L	intercompartmental
HMR_8475	Transport, mitochondrial	2030.1 or 3177.1	2000	1000	2	L	intercompartmental
HMR_8476	Transport, nuclear	2030.1 or 3177.1	2000	1000	2	L	intercompartmental
HYXNt	Transport, extracellular	3177.1	79.9999999999999	39.9999999999999	2	L	intercompartmental
INSt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	L	intercompartmental
PUNP6	Purine catabolism	4860.1	80	40	2	L	[c]
THMDt2r	Transport, extracellular	64078.1	1000	500	2	L	intercompartmental
THYMDt1	Transport, extracellular	3177.1 or 2030.1	1000	500	2	L	intercompartmental
URAt	Transport, extracellular	3177.1	20	10	2	L	intercompartmental
URIt	Transport, extracellular	3177.1 or 2030.1	2000	1000	2	L	intercompartmental
URIt2r	Transport, extracellular	64078.1	2000	1093.33333333333	1.82926829268293	L	intercompartmental
