name	FSR_iPS_BD_NR_T_Akkouh	FSR_iPS_BD_NR_T_GSE132397	FSR_iPS_BD_NR_T_GSE66276	FSR_iPS_BD_NR_TP_Akkouh	FSR_iPS_BD_NR_TP_GSE132397	FSR_iPS_BD_NR_TP_GSE66276	FSR_iPS_BD_R_T_Akkouh	FSR_iPS_BD_R_T_GSE132397	FSR_iPS_BD_R_T_GSE66276	FSR_iPS_BD_R_TP_Akkouh	FSR_iPS_BD_R_TP_GSE132397	FSR_iPS_BD_R_TP_GSE66276	FSR_iPS_BD_T_Akkouh	FSR_iPS_BD_T_GSE132397	FSR_iPS_BD_T_GSE66276	FSR_iPS_BD_TP_Akkouh	FSR_iPS_BD_TP_GSE132397	FSR_iPS_BD_TP_GSE66276	FSR_iPS_Ctrl_T_Akkouh	FSR_iPS_Ctrl_T_GSE132397	FSR_iPS_Ctrl_T_GSE66276	FSR_iPS_Ctrl_TP_Akkouh	FSR_iPS_Ctrl_TP_GSE132397	FSR_iPS_Ctrl_TP_GSE66276	FSR_Primary_T_Akkouh	FSR_Primary_T_GSE132397	FSR_Primary_T_GSE66276	FSR_Primary_TP_Akkouh	FSR_Primary_TP_GSE132397	FSR_Primary_TP_GSE66276	RxnInput_iPS_BD_NR_T_Akkouh	RxnInput_iPS_BD_NR_T_GSE132397	RxnInput_iPS_BD_NR_T_GSE66276	RxnInput_iPS_BD_NR_TP_Akkouh	RxnInput_iPS_BD_NR_TP_GSE132397	RxnInput_iPS_BD_NR_TP_GSE66276	RxnInput_iPS_BD_R_T_Akkouh	RxnInput_iPS_BD_R_T_GSE132397	RxnInput_iPS_BD_R_T_GSE66276	RxnInput_iPS_BD_R_TP_Akkouh	RxnInput_iPS_BD_R_TP_GSE132397	RxnInput_iPS_BD_R_TP_GSE66276	RxnInput_iPS_BD_T_Akkouh	RxnInput_iPS_BD_T_GSE132397	RxnInput_iPS_BD_T_GSE66276	RxnInput_iPS_BD_TP_Akkouh	RxnInput_iPS_BD_TP_GSE132397	RxnInput_iPS_BD_TP_GSE66276	RxnInput_iPS_Ctrl_T_Akkouh	RxnInput_iPS_Ctrl_T_GSE132397	RxnInput_iPS_Ctrl_T_GSE66276	RxnInput_iPS_Ctrl_TP_Akkouh	RxnInput_iPS_Ctrl_TP_GSE132397	RxnInput_iPS_Ctrl_TP_GSE66276	RxnInput_Primary_T_Akkouh	RxnInput_Primary_T_GSE132397	RxnInput_Primary_T_GSE66276	RxnInput_Primary_TP_Akkouh	RxnInput_Primary_TP_GSE132397	RxnInput_Primary_TP_GSE66276
12DHCHOLabc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
12DHCHOLt	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12PPDRte	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13DAMPPOX	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13DAMPPte	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15KPROSTGF2c	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15KPROSTGF2t	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17AHPRGNLONEte	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2DR1PP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2HATVACIDhc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
