	X	rxnList	subSystem	GPR	FluxSpan_a	FluxSpan_b	Flux_Span_Ratio	Var7	Var8
7	10	HMR_3234	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	85	45	1.88888888888889	L	[m]
11	14	HMR_3428	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	40	10	4	L	[m]
14	24	FAOXC102C103m	Fatty acid oxidation	34.1	40	20	2	L	[m]
35	77	FAOXC140	Fatty acid oxidation	35.1 or 34.1	85.2956870057668	53.0107355318084	1.60902666507214	L	[m]
36	78	FAOXC18480m	Fatty acid oxidation	34.1 or 35.1	40	20	2	L	[m]
39	87	HMR_3115	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	583.546893884457	30	19.4515631294819	L	[m]
40	88	HMR_3398	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	91.0546822609702	55.5720600255755	1.63849751510138	L	[m]
53	107	r0633	Fatty acid oxidation	55825.1 or 51102.1 	706.179763113367	461.01269035533	1.53180113668687	L	[m]
74	165	HMR_3429	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	40	10	4	L	[m]
75	166	HMR_9719	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	40	20	2	L	[m]
91	201	r0638	Fatty acid oxidation	55825.1 or 51102.1 	645.806671501088	1089.27834179357	0.592875711122396	H	[m]
