Var1	Var2
10FTHF7GLUtl	Transport, lysosomal
10FTHF7GLUtm	Transport, mitochondrial
10FTHFtl	Transport, lysosomal
10FTHFtm	Transport, mitochondrial
13DAMPPOX	Beta-Alanine metabolism
2HBO	Propanoate metabolism
2HBt2	Transport, extracellular
2HCO3_NAt	Transport, extracellular
2OXOADOXm	Lysine metabolism
2OXOADPTm	Tryptophan metabolism
34DHOXPEGOX	Tyrosine metabolism
34DHOXPEGt	Transport, extracellular
34DHPHAMT	Tyrosine metabolism
34DHPHEt	Transport, extracellular
34DHPLACOX_NADP_	Tyrosine metabolism
34DHXMANDACOX_NADP_	Tyrosine metabolism
34HPLFM	Ubiquinone synthesis
35CGMPtn	Transport, nuclear
3AIBTm	Valine, leucine, and isoleucine metabolism
3AIBtmi	Transport, mitochondrial
3DSPHR	Sphingolipid metabolism
3HBCDm	Butanoate metabolism
3HBCOAHLm	Valine, leucine, and isoleucine metabolism
3M4HDXPAC	Tyrosine metabolism
3MLDAt	Transport, extracellular
3MOBt2im	Transport, mitochondrial
3MOX4HOXPGALDOX	Tyrosine metabolism
3MOX4HOXPGALDOX_NADP_	Tyrosine metabolism
3MOXTYROX	Tyrosine metabolism
3SALAASPm	Transport, mitochondrial
3SALATAi	Methionine and cysteine metabolism
3SALATAim	Methionine and cysteine metabolism
3SPYRSP	Methionine and cysteine metabolism
3SPYRSPm	Methionine and cysteine metabolism
41R1H2MAE12BOOX	Tyrosine metabolism
41R2A1H12BOOX	Tyrosine metabolism
42A12BOOX	Tyrosine metabolism
4ABUTtm	Transport, mitochondrial
4HGLSDm	Arginine and proline metabolism
4HOXPACDOX_NADP_	Tyrosine metabolism
5ADTSTSTERONESte	Transport, extracellular
5ADTSTSTERONEte	Transport, extracellular
5AOPtm	Heme synthesis
5HOXINOXDA	Tryptophan metabolism
5MTHFt	Transport, extracellular
5MTHFt2	Transport, extracellular
6THFtm	Transport, mitochondrial
7DHCHSTEROLtr	Transport, endoplasmic reticular
7DHFtl	Transport, lysosomal
7THFtl	Transport, lysosomal
A_MANASEly	N-glycan degradation
A4GALTg	Sphingolipid metabolism
AATAi	Lysine metabolism
ABO9g	Blood group synthesis
ABTArm	Glutamate metabolism
ABTD	Pentose phosphate pathway
ABUTt2rL	Transport, lysosomal
ABUTt4_2_r	Transport, extracellular
ACACT10m	Valine, leucine, and isoleucine metabolism
ACACT1rm	Tryptophan metabolism
ACACT1x	Cholesterol metabolism
ACACt2m	Transport, mitochondrial
ACACT4p	Fatty acid oxidation
ACACT5p	Fatty acid oxidation
ACACT6p	Fatty acid oxidation
ACACT7p	Fatty acid oxidation
ACACT8p	Fatty acid oxidation
ACACT9p	Fatty acid oxidation
ACACtx	Transport, peroxisomal
ACALDtm	Transport, mitochondrial
ACCOACm	Fatty acid oxidation
ACCOAtn	Transport, nuclear
ACETONEt2	Transport, extracellular
ACETONEt2m	Transport, mitochondrial
ACGALK	Aminosugar metabolism
ACGALtly	Transport, lysosomal
ACGAM6PSi	Aminosugar metabolism
ACGAMPM	Aminosugar metabolism
ACGAMtly	Transport, lysosomal
ACGPID	Phosphatidylinositol phosphate metabolism
ACHtn	Transport, nuclear
ACITL	Citric acid cycle
ACNACNGAL14ACGLCGALGLUSIDEte	Transport, extracellular
ACNACNGAL14ACGLCGALGLUSIDEtg	Transport, golgi apparatus
ACNACNGALGBSIDEte	Transport, extracellular
ACNACNGALGBSIDEtg	Transport, golgi apparatus
ACNAMlt	Transport, lysosomal
ACNAMtn	Transport, nuclear
ACNGALACGLCGAL14ACGLCGALGLUSIDEte	Transport, extracellular
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg	Transport, golgi apparatus
ACNMLr	Aminosugar metabolism
ACOAD10m	Valine, leucine, and isoleucine metabolism
ACOAD1fm	Butanoate metabolism
ACOAD8m	Valine, leucine, and isoleucine metabolism
ACOAD9m	Valine, leucine, and isoleucine metabolism
ACOAO7p	Fatty acid oxidation
ACONTm	Citric acid cycle
ACP1_FMN_	Vitamin B2 metabolism
ACS2	Propanoate metabolism
ACt2m	Transport, mitochondrial
ACt2r	Transport, extracellular
ACtg	Transport, golgi apparatus
ADCim	Propanoate metabolism
ADEt	Transport, extracellular
ADK1m	Nucleotide interconversion
ADK3	Nucleotide interconversion
ADK3m	Nucleotide interconversion
ADKd	Nucleotide interconversion
ADNCYC	Nucleotide interconversion
ADNt	Transport, extracellular
ADNtl	Transport, lysosomal
ADNtm	Transport, mitochondrial
ADPtx	Transport, peroxisomal
ADRNCOAtx	Transport, peroxisomal
ADRNCPT1	Fatty acid oxidation
ADRNCPT2	Fatty acid oxidation
ADRNCRNt	Fatty acid oxidation
ADRNt	Transport, extracellular
ADSK	Nucleotide interconversion
ADSL1	Nucleotide interconversion
ADSL2	Purine synthesis
AG13T16g	Keratan sulfate synthesis
AG13T17g	Keratan sulfate synthesis
AG13T18g	Keratan sulfate synthesis
AG13T1g	Keratan sulfate synthesis
AG13T2g	Keratan sulfate synthesis
AG13T3g	Keratan sulfate synthesis
