name	Rxns_iPS_BD_NR_T	Rxns_iPS_BD_NR_TP	Rxns_iPS_BD_R_T	Rxns_iPS_BD_R_TP	Rxns_iPS_BD_T	Rxns_iPS_BD_TP	Rxns_iPS_Ctrl_T	Rxns_iPS_Ctrl_TP	Rxns_Primary_T	Rxns_Primary_TP
10FTHF7GLUtl	1	1	1	1	1	1	1	1	1	1
10FTHF7GLUtm	1	0	1	0	1	0	1	1	1	1
10FTHFtl	1	1	1	1	1	1	1	1	1	1
10FTHFtm	1	1	1	1	1	1	1	1	1	1
11DOCRTSLte	1	1	1	1	1	1	1	1	1	1
12DHCHOLt	1	1	1	1	1	1	1	1	1	1
12PPDRte	1	1	1	1	1	1	1	1	1	1
13_CIS_RETNte	1	1	1	1	1	1	1	1	1	1
13DAMPPOX	1	1	1	1	1	1	1	1	1	1
13DAMPPte	1	1	1	1	1	1	1	1	1	1
17AHPRGSTRNte	1	1	1	1	1	1	1	1	1	1
1A25DHVITD3te	1	1	1	1	1	1	1	1	1	1
1a25DHVITD3TRn	1	1	1	1	1	1	1	1	1	1
2H3MVc	1	1	1	1	1	1	1	1	1	1
2H3MVte	1	1	1	1	1	1	1	1	1	1
2HATVACIDtep	1	1	1	1	1	1	1	1	1	1
2HATVACIDthc	1	1	1	1	1	1	1	1	1	1
2HATVLACtep	1	1	1	1	0	1	0	1	1	1
2HATVLACthc	1	1	1	1	1	1	1	1	1	1
2HBO	1	1	1	1	1	1	1	1	1	1
2HBt2	1	1	1	1	1	1	1	1	1	1
2HCO3_NAt	1	1	1	1	1	1	1	1	1	1
2HIVc	1	1	1	1	1	1	1	1	1	1
2HIVte	1	1	1	1	1	1	1	1	1	1
2M3HBUc	0	0	0	0	0	0	0	1	0	1
2M3HBUte	0	0	0	0	0	0	0	1	0	1
2M3HBUtm	0	0	0	0	0	0	0	1	0	1
2M3HVACc	1	1	1	1	1	1	1	1	1	1
2M3HVACte	1	1	1	1	1	1	1	1	1	1
2M3OVACm	1	1	1	1	1	1	1	1	1	1
2M3OVACtm	1	1	1	1	1	1	1	1	1	1
2M3OVCOAm	1	1	1	1	1	1	1	1	1	1
2MB2COAc	1	1	1	1	1	1	1	1	1	1
2MOPtm	1	1	1	1	1	1	1	1	1	1
2OBUTt	1	1	1	1	1	1	1	1	1	1
