6DHFtl	Transport, lysosomal
6DHFtm	Transport, mitochondrial
AASAD3m	Lysine metabolism
ADPMAN	Nucleotide interconversion
AMACR2p	Bile acid synthesis
B3GALTg	Blood group synthesis
BAAT1x	Bile acid synthesis
CDPDAGtm	Transport, mitochondrial
DESAT22_1p	Fatty acid synthesis
DHCRD1	Sphingolipid metabolism
DHEAtr	Transport, endoplasmic reticular
DIGALSGALSIDEtg	Transport, golgi apparatus
DM_ethamp_r_	Exchange/demand reaction
DM_sprm_c_	Exchange/demand reaction
DNDPt11m	Transport, mitochondrial
DNDPt13m	Transport, mitochondrial
DNDPt4m	Transport, mitochondrial
EX_cspg_c[e]	Exchange/demand reaction
EX_dheas[e]	Exchange/demand reaction
EX_digalsgalside_hs[e]	Exchange/demand reaction
EX_estrones[e]	Exchange/demand reaction
EX_fuc14galacglcgalgluside_hs[e]	Exchange/demand reaction
EX_thmtp[e]	Exchange/demand reaction
EX_ump[e]	Exchange/demand reaction
FACOAL203	Fatty acid oxidation
FUC14GALACGLCGALGLUSIDEte	Transport, extracellular
FUC14GALACGLCGALGLUSIDEtg	Transport, golgi apparatus
FUCACNGAL14ACGLCGALGLUSIDEtg	Transport, golgi apparatus
FUT12g	Blood group synthesis
FUT92g	Blood group synthesis
GAL3ST12	Sphingolipid metabolism
GCHOLAtx	Transport, peroxisomal
HSD17B2r	Steroid metabolism
Kt3g	Transport, golgi apparatus
KYNAKGAT	Tryptophan metabolism
KYNATESYN	Tryptophan metabolism
LRAT	Vitamin A metabolism
NADHtru	Transport, endoplasmic reticular
NADtru	Transport, endoplasmic reticular
NORANMT	Tyrosine metabolism
P4503A43r	Steroid metabolism
PI345P5Pn	Inositol phosphate metabolism
RDH2a	Vitamin A metabolism
RDH3a	Vitamin A metabolism
SERCYSNaEx	Transport, extracellular
SMPD4	Sphingolipid metabolism
STS1	Steroid metabolism
STS2r	Steroid metabolism
T4HCINNMFM	Ubiquinone synthesis
THMTPt	Transport, extracellular
TRIOK	Fructose and mannose metabolism
TSTSTERONEtr	Transport, endoplasmic reticular
VALt4	Transport, extracellular
r0122	Glycolysis/gluconeogenesis
r0603	Valine, leucine, and isoleucine metabolism
r0698	Bile acid synthesis
r1728	Transport, extracellular
r1731	Transport, extracellular
r1758	Transport, extracellular
r1773	Transport, extracellular
r1803	Transport, extracellular
r1835	Transport, extracellular
r1924	Transport, extracellular
r1929	Transport, extracellular
r1940	Transport, extracellular
r1942	Transport, extracellular
r1943	Transport, extracellular
r1944	Transport, extracellular
r1957	Transport, extracellular
r2047	Transport, extracellular
r2136	Transport, extracellular
r2213	Transport, extracellular
r2224	Transport, extracellular
r2226	Transport, extracellular
r2227	Transport, extracellular
r2229	Transport, extracellular
r2403	Transport, mitochondrial
r2439	Transport, extracellular
r2489	Transport, extracellular
r2494	Transport, extracellular
r2496	Transport, extracellular
r2513	Transport, endoplasmic reticular
RE1100C	Steroid metabolism
RE3012R	Eicosanoid metabolism
RE3015R	Eicosanoid metabolism
RE3016R	Eicosanoid metabolism
RE3017R	Eicosanoid metabolism
RE3347C	Vitamin B2 metabolism
C4CRNe	Fatty acid oxidation
C8CRNe	Fatty acid oxidation
EX_c4crn[e]	Exchange/demand reaction
EX_c8crn[e]	Exchange/demand reaction
FAOXC10C8m	Fatty acid oxidation
PECDCHe	Dietary fiber binding
PROGLYPEPT1tc	Transport, extracellular
DSREDUCr	Squalene and cholesterol synthesis
EX_pectindchac[e]	Exchange/demand reaction
DM_fol	Exchange/demand reaction
GLUB0AT3tc	Transport, extracellular
EX_pelinl_hs[e]	Exchange/demand reaction
AGPAT4	Glycerophospholipid metabolism
DM_for[c]	Exchange/demand reaction
EX_glyleu[e]	Exchange/demand reaction
GLYLEUPEPT1tc	Transport, extracellular
PRPPS	Pentose phosphate pathway
OBDHc	Glycine, serine, alanine, and threonine metabolism
DIGALSGALSIDESECt	Transport, extracellular
T4HCINNMte	Transport, extracellular
T4HCINNMtm	Transport, mitochondrial
EX_T4hcinnm[e]	Exchange/demand reaction
NEU38n	Sphingolipid metabolism
SPHMYLNte	Transport, extracellular
WHTSTSTERONEtr	Transport, endoplasmic reticular
DM_gm1_hs[n]	Exchange/demand reaction
GD1Atn	Transport, nuclear
DM_k[g]	Exchange/demand reaction
HMR_1312	Eicosanoid metabolism
HMR_1968	Androgen and estrogen synthesis and metabolism
HMR_1971	Androgen and estrogen synthesis and metabolism
HMR_4284	Glycine, serine, alanine, and threonine metabolism
HMR_7700	Transport, extracellular
HMR_7944	Transport, endoplasmic reticular
HMR_8271	Blood group synthesis
HMR_9019	Transport, mitochondrial
HMR_9184	Transport, extracellular
HMR_9623	Transport, extracellular
DM_3dhcdchol[c]	Exchange/demand reaction
DM_lca24g[c]	Exchange/demand reaction
DM_lca3g[c]	Exchange/demand reaction
DM_lca3s[c]	Exchange/demand reaction
EX_lca3s[e]	Exchange/demand reaction
LCA24GSc	Bile acid synthesis
LCA3GSc	Bile acid synthesis
LCA3St	Transport, extracellular
EX_adpman[e]	Exchange/demand reaction
